,open,high,low,close,volume,dividends,stock_splits
2015-01-02,36.70258350575934,36.864805488146104,36.20780785183686,36.418697357177734,3216600,0.0,0.0
2015-01-05,36.33755471488384,36.8242202588635,36.19966815527045,36.42677688598633,5735900,0.0,0.0
2015-01-06,36.491659959080266,36.5889918118125,35.631886493261355,36.01310729980469,6584300,0.0,0.0
2015-01-07,36.28079017275528,36.451121780137235,35.996904160452026,36.30512237548828,4609500,0.0,0.0
2015-01-08,36.65388340283707,37.14054891742253,36.50788405787385,37.051326751708984,4883000,0.0,0.0
2015-01-09,37.10810651427908,37.20543838632235,36.58899907121574,36.6619987487793,4742200,0.0,0.0
2015-01-12,36.808000612599706,37.11621874409777,36.45111190057616,36.97022247314453,6178800,0.0,0.0
2015-01-13,36.97021845405305,37.125143260223346,36.08143275443885,36.374977111816406,6745000,0.24,0.0
2015-01-14,36.11406318126272,36.41576028053737,35.8205187125614,36.10590744018555,5865900,0.0,0.0
2015-01-15,36.285291786145386,36.42390826172496,35.79605314109536,35.836822509765625,3916200,0.0,0.0
2015-01-16,35.71450615916875,36.32605593282062,35.64927580077411,36.27713394165039,4564200,0.0,0.0
2015-01-20,36.42389599391711,36.48912945022122,35.78788534746396,36.056968688964844,5159900,0.0,0.0
2015-01-21,35.84496041343832,36.08142700928523,35.567724465670054,35.9265022277832,5328200,0.0,0.0
2015-01-22,36.15482274271882,36.342364300045034,35.71450615916875,36.27713394165039,5329100,0.0,0.0
2015-01-23,36.26898236371266,36.26898236371266,35.730818625578785,35.76343536376953,6664000,0.0,0.0
2015-01-26,35.66558325984358,36.04066636494524,35.404652501400115,35.99989700317383,4376200,0.0,0.0
2015-01-27,35.77973781053706,35.89389326480609,35.41280734288456,35.61665725708008,4847400,0.0,0.0
2015-01-28,35.82864888073339,36.040654468771336,35.35571884138286,35.396488189697266,7641000,0.0,0.0
2015-01-29,35.70634825635172,37.02729470137187,35.63296216993378,36.90498352050781,10054600,0.0,0.0
2015-01-30,37.01915001953086,37.20669158940541,36.448369570497825,36.497291564941406,9613300,0.0,0.0
2015-02-02,36.63590821216213,36.88868323509542,36.10589717102884,36.88052749633789,7312900,0.0,0.0
2015-02-03,37.027289216568725,37.410527956705096,36.97021150342102,37.36975860595703,8380300,0.0,0.0
2015-02-04,37.14144907608491,37.50022687069674,36.73374929893688,36.83159637451172,8231200,0.0,0.0
2015-02-05,36.90497971332239,37.40237390212041,36.90497971332239,37.22298812866211,6374400,0.0,0.0
2015-02-06,37.174075036858156,37.679622015132246,36.962072468711995,37.10068893432617,5601600,0.0,0.0
2015-02-09,36.864218434568684,36.864218434568684,36.12220485726814,36.30159378051758,6585900,0.0,0.0
2015-02-10,36.43206760763281,36.70114795589157,36.20375663207946,36.62776184082031,5210500,0.0,0.0
2015-02-11,36.5951406698733,36.85606833403792,36.33421300570868,36.63591003417969,4302900,0.0,0.0
2015-02-12,36.725607092719166,36.8968403011873,36.52990977553891,36.872379302978516,4683700,0.0,0.0
2015-02-13,36.73375915476811,37.64700602966721,36.70929815693702,37.5817756652832,6524900,0.0,0.0
2015-02-17,37.54916034587731,37.94055187847205,37.50839097778475,37.84270477294922,6366400,0.0,0.0
2015-02-18,37.720393558168126,37.94055187847205,37.63070219256584,37.84270477294922,4051400,0.0,0.0
2015-02-19,37.80193314228954,38.054705075636264,37.5817748351628,38.00578308105469,6590300,0.0,0.0
2015-02-20,37.9405528034001,38.78856936661364,37.83455306587602,38.71518325805664,6512400,0.0,0.0
2015-02-23,38.59288398295266,38.7315004916703,38.34010885996235,38.5847282409668,5608100,0.0,0.0
2015-02-24,38.54395445915712,38.80488218381982,38.42979896843018,38.707035064697266,4789000,0.0,0.0
2015-02-25,38.77225238551451,38.92718030833823,38.519480487017354,38.64994430541992,4777400,0.0,0.0
