,open,high,low,close,volume,dividends,stock_splits
2003-01-02,9.742987875689543,10.141400163120608,9.460477884704,10.126912117004395,25101200,0.0,0.0
2003-01-03,10.11241966481811,10.561538505633306,10.011005465603953,10.52531909942627,30318200,0.0,0.0
2003-01-06,10.815076967402913,11.26419594563749,10.800588924156028,11.162781715393066,35878200,0.0,0.0
2003-01-07,11.191755961438668,11.416315772903072,10.93822144811263,11.083098411560059,36872700,0.0,0.0
2003-01-08,10.902003154070956,11.02514875835406,10.568785758509835,10.597761154174805,28357100,0.0,0.0
2003-01-09,10.96720089308774,11.329393780947372,10.793347781885755,10.89476203918457,39248800,0.0,0.0
2003-01-10,10.996174987170265,11.452538054433683,10.735395696832297,11.372855186462402,38301900,0.0,0.0
2003-01-13,11.57568514288953,11.807488385644033,11.1048346333374,11.15554141998291,39487600,0.0,0.0
2003-01-14,11.235222294619641,11.55395169643746,10.945467602139045,11.126564025878906,38327700,0.0,0.0
2003-01-15,10.844051801930611,10.902002590263573,10.322494016106074,10.467370986938477,58838000,0.0,0.0
2003-01-16,10.72815298495963,10.735396317243596,10.329740694562592,10.387691497802734,31909400,0.0,0.0
2003-01-17,10.097934676027936,10.170373510321747,9.742985907809695,9.800936698913574,40062500,0.0,0.0
2003-01-21,10.105181829518358,10.105181829518358,9.750232951290934,9.793696403503418,33076400,0.0,0.0
2003-01-22,9.95306213578004,10.250060245309191,9.82267314307714,9.982037544250488,39665000,0.0,0.0
2003-01-23,10.416670191430377,10.576035296119377,10.076208596676512,10.184866905212402,40002000,0.0,0.0
2003-01-24,9.97479225309234,9.989279609070875,9.554647876465351,9.61259937286377,37527200,0.0,0.0
2003-01-27,9.380790638108843,9.771958720065554,9.163474883504506,9.619837760925293,26006200,0.0,0.0
2003-01-28,9.699523389202378,9.793693599679443,9.424256779537407,9.590865135192871,28980500,0.0,0.0
2003-01-29,9.764719525878704,9.967548032183922,9.49669688271975,9.851646423339844,43916700,0.0,0.0
2003-01-30,9.916835735999975,9.924079755735788,9.351815322333712,9.380790710449219,29359100,0.0,0.0
2003-01-31,9.402525520584637,9.402525520584637,8.149338662330383,8.670896530151367,70229200,0.0,0.0
2003-02-03,8.678140036879446,8.924431276400421,8.55499510794697,8.70711612701416,27950900,0.0,0.0
2003-02-04,8.547750500373908,8.844748495646977,8.533262456298166,8.823017120361328,33460000,0.0,0.0
2003-02-05,8.989626097547504,9.199697915228098,8.685384059413124,8.70711612701416,40014900,0.0,0.0
2003-02-06,8.569485110011858,8.859239192607976,8.569485110011858,8.692630767822266,26724700,0.0,0.0
2003-02-07,8.851991593728474,8.888211009309343,8.497042150029444,8.554993629455566,28002400,0.0,0.0
2003-02-10,8.58396863143925,8.866478540237027,8.366652838713978,8.728845596313477,28078400,0.0,0.0
2003-02-11,8.801284240749794,8.815772283486414,8.504286272928086,8.649163246154785,36012300,0.0,0.0
2003-02-12,8.410115967132096,8.772308741284988,8.388384594114733,8.554993629455566,46302500,0.0,0.0
2003-02-13,8.554993629455566,8.57672500247293,8.32318978423475,8.554993629455566,30948700,0.0,0.0
2003-02-14,8.54050682105614,8.99686986533584,8.533262798727574,8.982381820678711,32737300,0.0,0.0
2003-02-18,9.127258489570652,9.272135465900933,9.054819655991553,9.22867202758789,28719900,0.0,0.0
2003-02-19,9.076555015781652,9.518430851177497,8.844751751854796,8.989628791809082,26717600,0.0,0.0
2003-02-20,9.05482067825647,9.33733133211615,8.953406437961922,9.257648468017578,27948700,0.0,0.0
2003-02-21,9.366307871328477,9.366307871328477,8.996870976865054,9.272137641906738,32937600,0.0,0.0
2003-02-24,9.221431975675436,9.438747879134237,9.127262418643896,9.286626815795898,27336200,0.0,0.0
2003-02-25,9.076553594630479,9.24316268261244,8.895457150335538,9.163479804992676,28613800,0.0,0.0
2003-02-26,9.083797822512434,9.315601055358645,8.909945397877777,8.924432754516602,26343300,0.0,0.0
2003-02-27,9.054820239971145,9.235916644770567,8.917187276287885,9.112771034240723,24747700,0.0,0.0
2003-02-28,9.127261799700403,9.424259881594987,9.054822939850334,9.402527809143066,21524200,0.0,0.0
2003-03-03,9.47496609269164,9.590867708739664,9.083797793115494,9.15623664855957,27053500,0.0,0.0
2003-03-04,9.127259231060542,9.170721982076541,8.844748586144657,8.873723983764648,34579000,0.0,0.0
2003-03-05,8.967893145152308,8.975137166413242,8.72160194890369,8.86647891998291,26555100,0.0,0.0
2003-03-06,8.772308340361814,8.873722561187703,8.692626182387954,8.728845596313477,23601400,0.0,0.0
2003-03-07,8.591213578558813,8.728847239214968,8.468067962530881,8.663652420043945,36323800,0.0,0.0
2003-03-10,8.497047378918195,8.576730280396719,8.388389756138068,8.402877807617188,17701700,0.0,0.0
2003-03-11,8.431850172391835,8.511532354244101,8.337679944296575,8.410118103027344,22585400,0.0,0.0
2003-03-12,8.344922518266298,8.554994316512865,8.207288866171128,8.511530876159668,35453200,0.0,0.0
2003-03-13,8.75057839567136,9.170722007751465,8.56948198733242,9.170722007751465,34183100,0.0,0.0
2003-03-14,9.235920023961356,9.380797062642166,8.8157762663729,8.960653305053711,36422200,0.0,0.0
2003-03-17,8.815770746600876,9.663301755758763,8.815770746600876,9.503936767578125,39011900,0.0,0.0
2003-03-18,9.56189238837332,9.82267171759075,9.380795939007053,9.808183670043945,37182100,0.0,0.0
2003-03-19,9.78645228955187,9.916841263332454,9.590867792638798,9.808183670043945,29170300,0.0,0.0
2003-03-20,9.771964120845997,10.315253462208752,9.619843077631302,10.07620620727539,39906800,0.0,0.0
2003-03-21,10.48186322676237,10.561545419920924,10.134157666702515,10.30801010131836,35615400,0.0,0.0
2003-03-24,9.931329485457336,10.068962485430708,9.714013604232099,9.822671890258789,23587100,0.0,0.0
2003-03-25,9.721253773352386,9.960300940662046,9.641571614525123,9.85888671875,22496600,0.0,0.0
2003-03-26,9.9240857030958,10.13415756553317,9.851647534809766,9.931329727172852,18984500,0.0,0.0
2003-03-27,9.656060660161867,9.902351891718016,9.656060660161867,9.779206275939941,19567800,0.0,0.0
2003-03-28,9.685039111458439,9.880623630227003,9.540162073941838,9.583624839782715,15657500,0.0,0.0
2003-03-31,9.373549608453825,9.453232468695466,9.112771034240723,9.112771034240723,25014200,0.0,0.0
2003-04-01,9.148992870550641,9.359064727986308,9.098286084874903,9.243163108825684,21229200,0.0,0.0
2003-04-02,9.554648528454763,9.909598100329138,9.540161171487641,9.844403266906738,21368400,0.0,0.0
2003-04-03,9.873373235259425,10.141395754441769,9.71400825140071,9.953055381774902,25701200,0.0,0.0
2003-04-04,10.0399869966137,10.054475044293907,9.670550761534209,9.793696403503418,20192100,0.0,0.0
2003-04-07,10.33698553693464,10.394936344767686,10.039986783255118,10.054474830627441,30307600,0.0,0.0
2003-04-08,9.938571041691365,9.96754643927183,9.677791772639202,9.714011192321777,22334800,0.0,0.0
2003-04-09,9.844403056504557,9.88062248439046,9.431503374758368,9.482210159301758,23778200,0.0,0.0
2003-04-10,9.51118296824825,9.641572596728484,9.351817943531069,9.590865135192871,19447100,0.0,0.0
2003-04-11,9.742988533017641,9.771963936376883,9.402527025425464,9.438746452331543,19158400,0.0,0.0
2003-04-14,9.496699162910227,9.786453945419636,9.351822117069645,9.764721870422363,18708300,0.0,0.0
2003-04-15,9.55464616021523,9.89510759990668,9.453232614097585,9.714011192321777,25371700,0.0,0.0
2003-04-16,10.032741809310696,10.358715222758146,9.974791010956839,10.163130760192871,36888900,0.0,0.0
2003-04-17,10.097935141950929,11.401829383606291,10.07620376699126,10.720907211303711,32263800,0.0,0.0
2003-04-21,10.684690963073654,10.87303144415371,10.423912313689994,10.858543395996094,26734500,0.0,0.0
2003-04-22,10.764371506449253,11.467025845405532,10.648469902256064,11.45253849029541,35662700,0.0,0.0
2003-04-23,11.416316349082528,11.423560370327468,11.075854949677153,11.278682708740234,28549200,0.0,0.0
2003-04-24,10.909252081521444,11.162786734896015,10.865788623064763,10.902008056640625,24183200,0.0,0.0
2003-04-25,10.670209864545322,10.713673346498274,10.184871679237594,10.279041290283203,31839600,0.0,0.0
2003-04-28,10.336982146294513,10.612248047797284,10.141397715890662,10.474615097045898,25561200,0.0,0.0
2003-04-29,10.829567918472245,10.981688968974533,10.619496057381292,10.786105155944824,42944400,0.0,0.0
2003-04-30,10.7209066688843,10.81507687671564,10.568785670207202,10.590517044067383,26626600,0.0,0.0
2003-05-01,10.720907032655457,10.778857825467547,10.329738835759892,10.684687614440918,25825400,0.0,0.0
2003-05-02,10.829569252375387,11.09034862297334,10.713667616922184,10.974446296691895,27336000,0.0,0.0
2003-05-05,11.04687930631703,11.322145889963947,10.902002338825987,10.923733711242676,26509900,0.0,0.0
2003-05-06,10.952710099732979,11.322146918517298,10.836808515211139,11.19900131225586,29858000,0.0,0.0
2003-05-07,11.141055415777057,11.220737617444076,10.88752007010199,10.974446296691895,22082000,0.0,0.0
2003-05-08,10.829566180567902,10.887516981856754,10.547056196991758,10.568787574768066,25179300,0.0,0.0
2003-05-09,10.923733711242676,10.938221753405717,10.677442521093967,10.923733711242676,24434200,0.0,0.0
2003-05-12,11.075858261947165,11.416319763168616,10.930981247861897,11.387344360351562,41598500,0.0,0.0
2003-05-13,11.213490918594132,11.358368619191884,11.133808735927829,11.271442413330078,28978800,0.0,0.0
2003-05-14,11.032392040333281,11.235220499918524,10.6557118983554,10.8440523147583,46398800,0.0,0.0
2003-05-15,10.916494134355245,10.9527135636802,10.525325817467671,10.786105155944824,31874000,0.0,0.0
2003-05-16,10.648468154963364,10.851295929019713,10.308006730390684,10.365958213806152,28832000,0.0,0.0
2003-05-19,10.184861225650621,10.286274761403844,9.938570025973538,9.960301399230957,25117500,0.0,0.0
2003-05-20,10.011005382741958,10.134150948329966,9.844397082727422,9.96754264831543,27292600,0.0,0.0
2003-05-21,9.99652150284423,10.032740921316625,9.77196166097773,9.89510726928711,24529300,0.0,0.0
2003-05-22,9.916841143902863,10.170376446293536,9.822671599295251,10.054474830627441,24210600,0.0,0.0
2003-05-23,10.06896210397367,10.148644982206797,9.887865658284733,10.02549934387207,20512200,0.0,0.0
2003-05-27,10.025499272058639,10.684690219112037,9.98927984501467,10.641226768493652,31145400,0.0,0.0
2003-05-28,10.662957366289278,10.880273207706052,10.597762544781446,10.699176788330078,30195000,0.0,0.0
2003-05-29,10.735397338867188,11.010664025867388,10.655715149536128,10.735397338867188,36635800,0.0,0.0
2003-05-30,10.923736899054777,11.34388057280088,10.902005520296346,11.271442413330078,44709400,0.0,0.0
2003-06-02,11.510491825708105,11.582929998857562,10.99617782578567,11.075860023498535,30907300,0.0,0.0
2003-06-03,11.075859342575534,11.510491118064758,11.046883936931463,11.46702766418457,30922400,0.0,0.0
2003-06-04,11.4380531366766,12.090000849962559,11.300420122007777,12.068268775939941,44814400,0.0,0.0
2003-06-05,11.800243804908883,12.249362168557942,11.727804958033074,12.22038745880127,37433500,0.0,0.0
2003-06-06,12.553603765613008,12.778162939307459,11.626389598815484,11.800243377685547,52065600,0.0,0.0
2003-06-09,11.640878073210715,11.677098187500805,11.242466487612313,11.459781646728516,26886700,0.0,0.0
2003-06-10,11.343882017490229,11.49600306982864,10.99617714976138,11.46702766418457,31659800,0.0,0.0
2003-06-11,11.184512194796747,11.48151084014993,11.04687924910009,11.416316032409668,29258200,0.0,0.0
2003-06-12,11.488756609957305,12.0610212682219,11.112076416445074,11.31490421295166,24473100,0.0,0.0
2003-06-13,11.336634513107795,11.394585306605464,10.974441708333385,11.032392501831055,22343400,0.0,0.0
2003-06-16,11.126561225098554,11.358365058898926,10.974440239815877,11.358365058898926,23357600,0.0,0.0
2003-06-17,11.517736384262964,11.561199845437196,11.177275483515972,11.423566818237305,24796900,0.0,0.0
2003-06-18,11.358368004549394,11.77851165556,11.155539511019557,11.662610054016113,29582800,0.0,0.0
2003-06-19,11.80748583271131,11.82197387766504,11.481513111188464,11.575682640075684,24068400,0.0,0.0
2003-06-20,11.59017410841875,11.742294480396664,11.235225192147198,11.430809020996094,29228300,0.0,0.0
