,open,high,low,close,volume,dividends,stock_splits
2015-01-02,116.63316364493232,118.40275484704236,115.49712814058121,116.43653869628906,2605400,0.0,0.0
2015-01-05,114.6450618459124,116.22532821955963,112.33657773844871,115.0528793334961,4080300,0.0,0.0
2015-01-06,115.6282203942358,115.7010477520074,110.93114472722968,111.34622955322266,5075800,0.0,0.0
2015-01-07,112.21281283612869,115.48256530554136,111.4263241203715,115.23497009277344,3502400,0.0,0.0
2015-01-08,116.22534235769459,118.52653734501831,112.98471471058365,114.81985473632812,4560200,0.0,0.0
2015-01-09,115.61362202327922,115.61362202327922,112.60604406993437,113.40708923339844,3949100,0.0,0.0
2015-01-12,113.76394653320311,115.05291510215933,112.86822788584416,113.76394653320312,2700700,0.0,0.0
2015-01-13,115.70832972281123,117.21576940384469,111.7176370740768,112.97747039794922,4570400,0.0,0.0
2015-01-14,111.32434639137526,113.2687161860897,111.10588661480473,112.99199676513672,3426400,0.0,0.0
2015-01-15,113.71292742432813,114.87081970972224,110.34851378362212,110.63252258300781,2894000,0.0,0.0
2015-01-16,111.00396197185579,115.38062619497174,110.71267476193793,115.37333679199219,3513200,0.0,0.0
2015-01-20,115.94131634772975,116.31998733692093,112.62058356514747,114.76886749267578,3664400,0.0,0.0
2015-01-21,113.15223029376418,115.25681174704042,113.15223029376418,114.60868835449219,2804900,0.0,0.0
2015-01-22,115.18397920604761,116.35642833654819,112.22737125397467,116.20350646972656,3783100,0.0,0.0
2015-01-23,116.3710099784765,116.52393186363051,115.24225267460864,116.37828826904297,2249400,0.0,0.0
2015-01-26,116.23988644678865,117.59439256351601,114.81984239987055,116.31999206542969,3149600,0.0,0.0
2015-01-27,115.4461348623176,117.05552573534055,115.26407762433226,115.70829772949219,2876300,0.0,0.0
2015-01-28,115.293238836303,117.1793495775567,112.51867657378158,112.61334991455078,4927100,0.0,0.0
2015-01-29,112.79542332968822,114.21546808490356,111.97252075609593,113.87319946289062,3435500,0.0,0.0
2015-01-30,113.27601402163377,114.23727044579665,110.3485305667939,110.88013458251953,5318200,0.0,0.0
2015-02-02,111.71761507710258,112.12542154474916,108.79740963575323,111.05492401123047,3832500,0.0,0.0
2015-02-03,111.97248875347249,111.97248875347249,108.41144933344601,110.8582992553711,4298400,0.0,0.0
2015-02-04,109.32901910899028,111.52826260360281,107.35551370587551,110.29027557373047,5827100,0.0,0.0
2015-02-05,110.90200292104582,112.07445219718846,109.97715997985988,111.68121337890625,3564400,0.0,0.0
2015-02-06,112.3802754928964,112.70068683587917,109.67126342592432,110.25383758544922,3242700,0.0,0.0
2015-02-09,109.23436752210216,110.56702813929914,108.65178200627204,109.24164581298828,3236400,0.0,0.0
2015-02-10,110.17870976978502,111.73805322354995,109.11718955099798,111.69412994384766,4108600,0.79,0.0
2015-02-11,112.22852193328936,113.64876721842798,111.46714802936864,112.08942413330078,3998700,0.0,0.0
2015-02-12,113.34862431838309,113.34862431838309,110.63258639126562,112.14067840576172,2935800,0.0,0.0
2015-02-13,112.46281242363494,112.60191025990035,109.96641287696892,112.36032104492188,3591400,0.0,0.0
2015-02-17,112.38958541945517,113.36325888375539,112.00889845377148,112.91668701171875,3895600,0.0,0.0
2015-02-18,112.90208587917786,114.37357187730534,112.47747547831226,114.04413604736328,3297900,0.0,0.0
2015-02-19,114.18318454239623,114.51262022991634,113.5023403621832,114.24175262451172,3913900,0.0,0.0
2015-02-20,114.51996872927647,115.48632559541312,113.5170165760743,115.42044067382812,4411100,0.0,0.0
2015-02-23,115.72055335879283,116.5478008980017,115.53020431999573,115.97677612304688,3094300,0.0,0.0
2015-02-24,116.40144656466344,116.4819763141472,114.38821399829348,115.20814514160156,2060500,0.0,0.0
2015-02-25,115.49363289948109,116.24036212806509,114.0148304290874,115.7279052734375,3262800,0.0,0.0
2015-02-26,116.02070737869602,116.69422353988804,114.20514158892975,116.37943267822266,3379800,0.0,0.0
2015-02-27,116.47466632629026,116.57715772521941,115.08369885999498,115.46438598632812,2472000,0.0,0.0
2015-03-02,116.61370796023031,117.0602798481663,115.39112847014465,116.86262512207031,3483500,0.0,0.0
2015-03-03,116.69423279818693,116.69423279818693,115.31059391983607,116.07928466796875,2334900,0.0,0.0
2015-03-04,115.70595907829468,116.94318368792366,114.79817026413113,116.54053497314453,3098600,0.0,0.0
2015-03-05,117.13350464733365,118.21698643751947,116.29892887355025,116.8406753540039,2470900,0.0,0.0
2015-03-06,116.03537286792715,117.07493133483783,112.74099319659798,113.3852310180664,4091400,0.0,0.0
2015-03-09,113.36331317749458,114.01486807293996,111.84789258126774,113.48043823242188,2135000,0.0,0.0
