,open,high,low,close,volume,dividends,stock_splits
2003-01-02,15.253672330449094,15.626850493813574,15.137054043181827,15.570874214172363,1769700,0.0,0.0
2003-01-03,15.533551518778173,15.668829124335094,15.17903279949297,15.183696746826172,1476000,0.0,0.0
2003-01-06,15.151044345155036,15.183697316071797,14.927137496245765,14.936467170715332,1942400,0.0,0.0
2003-01-07,14.941130532000443,14.941130532000443,14.082820978191119,14.260080337524414,2753300,0.0,0.0
2003-01-08,14.087493214331474,14.404694292912302,13.980203685243422,14.157464027404785,2233800,0.0,0.0
2003-01-09,14.278736061099481,14.483983500914926,14.218094084547195,14.437336921691895,2618500,0.0,0.0
2003-01-10,14.442000982613289,14.497978123742866,14.12013531272925,14.288064956665039,1785400,0.0,0.0
2003-01-13,14.199442451419936,14.20410728952826,13.877575739760777,14.120141983032227,2025700,0.0,0.0
2003-01-14,13.970864987992352,14.22742475055436,13.784275099154678,13.910223007202148,2270000,0.0,0.0
2003-01-15,14.064165532621097,14.180783822095114,13.928888779489245,14.059500694274902,4292400,0.0,0.0
2003-01-16,14.1714487109987,14.642586526571131,14.124802124878471,14.62392807006836,3325100,0.0,0.0
2003-01-17,14.507308822222939,14.586609258761428,14.27407234884227,14.4559965133667,1675900,0.0,0.0
2003-01-21,14.460663458369211,14.460663458369211,13.900895484735221,13.928884506225586,1472000,0.0,0.0
2003-01-22,13.933550670827668,14.260081278456079,13.481071233944647,14.134133338928223,2975100,0.0,0.0
2003-01-23,14.138798610600011,14.437341982695154,14.01751550470617,14.381364822387695,1743000,0.0,0.0
2003-01-24,14.36736893578414,14.460663897464913,13.807601834879579,13.966202735900879,1805300,0.0,0.0
2003-01-27,13.784281246578875,13.886905909152782,13.210519484782113,13.308479309082031,1789200,0.0,0.0
2003-01-28,13.420428912147495,13.854248960298346,13.387775943314923,13.644335746765137,1743500,0.0,0.0
2003-01-29,13.649003376861309,14.068829000115004,13.387778683016519,14.022181510925293,2139500,0.0,0.0
2003-01-30,14.02684755803475,14.446673217480516,13.87291145324707,13.87291145324707,2147000,0.0,0.0
2003-01-31,13.784274645204581,14.260077244563545,13.76095135473123,14.115470886230469,1639200,0.0,0.0
2003-02-03,14.120137030050177,14.460662084968277,14.003518787429465,14.31139087677002,1646200,0.0,0.0
2003-02-04,14.316058364028708,14.670577994006344,14.059497648921957,14.586612701416016,1835600,0.0,0.0
