,open,high,low,close,volume,dividends,stock_splits
2003-01-02,10.594805060693679,10.701823234558105,10.527918994434186,10.701823234558105,240433,0.0,0.0
2003-01-03,10.64296295340038,10.776736253423673,10.64296295340038,10.69379711151123,201239,0.0,0.0
2003-01-06,10.675073573845099,10.902488187001659,10.675073573845099,10.859681129455566,351825,0.0,0.0
2003-01-07,10.840945871694233,10.931912133843133,10.816866842213178,10.894454956054688,432962,0.0,0.0
2003-01-08,10.875728228978078,10.913184241541495,10.819544210132953,10.854325294494629,352971,0.0,0.0
2003-01-09,10.875729847774588,10.905159910490122,10.827571775989776,10.899808883666992,278709,0.0,0.0
2003-01-10,10.899809169957079,10.92923923344561,10.873054035138694,10.923888206481934,386205,0.0,0.0
2003-01-13,10.931918677085177,10.982751694360772,10.915865591281639,10.961347579956055,213616,0.0,0.0
2003-01-14,10.982741656824215,11.017522726132295,10.953311611226813,11.006820678710938,184049,0.0,0.0
2003-01-15,10.9693691833244,10.998799240997581,10.822218894958498,10.822218894958496,227139,0.0,0.0
2003-01-16,10.822217735001304,10.867699695895404,10.776735774107205,10.795462608337402,215679,0.0,0.0
2003-01-17,10.782084815432292,11.009498086925618,10.782084815432292,10.958663940429688,509057,0.0,0.0
2003-01-21,10.958665485031187,10.99612149112471,10.760682234735894,10.763357162475586,392164,0.0,0.0
2003-01-22,10.760682895057833,10.78743685258838,10.717874691612087,10.739278793334961,248226,0.0,0.0
2003-01-23,10.776732960626834,10.827565933582754,10.749977840947887,10.800810813903809,406604,0.0,0.0
2003-01-24,10.776737217278283,10.811517132164386,10.527919769287111,10.52791976928711,195738,0.0,0.0
2003-01-27,10.527916013129593,10.648311132227702,10.420896699947896,10.442300796508789,279855,0.0,0.0
2003-01-28,10.431597271167137,10.58142241701061,10.431597271167137,10.560019493103027,199176,0.0,0.0
2003-01-29,10.581427527017812,10.672393798828125,10.51454145686912,10.672393798828125,195968,0.0,0.0
2003-01-30,10.661688107766878,10.661688107766878,10.402168700268497,10.442300796508789,236536,0.0,0.0
2003-01-31,10.4396272020361,10.557346239281442,10.4396272020361,10.477083206176758,655976,0.0,0.0
2003-02-03,10.557349251297609,10.562700277647625,10.394147041303443,10.479761123657227,435942,0.0,0.0
2003-02-04,10.498493310812167,10.498493310812167,10.332614936790586,10.337965965270996,414855,0.0,0.0
2003-02-05,10.388792526355932,10.557345706099293,10.308528327681953,10.34330940246582,303692,0.0,0.0
2003-02-06,10.42625128325502,10.428927381050043,10.313882077196846,10.34063720703125,234932,0.0,0.0
2003-02-07,10.407520527480433,10.434275650246043,10.289800326557453,10.34330940246582,190696,0.0,0.0
2003-02-10,10.356689663458322,10.386118550075485,10.21221431026839,10.37006664276123,194822,0.0,0.0
2003-02-11,10.329940008322325,10.380773024455378,10.225596707380195,10.249675750732422,230806,0.0,0.0
2003-02-12,10.225593883583599,10.404850364133065,10.225593883583599,10.268402099609375,201239,0.0,0.0
2003-02-13,10.260372905903013,10.305856041449756,10.206863816281086,10.24699592590332,263582,0.0,0.0
2003-02-14,10.206868692508873,10.31923795136051,10.206868692508873,10.249675750732422,723132,0.0,0.0
2003-02-18,10.25234204526081,10.402167190574243,10.249665948767706,10.386114120483398,354346,0.0,0.0
2003-02-19,10.329936155553447,10.370068269380276,10.287129113295695,10.332611083984375,258540,0.0,0.0
2003-02-20,10.303176877551717,10.35936204822732,10.303176877551717,10.31655502319336,197572,0.0,0.0
2003-02-21,10.345985898141528,10.530592158656365,10.31387974958588,10.461030006408691,263582,0.0,0.0
2003-02-24,10.458356125180684,10.46905700614694,10.228266716003418,10.228266716003418,539083,0.0,0.0
2003-02-25,10.225591903178055,10.434278407016922,10.204188968933693,10.34063720703125,603718,0.0,0.0
2003-02-26,10.348665760415393,10.367393771191757,10.225594471511986,10.233621597290039,350220,0.0,0.0
2003-02-27,10.225591412372117,10.351338762123477,10.222916484328646,10.289802551269531,303005,0.0,0.0
2003-02-28,10.332608471703836,10.426249657084396,10.316556565929952,10.364714622497559,189550,0.0,0.0
2003-03-03,10.359365131071684,10.471734336240047,10.24431982812949,10.24699592590332,193446,0.0,0.0
2003-03-04,10.246991733041718,10.252342756776695,10.075762482390463,10.134622573852539,238828,0.0,0.0
2003-03-05,10.058043033754055,10.181651543061848,10.004299846090618,10.130596160888672,344261,0.071989,0.0
2003-03-06,10.084912744835831,10.122532618946018,9.996236320370382,10.00161075592041,254414,0.0,0.0
2003-03-07,9.98011609302414,10.11984791977068,9.942495036994497,10.101037979125977,302546,0.0,0.0
2003-03-10,10.07953966902913,10.084914105304176,9.740957819512284,9.77320384979248,208115,0.0,0.0
2003-03-11,9.7678285173215,9.859191576134416,9.67377824061761,9.722146987915039,252810,0.0,0.0
2003-03-12,9.730207881929548,9.730207881929548,9.582414424763197,9.657654762268066,240204,0.0,0.0
2003-03-13,9.649592162953544,9.703335339813787,9.528670308702976,9.646904945373535,814813,0.0,0.0
2003-03-14,9.628097187357833,9.703337534505977,9.520610809326172,9.520610809326172,644516,0.0,0.0
2003-03-17,9.512547747021024,9.856503967108749,9.458803981907034,9.851129531860352,526247,0.0,0.0
2003-03-18,9.802759278255138,9.923681115853917,9.730205588325989,9.808133125305176,484991,0.0,0.0
2003-03-19,9.78126437633604,9.845757020702743,9.78126437633604,9.829633712768555,348845,0.0,0.0
2003-03-20,9.835005300144678,9.95055329072561,9.703334006299498,9.94786548614502,218888,0.0,0.0
2003-03-21,9.961302149410185,10.122531676682831,9.939805583951108,10.111783981323242,151044,0.0,0.0
2003-03-24,10.10640880243453,10.127905366311445,9.8565028773442,9.864563941955566,172589,0.0,0.0
2003-03-25,9.883377867090179,9.966679875760226,9.856506857707732,9.91831111907959,117122,0.0,0.0
2003-03-26,9.929055983065945,9.950553721682676,9.845754595405742,9.864563941955566,263811,0.0,0.0
2003-03-27,9.8511319012533,9.896814024482154,9.75708161126529,9.867255210876465,296816,0.0,0.0
2003-03-28,9.808136837877276,9.929059308617463,9.78395246120326,9.902188301086426,190238,0.0,0.0
2003-03-31,9.832317357124072,9.845753442185778,9.754389825875693,9.821568489074707,230806,0.0,0.0
2003-04-01,9.83232071743911,9.980114766779096,9.805449125501845,9.91562271118164,308964,0.0,0.0
2003-04-02,9.982801507352406,10.184338742787908,9.945181630647678,10.127907752990723,214075,0.0,0.0
2003-04-03,10.119845833771802,10.162840142774478,9.99892397259553,10.036543846130371,336927,0.0,0.0
2003-04-04,10.041919412314632,10.149405784294244,10.041919412314632,10.090288162231445,271375,0.0,0.0
2003-04-07,10.117157233570234,10.19508477057113,9.931743357620533,9.94786548614502,291086,0.0,0.0
2003-04-08,9.942495536874972,10.036546419567339,9.757082164653472,9.800076484680176,498972,0.0,0.0
2003-04-09,9.775890580223502,9.859192581225722,9.593164443969727,9.593164443969727,350220,0.0,0.0
2003-04-10,9.606600946334902,9.76783052877443,9.59316544148335,9.738271713256836,197343,0.0,0.0
2003-04-11,9.722151271265137,9.856509288158538,9.722151271265137,9.805453300476074,253956,0.0,0.0
2003-04-14,9.72483043873994,9.896809390680584,9.695271638974026,9.821568489074707,177402,0.0,0.0
2003-04-15,9.867252058727296,9.988173905421304,9.73558075501504,9.926369667053223,406833,0.0,0.0
2003-04-16,9.955927655011136,9.980113199960764,9.880687914243028,9.912933349609375,283523,0.0,0.0
2003-04-17,9.939809395036937,9.939809395036937,9.695277205475497,9.794702529907227,482928,0.0,0.0
2003-04-21,9.773204333518342,9.915623965005734,9.773204333518342,9.867255210876465,534957,0.0,0.0
2003-04-22,9.894123058108253,9.942491796785855,9.781262276280561,9.926369667053223,312402,0.0,0.0
2003-04-23,9.91293529604305,10.092975967638004,9.856505479386811,10.090288162231445,695398,0.0,0.0
2003-04-24,9.993547974889964,10.076849949509242,9.942491433296937,10.055352210998535,268166,0.0,0.0
2003-04-25,10.074163780945435,10.08222484588623,9.953240758394342,10.08222484588623,439609,0.0,0.0
2003-04-28,10.023109163872896,10.224646398795368,10.023109163872896,10.160154342651367,212699,0.0,0.0
2003-04-29,10.20583596341821,10.227333708473688,10.141345077732101,10.187026023864746,212929,0.0,0.0
2003-04-30,10.205834320177761,10.211208755576294,10.12253233361047,10.170902252197266,214762,0.0,0.0
2003-05-01,10.157468386523712,10.224647077711838,10.127908399702344,10.187026023864746,257623,0.0,0.0
2003-05-02,10.213897890239599,10.259580009703807,10.146719201122922,10.256892204284668,362368,0.0,0.0
2003-05-05,10.262262348841404,10.267636782692037,10.197770317373443,10.251513481140137,120102,0.0,0.0
2003-05-06,10.176274405895763,10.383184836016408,10.176274405895763,10.342878341674805,484991,0.0,0.0
2003-05-07,10.342879911969792,10.342879911969792,10.21927025623207,10.32406997680664,204906,0.0,0.0
2003-05-08,10.30257642797942,10.30257642797942,10.168217847564115,10.289139747619629,267479,0.0,0.0
2003-05-09,10.372436307891439,10.383185176631029,10.256888905790225,10.361688613891602,268854,0.0,0.0
2003-05-12,10.372439672619983,10.479927220144152,10.305260983314994,10.44499397277832,217054,0.0,0.0
2003-05-13,10.426182240759152,10.565915221936578,10.426182240759152,10.4638032913208,314465,0.0,0.0
2003-05-14,10.490676092370583,10.490676092370583,10.361691975133686,10.44499397277832,248226,0.0,0.0
2003-05-15,10.415431685324892,10.50410808948656,10.361688516869917,10.485298156738281,336468,0.0,0.0
2003-05-16,10.439616261276448,10.517543798358409,10.350939855340474,10.506794929504395,511808,0.0,0.0
2003-05-19,10.501420100215364,10.501420100215364,10.345565031911722,10.410057067871094,323633,0.0,0.0
2003-05-20,10.388562056456184,10.469177416240122,10.36706548865649,10.41274642944336,357326,0.0,0.0
2003-05-21,10.388562869239404,10.496049240867515,10.388562869239404,10.426182746887207,630305,0.0,0.0
2003-05-22,10.407373982803428,10.477239302043614,10.407373982803428,10.426182746887207,380246,0.0,0.0
2003-05-23,10.407371922550652,10.47455059783444,10.407371922550652,10.47186279296875,214075,0.0,0.0
2003-05-27,10.485301565092781,10.651905558933509,10.453054948693858,10.625033378601074,242266,0.0,0.0
2003-05-28,10.587415003102443,10.611600558886874,10.528298540904077,10.58204174041748,143022,0.0,0.0
2003-05-29,10.576664166683491,10.721770409919062,10.544417551693316,10.608909606933594,195509,0.0,0.0
2003-05-30,10.638466221647992,10.917930953535032,10.638466221647992,10.915243148803711,334176,0.0,0.0
2003-06-02,10.923309485693364,11.041544744466705,10.923309485693364,10.987801551818848,636035,0.0,0.0
2003-06-03,10.971678392678184,11.011986081404167,10.915247393513752,10.963617324829102,434337,0.0,0.0
2003-06-04,10.994644049633875,11.089075637394389,10.916398880544827,11.08637809753418,201010,0.071989,0.0
2003-06-05,11.105265404554702,11.116057923977568,11.00813508876955,11.094472885131836,188175,0.0,0.0
2003-06-06,11.083684655464403,11.197004973752914,11.072893311375246,11.13224983215332,178319,0.0,0.0
2003-06-09,11.051302625488661,11.070188942396824,10.981152437392486,11.024322509765625,273209,0.0,0.0
2003-06-10,11.040510169760307,11.116056617329868,10.959567463113622,10.973058700561523,265416,0.0,0.0
2003-06-11,10.954170515860897,11.00003694093096,10.951472976537357,10.98115062713623,243412,0.0,0.0
2003-06-12,10.962266673696222,11.008134288152307,10.87323134370888,10.943380355834961,123540,0.0,0.0
2003-06-13,10.94338175515797,10.9946456354881,10.819270133972168,10.819270133972168,156086,0.0,0.0
2003-06-16,10.816573430048479,10.932590080435896,10.816573430048479,10.929892539978027,135687,0.0,0.0
2003-06-17,10.90561378471057,10.90561378471057,10.808482242464702,10.843557357788086,115747,0.0,0.0
