,open,high,low,close,volume,dividends,stock_splits
2003-01-02,7.143280650939739,7.3147193865622935,7.079276699350469,7.301004409790039,45600,0.0,0.0
2003-01-03,7.2918572425842285,7.328431222779531,7.2667132034381945,7.2918572425842285,55200,0.0,0.0
2003-01-06,7.303286597988318,7.509012452928433,7.303286597988318,7.474725246429443,36400,0.0,0.0
2003-01-07,7.486153722701325,7.5410144695321275,7.429007511077651,7.513583660125732,39600,0.0,0.0
2003-01-08,7.520444841662161,7.520444841662161,7.42901051727203,7.435867786407471,30400,0.0,0.0
2003-01-09,7.383291178681575,7.536443496092515,7.383291178681575,7.50672721862793,28400,0.0,0.0
2003-01-10,7.531875127578445,7.625594932784262,7.46101347116137,7.5547332763671875,49800,0.0,0.0
2003-01-13,7.577593720534733,7.685028086401574,7.552449228954415,7.662169933319092,36200,0.0,0.0
2003-01-14,7.662166188042874,7.760457767821265,7.662166188042874,7.728456020355225,41000,0.0,0.0
2003-01-15,7.785606996928625,7.785606996928625,7.696458096336989,7.769606113433838,46400,0.0,0.0
2003-01-16,7.771889465886204,7.824463907635179,7.719315024137228,7.7627458572387695,43600,0.0,0.0
2003-01-17,7.726169988126401,7.8084606974219115,7.726169988126401,7.806175231933594,18400,0.0,0.0
2003-01-21,7.81760284724211,7.81760284724211,7.637020587921143,7.637020587921143,37200,0.0,0.0
2003-01-22,7.62330821064424,7.62330821064424,7.543303821931877,7.557019233703613,26000,0.0,0.0
2003-01-23,7.557019214443177,7.58902096984656,7.525016587057358,7.577591896057129,17000,0.0,0.0
2003-01-24,7.543302453725222,7.543302453725222,7.269000371920575,7.326146602630615,56200,0.0,0.0
2003-01-27,7.319291353776547,7.440441117279414,7.303290474520792,7.438155651092529,46600,0.0,0.0
2003-01-28,7.461016000874779,7.497589574526802,7.397012464979435,7.495304107666016,28000,0.0,0.0
2003-01-29,7.440439337130807,7.449582943655751,7.3672922288958835,7.422152996063232,51600,0.0,0.0
2003-01-30,7.445015076167924,7.486160455299182,7.371867929264081,7.42672872543335,50000,0.0,0.0
2003-01-31,7.426725749183983,7.45186936236991,7.401581264015632,7.445012092590332,25200,0.0,0.0
2003-02-03,7.445012525084282,7.472442477778472,7.337577308390198,7.355864524841309,23600,0.0,0.0
2003-02-04,7.349008612020795,7.431298485302255,7.317005977320487,7.41758394241333,31800,0.0,0.0
2003-02-05,7.394720712675653,7.397007049845456,7.2941436767578125,7.2941436767578125,22400,0.0,0.0
2003-02-06,7.269000210590792,7.30328829704873,7.188995838165283,7.188995838165283,56400,0.0,0.0
2003-02-07,7.16613719248081,7.16613719248081,7.090704187759585,7.122705936431885,46600,0.0,0.0
2003-02-10,7.108991478685929,7.145565032958984,7.074703826053834,7.145565032958984,41800,0.0,0.0
2003-02-11,7.131854030770267,7.147854915176583,7.056420978575201,7.10899543762207,59000,0.0,0.0
2003-02-12,7.120422231689307,7.223285649857863,7.1044213524167015,7.136423110961914,24200,0.0,0.0
2003-02-13,7.134137866930043,7.296433448791504,7.129566498138475,7.296433448791504,50000,0.0,0.0
2003-02-14,7.28043148605633,7.312433242797852,7.266716509737283,7.312433242797852,18200,0.0,0.0
2003-02-18,7.2918616756564765,7.319292068481445,7.250716304414675,7.319292068481445,20800,0.0,0.0
2003-02-19,7.314716183101243,7.422151356074821,7.314716183101243,7.415293216705322,19600,0.0,0.0
2003-02-20,7.431294514472519,7.497584342956543,7.431294514472519,7.497584342956543,28800,0.0,0.0
2003-02-21,7.497585169995506,7.497585169995506,7.440438940236421,7.49072790145874,36000,0.0,0.0
2003-02-24,7.486156113711829,7.486156113711829,7.4061517406788075,7.470155239105225,60600,0.0,0.0
2003-02-25,7.474727870452625,7.474727870452625,7.433582510624002,7.463298797607422,37200,0.0,0.0
2003-02-26,7.474726202367237,7.497584342956543,7.40615090861715,7.497584342956543,44200,0.0,0.0
2003-02-27,7.477014141182211,7.513587701413683,7.451869655026364,7.499873161315918,57000,0.0,0.0
2003-02-28,7.497586157200736,7.52044517530357,7.470156207459715,7.472441673278809,22600,0.0,0.0
2003-03-03,7.4861552726618905,7.5158715530137234,7.474726202367237,7.497584342956543,35600,0.0,0.0
2003-03-04,7.488443215257836,7.518159505440424,7.486157749235694,7.499873161315918,37200,0.0,0.0
2003-03-05,7.506728033786203,7.543301582336426,7.495298963360916,7.543301582336426,49000,0.0,0.0
2003-03-06,7.531878145313936,7.531878145313936,7.497590036410406,7.518162727355957,37600,0.0,0.0
2003-03-07,7.497584342956543,7.509013413251196,7.463297132072585,7.497584342956543,20600,0.0,0.0
2003-03-10,7.474729662181616,7.50901688893604,7.408439803014127,7.481586933135986,39200,0.0,0.0
2003-03-11,7.472439436885801,7.472439436885801,7.383291472921393,7.415293216705322,22800,0.0,0.0
2003-03-12,7.403765493461272,7.403765493461272,7.2976681255318585,7.34379768371582,24200,0.145,0.0
2003-03-13,7.343798576542343,7.346105098724365,7.265378582050095,7.346105098724365,32800,0.0,0.0
2003-03-14,7.323037918657064,7.436055268944244,7.311505751447669,7.380699634552002,62600,0.0,0.0
2003-03-17,7.357632438719002,7.466036270551775,7.357632438719002,7.433745861053467,53800,0.0,0.0
2003-03-18,7.424523077310546,7.426830038927,7.357635707926395,7.401458740234375,48600,0.0,0.0
2003-03-19,7.392232653464682,7.4152978703889145,7.362248751311242,7.401458740234375,39600,0.0,0.0
2003-03-20,7.380700484926597,7.403764822002768,7.274603126619311,7.401458740234375,36600,0.0,0.0
2003-03-21,7.39223417981863,7.429137654669198,7.378395486730699,7.399154186248779,51600,0.0,0.0
2003-03-24,7.3576372697103505,7.3576372697103505,7.293056408310234,7.346105098724365,27400,0.0,0.0
2003-03-25,7.346099045029765,7.35993772679374,7.311502120657948,7.357631206512451,30200,0.0,0.0
2003-03-26,7.334568618620985,7.334568618620985,7.193874359130859,7.193874359130859,49800,0.0,0.0
2003-03-27,7.150049794205844,7.235389291767675,7.124678508999176,7.2330827713012695,23400,0.0,0.0
2003-03-28,7.235392167133263,7.369167327880859,7.235392167133263,7.369167327880859,60400,0.0,0.0
2003-03-31,7.346100627376647,7.346100627376647,7.237696350424621,7.2492289543151855,39200,0.0,0.0
2003-04-01,7.242310624109722,7.2930532100132925,7.154665019249631,7.290746688842773,52000,0.0,0.0
2003-04-02,7.316118607015049,7.43605552572388,7.313812085508726,7.406071186065674,65000,0.0,0.0
2003-04-03,7.380697869423088,7.438359571527956,7.362246142346485,7.392230033874512,62200,0.0,0.0
2003-04-04,7.3806977022412585,7.472956775458366,7.3806977022412585,7.449891567230225,33200,0.0,0.0
2003-04-07,7.507554065819507,7.519086231235179,7.380698486551468,7.4037628173828125,48200,0.0,0.0
2003-04-08,7.408380045458553,7.459122657775879,7.403767000716222,7.459122657775879,20000,0.0,0.0
2003-04-09,7.459118322879339,7.484489614293374,7.396843574821564,7.4083757400512695,19000,0.0,0.0
2003-04-10,7.438360041838426,7.496021747589111,7.429133957754843,7.496021747589111,24200,0.0,0.0
2003-04-11,7.553683453339797,7.611345159090482,7.496021747589111,7.496021747589111,33800,0.0,0.0
2003-04-14,7.484491023498067,7.615959667535228,7.484491023498067,7.61365270614624,24800,0.0,0.0
2003-04-15,7.634407628348578,7.749731011736609,7.634407628348578,7.717440605163574,82200,0.0,0.0
