,open,high,low,close,volume,dividends,stock_splits
2003-01-02,4.551060700089603,4.6926494095227795,4.551060700089603,4.664331436157227,90800,0.0,0.0
2003-01-03,4.5712887798340756,4.777603672280882,4.5712887798340756,4.745240211486816,151600,0.0,0.0
2003-01-06,4.704787877296134,4.741196443305049,4.611743721295752,4.672424793243408,158200,0.0,0.0
2003-01-07,4.664331962741513,4.664331962741513,4.510607182110016,4.530834197998047,147200,0.0,0.0
2003-01-08,4.522743623121778,4.555106694223331,4.4701535361321945,4.530834197998047,103400,0.0,0.0
2003-01-09,4.5389243683951355,4.63196808516259,4.5389243683951355,4.615786552429199,115600,0.0,0.0
2003-01-10,4.591513903110589,4.6724215572071985,4.591513903110589,4.627922058105469,188800,0.0,0.0
2003-01-13,4.631969303694233,4.631969303694233,4.490380951478974,4.542970657348633,92200,0.0,0.0
2003-01-14,4.502516944104214,4.502516944104214,4.39329128161572,4.449926853179932,42000,0.0,0.0
2003-01-15,4.449925708598463,4.52274279819458,4.369018045601761,4.498470306396484,120200,0.0,0.0
2003-01-16,4.502515534837863,4.571287140998404,4.478243044393729,4.563196182250977,69800,0.0,0.0
2003-01-17,4.555106909266344,4.579379020839257,4.490380764007568,4.490380764007568,95600,0.0,0.0
2003-01-21,4.518697135847712,4.611740848081455,4.44992552863227,4.551060199737549,102400,0.0,0.0
2003-01-22,4.534879771820113,4.652196003431232,4.4499266119777,4.640059947967529,131000,0.0,0.0
2003-01-23,4.672422940343984,4.680513515249565,4.591515262296977,4.648150444030762,162200,0.0,0.0
2003-01-24,4.611742286006832,4.8140116912842945,4.530834601055502,4.542970657348633,175800,0.0,0.0
2003-01-27,4.672426049762826,4.741197718318699,4.583427351784901,4.599608898162842,349000,0.0,0.0
2003-01-28,4.61174278525295,4.7533315385942325,4.61174278525295,4.676469326019287,250600,0.0,0.0
2003-01-29,4.672422090543865,4.769511286542106,4.672422090543865,4.753329753875732,120400,0.0,0.0
2003-01-30,4.757377327331309,4.9556012861871945,4.757377327331309,4.939419746398926,196800,0.0,0.0
2003-01-31,4.915145224799215,5.044597875727815,4.915145224799215,4.975826263427734,217200,0.0,0.0
2003-02-03,4.97987082452623,5.275183846328174,4.8949176947561455,5.21854829788208,252800,0.0,0.0
2003-02-04,5.2185518666028194,5.335868136912546,5.178098206446789,5.182143688201904,218400,0.0,0.0
2003-02-05,5.218551717159122,5.246869702835613,5.076963331970119,5.210461139678955,197400,0.0,0.0
2003-02-06,5.2064140948693485,5.259004182995089,5.2064140948693485,5.242822647094727,108800,0.0,0.0
2003-02-07,5.234733038569231,5.339913241992622,5.218551498488583,5.254960060119629,109400,0.0,0.0
2003-02-10,5.279231745100659,5.4370016399902905,5.271140783414889,5.339912414550781,131000,0.0,0.0
2003-02-11,5.319683507971158,5.360137530444718,5.202367305755615,5.202367305755615,129600,0.0,0.0
2003-02-12,5.161915499093239,5.271140781217585,5.161915499093239,5.222596168518066,111000,0.0,0.0
2003-02-13,5.2225963707541805,5.234732427949437,5.161915698979599,5.170006275177002,118400,0.0,0.0
2003-02-14,5.178095051085511,5.1821405303754435,5.076960383626021,5.129550457000732,68200,0.0,0.0
2003-02-18,5.089099325918592,5.254960213020808,5.0567362448156405,5.230688095092773,72400,0.0,0.0
2003-02-19,5.226642344066453,5.254959942122143,5.178097724914551,5.178097724914551,88800,0.0,0.0
2003-02-20,5.157870579284468,5.190233657937681,5.097189903259277,5.097189903259277,170600,0.0,0.0
2003-02-21,5.064824670213948,5.1780953973189465,5.064824670213948,5.157868385314941,389800,0.0,0.0
2003-02-24,5.15786772425963,5.238775376108,5.15786772425963,5.206412315368652,89000,0.0,0.0
2003-02-25,5.218550346192469,5.291367453375984,5.157869680738381,5.190232753753662,142800,0.0,0.0
2003-02-26,5.157869674896732,5.246868318487091,5.137642657835524,5.186187267303467,33800,0.0,0.0
2003-02-27,5.19832343151976,5.19832343151976,5.056734705447921,5.1376423835754395,91600,0.0,0.0
2003-02-28,4.652195883311556,4.712876544861543,4.328564788182409,4.409472465515137,1788800,0.0,0.0
2003-03-03,4.409473150163169,4.413518631107497,4.195067675491672,4.243612289428711,314600,0.0,0.0
2003-03-04,4.227429991132875,4.247657006418322,4.085841655731201,4.085841655731201,225000,0.0,0.0
2003-03-05,3.9442549750265514,4.00493566647682,3.7622125148773193,3.7622125148773193,786600,0.0,0.0
2003-03-06,3.8026649058724367,3.8026649058724367,3.762211253732354,3.778392791748047,790400,0.0,0.0
2003-03-07,3.762210428227263,3.782437442758237,3.721756399165315,3.741983413696289,186800,0.0,0.0
2003-03-10,3.7622109461749016,3.7703015216222013,3.6408492280792726,3.6813032627105713,370600,0.0,0.0
2003-03-11,3.6772572139614983,3.6772572139614983,3.535668500425293,3.5801680088043213,170600,0.0,0.0
