,open,high,low,close,volume,dividends,stock_splits
2003-01-02,6.163544986185532,6.423926750866716,6.124310054406879,6.313353538513184,1042080,0.0,0.0
2003-01-03,6.29551689294446,6.384687972208344,6.277682023979207,6.352586269378662,299760,0.0,0.0
2003-01-06,6.352587838795654,6.3668554925755245,6.29195122867085,6.345454216003418,737040,0.0,0.0
2003-01-07,6.349018762444284,6.349018762444284,6.099337987886049,6.127872467041016,674640,0.0,0.0
2003-01-08,6.063671794542588,6.063671794542588,5.8318257817706645,5.88176155090332,859440,0.0,0.0
2003-01-09,5.88532826675514,6.03513678591433,5.849659338462737,5.9745001792907715,448560,0.0,0.0
2003-01-10,5.963798514868008,6.045835971701069,5.938830025299281,6.042268753051758,402480,0.0,0.0
2003-01-13,6.052969528803,6.056536339219422,5.903161042141553,5.992332935333252,427680,0.0,0.0
2003-01-14,5.9887679275919234,6.1064747557640535,5.9209980964660645,5.9209980964660645,332160,0.0,0.0
2003-01-15,5.949530475361535,5.963798533613047,5.742652202815752,5.8460917472839355,415200,0.0,0.0
2003-01-16,5.8781960086141005,6.067239902934676,5.8781960086141005,6.056539058685303,209280,0.0,0.0
2003-01-17,6.045835496079457,6.056535926599724,5.867492538236784,5.960230827331543,526320,0.0,0.0
2003-01-21,5.992334703630675,6.06723896906514,5.938831715205401,5.9994683265686035,497520,0.0,0.0
2003-01-22,6.003034307110963,6.003034307110963,5.728386188258252,5.7676215171813965,873360,0.0,0.0
2003-01-23,5.771188437611616,5.910296517456914,5.771188437611616,5.871060371398926,215280,0.0,0.0
2003-01-24,5.746220234750052,5.746220234750052,5.492972982118386,5.514374256134033,593040,0.0,0.0
2003-01-27,5.510807383183621,5.51437460257313,5.189789477367099,5.264693737030029,663600,0.0,0.0
2003-01-28,5.350297746204195,5.703417315814606,5.350297746204195,5.617812633514404,620640,0.0,0.0
2003-01-29,5.528641147402735,5.646347543379166,5.475138165923384,5.564310073852539,497280,0.0,0.0
2003-01-30,5.653481904546022,5.885327882325585,5.599978923797607,5.599978923797607,652080,0.0,0.0
2003-01-31,5.599978250754588,5.599978250754588,5.457303380442875,5.5215067863464355,519840,0.0,0.0
2003-02-03,5.582144864635599,5.689150841698204,5.5429095302038345,5.607113361358643,336240,0.0,0.0
2003-02-04,5.610680609766976,5.706986159901287,5.607113798013177,5.696285724639893,349200,0.0,0.0
2003-02-05,5.6998516446886205,5.72482014302617,5.54647710852013,5.557177543640137,197280,0.0,0.0
2003-02-06,5.54637687780327,5.632757749142674,5.470793460920109,5.571571350097656,298560,0.058333,0.0
2003-02-07,5.593168348125352,5.603966217716029,5.50678745088298,5.528382778167725,180480,0.0,0.0
2003-02-10,5.531983134513616,5.740736484527588,5.528383569537053,5.740736484527588,573120,0.0,0.0
2003-02-11,5.740737448425657,5.740737448425657,5.549979831782022,5.58957052230835,177120,0.0,0.0
2003-02-12,5.589567107524729,5.62196029468643,5.49598834511098,5.571571350097656,298800,0.0,0.0
2003-02-13,5.571574830892017,5.571574830892017,5.3628206191486605,5.438404083251953,276000,0.0,0.0
2003-02-14,5.463597213484764,5.503188306615922,5.395212073844313,5.442002296447754,302880,0.0,0.0
2003-02-18,5.409607794596193,5.5427788889732135,5.409607794596193,5.53917932510376,246240,0.0,0.0
2003-02-19,5.539182128169848,5.539182128169848,5.402412636401709,5.445602893829346,439920,0.0,0.0
2003-02-20,5.44199987858068,5.5427777608979225,5.254840718907827,5.449197769165039,407040,0.0,0.0
2003-02-21,5.470794242661529,5.837913513183594,5.470794242661529,5.837913513183594,492720,0.0,0.0
2003-02-24,5.909899127408745,6.075461792941053,5.855911015154917,6.05746603012085,474720,0.0,0.0
2003-02-25,6.06106651446348,6.241026641357536,6.06106651446348,6.122252941131592,1063920,0.0,0.0
2003-02-26,6.1222527652853875,6.190637908106541,5.981883738532834,6.093459129333496,432480,0.0,0.0
2003-02-27,6.093457929201369,6.183437560445422,5.974684255779873,6.064663887023926,351360,0.0,0.0
2003-02-28,6.082660386221752,6.406589031219482,6.082660386221752,6.406589031219482,696720,0.0,0.0
2003-03-03,6.438981664611161,6.453377861370456,6.212231783108889,6.248223304748535,642960,0.0,0.0
2003-03-04,6.21223222071113,6.478573206675175,6.21223222071113,6.449779987335205,572880,0.0,0.0
2003-03-05,6.449780893088106,6.449780893088106,6.3382050929939995,6.38139533996582,423600,0.0,0.0
2003-03-06,6.3813940720922195,6.406588961340242,6.25182294502367,6.3202080726623535,650400,0.0,0.0
2003-03-07,6.323807907663316,6.399390940904998,6.323807907663316,6.356200695037842,521280,0.0,0.0
2003-03-10,6.3274057611766,6.3633981058877,6.287815088166809,6.302211284637451,277920,0.0,0.0
2003-03-11,6.35619778884941,6.35619778884941,6.2266262866975035,6.266218185424805,502800,0.0,0.0
2003-03-12,5.9746841518144835,5.9746841518144835,5.535580164956545,5.675949573516846,2193840,0.0,0.0
2003-03-13,5.704745051786931,5.827117494296845,5.596768809947389,5.823518753051758,688800,0.0,0.0
2003-03-14,5.8199185199147125,5.823517672388584,5.636358860471102,5.650755882263184,621840,0.0,0.0
2003-03-17,5.650756104008827,5.755132765536806,5.571573098889989,5.690347194671631,702240,0.0,0.0
2003-03-18,5.708342974913654,5.765930652618408,5.6687518841317885,5.765930652618408,767760,0.0,0.0
2003-03-19,5.765930774232034,6.064664567451347,5.690347331803432,5.780327796936035,487440,0.0,0.0
2003-03-20,5.74073559321449,5.866708402832173,5.697544939168234,5.8271164894104,603120,0.0,0.0
2003-03-21,5.841513162186748,5.841513162186748,5.704743726975062,5.773128032684326,501840,0.0,0.0
2003-03-24,5.758731811268746,5.7623305516630445,5.675949660992294,5.697544574737549,380880,0.0,0.0
2003-03-25,5.7047442341843375,5.812720460548753,5.7047442341843375,5.765930652618408,108960,0.0,0.0
2003-03-26,5.765931101527623,5.794724324776787,5.722740442860583,5.758732795715332,175680,0.0,0.0
2003-03-27,5.74793481050185,5.787525488843053,5.740735681555685,5.762331008911133,124080,0.0,0.0
2003-03-28,5.740734999181662,5.895501012953354,5.740734999181662,5.881103992462158,355200,0.0,0.0
2003-03-31,5.8811054042497934,5.949490547180176,5.855911745057884,5.949490547180176,205440,0.0,0.0
2003-04-01,5.902700380861389,6.115054102965435,5.902700380861389,6.035871505737305,408000,0.0,0.0
2003-04-02,6.035870451843112,6.151044556933169,5.866707828531945,5.942291259765625,668400,0.0,0.0
