,open,high,low,close,volume,dividends,stock_splits
2015-01-02,114.34560761750538,115.37727212166968,113.49126160297034,114.13605499267578,1471000,0.0,0.0
2015-01-05,114.20051674806247,114.57933234091782,112.6771989187708,112.83839416503906,1748500,0.0,0.0
2015-01-06,113.33006034543484,115.20801530576617,112.71751342168797,114.3294906616211,3185200,0.0,0.0
2015-01-07,114.93399566766702,116.40894419337737,114.74055394865678,116.32029724121094,2171600,0.0,0.0
2015-01-08,117.31962585449219,117.75486631554647,116.81991716803958,117.31962585449219,2937700,0.0,0.0
2015-01-09,116.44918112049797,116.90860033492773,115.43364033370237,115.51424407958984,1727000,0.0,0.0
2015-01-12,115.72379904161856,116.19127372113363,114.54705073823168,114.86945343017578,1344800,0.0,0.0
2015-01-13,114.61156670711627,116.39280677283692,113.15272943300585,113.7169189453125,2198500,0.0,0.0
2015-01-14,112.84646957917892,113.0076771523648,111.41987848409069,112.28227996826172,2207900,0.0,0.0
2015-01-15,112.7981122265876,112.97543071836317,111.72614581663937,112.28227996826172,1819600,0.0,0.0
2015-01-16,112.06462290308085,112.8061430614762,111.40371880330295,112.61270141601562,1784800,0.0,0.0
2015-01-20,113.41868264118406,113.86197869745091,111.516549625717,112.33866119384766,1836100,0.0,0.0
2015-01-21,111.91149430011629,112.59657706132158,111.53267876810578,112.14522552490234,1682000,0.0,0.0
2015-01-22,112.43535121190554,113.87000918973355,111.54070383935854,113.86195373535156,1897500,0.0,0.0
2015-01-23,114.11989391862807,114.7002065470135,113.53958129024265,114.49065399169922,1696800,0.0,0.0
2015-01-26,114.1763142913394,115.29663762237514,114.10377829039041,115.18379974365234,1482800,0.0,0.0
2015-01-27,115.05488051521219,115.09518240764926,113.53961790813683,113.63634490966797,1786500,0.0,0.0
2015-01-28,114.1279859679515,114.81306887062401,112.48376240471845,112.53211975097656,2016300,0.0,0.0
2015-01-29,112.96730849183547,113.39448125180103,111.95982324693483,113.35417938232422,1873400,0.0,0.0
2015-01-30,115.3288443066193,115.90110131868101,113.91836500896109,115.24825286865234,5169000,0.0,0.0
2015-02-02,116.0623319442958,117.85968266904581,112.94316070878317,117.67430877685547,4797500,0.0,0.0
2015-02-03,117.96449065485561,124.03358376039783,116.68297174695607,123.92074584960938,10302900,0.0,0.0
2015-02-04,122.57471578698144,126.4192838495799,122.56666033051053,125.66970825195312,11006300,0.0,0.0
2015-02-05,124.4872573653928,125.81956754328274,122.83853336728889,124.1458511352539,6986700,5.0,0.0
2015-02-06,124.24583228397672,124.86201550504076,123.37150417462585,123.82115173339844,2927400,0.0,0.0
2015-02-09,123.82111077235629,124.20415410418367,122.25566081765245,122.85518646240234,2740200,0.0,0.0
2015-02-10,123.22997810749196,123.63798867316294,122.40560922634789,123.42149353027344,1703400,0.0,0.0
2015-02-11,123.85968323285805,123.93480229714201,122.3238562600287,123.08342742919922,2295800,0.355,0.0
2015-02-12,123.54246614660875,123.85965243208112,122.58257771138105,123.33379364013672,1712200,0.0,0.0
2015-02-13,123.72608894128784,124.20186833092708,122.64934449917706,122.78289794921875,1926800,0.0,0.0
2015-02-17,122.69946091058762,123.20862244831052,121.58097908554448,123.141845703125,1541500,0.0,0.0
2015-02-18,122.8330196509067,123.10011390670265,122.30716072032148,122.89144134521484,1541000,0.0,0.0
2015-02-19,122.61598641205134,123.125147948184,122.24873341922084,122.42401123046875,1273700,0.0,0.0
2015-02-20,122.4239627375869,123.3588113242413,121.78124796608363,123.15013885498047,1595600,0.0,0.0
2015-02-23,123.53409062747978,123.91805354018328,122.72444050108042,123.859619140625,1587300,0.0,0.0
2015-02-24,124.68602816003902,124.70271279412735,123.53415158984922,123.70944213867188,1844200,0.0,0.0
2015-02-25,123.28375342735359,124.03498233103443,122.85806596405527,123.1001205444336,1602700,0.0,0.0
2015-02-26,122.75790687388617,123.20863402578928,122.03171766198247,122.4073257446289,1892600,0.0,0.0
2015-02-27,123.16684483262043,123.16684483262043,121.72283481052558,122.6660385131836,3036200,0.0,0.0
2015-03-02,122.96658876980007,123.94317495327405,122.96658876980007,123.48409271240234,2108600,0.0,0.0
2015-03-03,123.48404205318285,123.65097750782452,122.41563985984558,123.00826263427734,1514300,0.0,0.0
2015-03-04,123.40063359258855,123.51748974662759,121.68117329614302,122.84139251708984,2208600,0.0,0.0
2015-03-05,125.8461904995204,126.66418297495821,124.36878591939883,126.18006134033203,4471100,0.0,0.0
2015-03-06,124.61091512274035,125.32874932383531,123.676066018566,124.81958770751953,3014900,0.0,0.0
2015-03-09,125.02826711932296,126.02990577004743,124.82794957826967,125.7711410522461,1727900,0.0,0.0
2015-03-10,124.994863779059,125.32873478141974,123.65935429689141,123.66770935058594,2128100,0.0,0.0
2015-03-11,123.8095936714738,124.36049223696104,122.98324582324295,123.0333251953125,1734300,0.0,0.0
2015-03-12,123.85133728882386,124.90304236708862,123.03333171381166,124.7361068725586,1564000,0.0,0.0
2015-03-13,124.44397638193168,125.12842855575036,123.65936544564723,124.60256958007812,1470100,0.0,0.0
2015-03-16,124.9697824262595,126.03818456124752,124.60251680429022,125.19515228271484,2532700,0.0,0.0
2015-03-17,124.69436781501597,125.37046483565464,123.89305962321652,125.22856903076172,1972500,0.0,0.0
2015-03-18,125.2035187721633,126.56406775178954,123.74281105315474,125.97977447509766,2772500,0.0,0.0
2015-03-19,126.03822225373054,126.45556736053096,125.47063902193567,126.2969741821289,1862900,0.0,0.0
2015-03-20,126.98139092749611,127.83276553822192,126.6642046589757,127.36534118652344,5859300,0.0,0.0
2015-03-23,127.83277986906766,128.1750058564834,127.45717188265614,127.6491470336914,1665900,0.0,0.0
2015-03-24,127.66581636764874,128.73421840994385,127.61573701197194,127.82440948486328,1637000,0.0,0.0
2015-03-25,128.16665481593233,128.5088807800512,126.11331176757812,126.11331176757812,2266800,0.0,0.0
2015-03-26,124.6359385184198,125.84623668094673,124.51072735489994,125.25360107421875,1554800,0.0,0.0
2015-03-27,125.37883319469302,126.22186579665114,125.22024000287567,125.5958480834961,1329900,0.0,0.0
2015-03-30,125.96307659674136,127.36534974607619,125.87126018317592,127.18171691894531,1463800,0.0,0.0
2015-03-31,126.73935037348942,127.70759401226988,126.24688623761973,126.45555877685547,1886100,0.0,0.0
2015-04-01,126.73101637947903,126.7643983839501,124.95312215280012,125.40386199951172,1795000,0.0,0.0
2015-04-02,125.59580531042914,126.87287999143423,125.503988900981,126.56404876708984,1095300,0.0,0.0
2015-04-06,126.34703355904242,127.574028997737,125.70433136647658,127.29023742675781,1767600,0.0,0.0
2015-04-07,127.31526463110185,127.66583290260117,126.6391677691847,126.68924713134766,1391700,0.0,0.0
2015-04-08,127.06490764724118,127.43217343684228,126.1968352924818,126.87293243408203,1483000,0.0,0.0
2015-04-09,125.67928292928003,126.03819352586827,123.75949332830295,124.21022033691406,3401800,0.0,0.0
