,open,high,low,close,volume,dividends,stock_splits
2015-01-02,59.180942813062664,59.704579318063594,57.80762565027734,58.528865814208984,2796400,0.0,0.0
2015-01-05,57.896544830551726,58.52886522606268,57.14566977868252,57.47170639038086,3688200,0.0,0.0
2015-01-06,57.48158283665472,57.84714014399485,55.87114899462591,56.51334762573242,3174900,0.0,0.0
2015-01-07,57.09626647742035,57.25434562224579,55.920549304433486,56.24658966064453,4284300,0.0,0.0
2015-01-08,56.64178874960537,58.074379334059486,56.483705837711,57.886661529541016,3756600,0.0,0.0
2015-01-09,58.44982196537106,58.785740634036,57.076508627533386,57.46182632446289,6875300,0.0,0.0
2015-01-12,57.748337640251634,57.89653470368221,56.829501525147926,57.03697967529297,2724500,0.0,0.0
2015-01-13,57.68906524955914,58.82526175164855,56.612149843120214,57.27410888671875,3509100,0.0,0.0
2015-01-14,56.72082710016176,57.08638441593358,55.70319284081401,56.562747955322266,3098400,0.0,0.0
2015-01-15,56.46394861444151,56.84926628563705,54.36939528199273,54.44843673706055,4821000,0.0,0.0
2015-01-16,54.30023861319473,56.03911302274775,54.29036031526845,55.9600715637207,3236700,0.0,0.0
2015-01-20,56.019350670515344,56.86902748038994,55.14003519900924,56.60226821899414,6521500,0.0,0.0
2015-01-21,56.30586911163217,57.84713978651678,56.15766826878373,57.0172233581543,3544900,0.0,0.0
2015-01-22,57.214821705512364,57.7582185000125,56.48370334587124,57.303741455078125,5481500,0.0,0.0
2015-01-23,57.303745503072484,58.34114014201969,57.08638526235633,57.91630172729492,3887300,0.0,0.0
2015-01-26,57.82738338436012,59.259977810720734,57.698946665257125,59.0623779296875,4753200,0.0,0.0
2015-01-27,58.192943439803834,58.192943439803834,56.552870863776945,57.09626770019531,4150700,0.0,0.0
2015-01-28,57.72858623144621,57.797745625554185,55.673553466796875,55.673553466796875,4683400,0.0,0.0
2015-01-29,56.11814860455558,57.560621257468796,55.17955204284484,57.40254211425781,4424500,0.0,0.0
2015-01-30,56.80974878478749,57.44206538562827,55.693312666419345,55.77235412597656,3817400,0.0,0.0
2015-02-02,56.19718837664566,56.64178713138652,54.78435442763802,56.592384338378906,3495200,0.0,0.0
2015-02-03,56.96782510473938,57.95582068669387,56.54298670298663,57.90642166137695,3474200,0.0,0.0
2015-02-04,57.73846355189297,58.75610161878549,57.511225008114245,58.281864166259766,3013100,0.0,0.0
2015-02-05,58.242342088987996,58.765978557368854,58.05462051058417,58.54861831665039,2513000,0.0,0.0
2015-02-06,58.5486212984626,58.983341802039334,57.94594711024782,58.45970153808594,2714200,0.0,0.0
2015-02-09,58.14353639324565,58.27197686956007,57.12590218658748,57.28398132324219,2879000,0.0,0.0
2015-02-10,57.79773942042817,58.459694626938685,57.52110187369588,58.084259033203125,3093700,0.0,0.0
2015-02-11,58.113895646909356,58.390533183899215,57.90641749416696,58.09413528442383,3413700,0.0,0.0
2015-02-12,58.578259848884564,60.603650068892115,58.509100458609,60.52460861206055,5284800,0.0,0.0
2015-02-13,60.51472861629971,62.46108109376304,60.36652777335126,62.09552001953125,5107000,0.0,0.0
2015-02-17,61.828766186401914,61.85840484822285,61.08776948964583,61.324886322021484,3447200,0.0,0.0
2015-02-18,61.650925172926186,62.24372100830078,61.54224505702991,62.24372100830078,2534300,0.0,0.0
2015-02-19,61.83865094016042,62.27336769083743,61.26561162576825,62.05601119995117,2320900,0.0,0.0
2015-02-20,62.026363418074624,62.98472036935174,61.75960415012416,62.9748420715332,3473800,0.0,0.0
2015-02-23,62.38204098778086,62.67843891118157,61.62128393074645,61.828765869140625,4671400,0.0,0.0
2015-02-24,61.82876016669787,61.83863846337505,60.8111222393762,61.186561584472656,5481700,0.0,0.0
