,open,high,low,close,volume,dividends,stock_splits
2015-01-02,19.888611365065103,20.07421952708135,19.545949409705486,19.710142135620117,22926500,0.19,0.0
2015-01-05,19.503116856486294,19.59592161678063,19.274676464395842,19.317508697509766,29460600,0.0,0.0
2015-01-06,19.374620434838917,19.76011465031772,19.303233827479662,19.31037139892578,47297600,0.0,0.0
2015-01-07,19.374614212079358,19.56022232714657,19.2603940430552,19.488834381103516,27570800,0.0,0.0
2015-01-08,19.660172597827728,20.05280439048636,19.61020006568933,19.638755798339844,40907000,0.0,0.0
2015-01-09,19.752974383707855,20.038524878703722,19.59592195186317,19.838640213012695,33619600,0.0,0.0
2015-01-12,19.98855291597235,20.131328838588423,19.860054857940302,20.024246215820312,38648400,0.0,0.0
2015-01-13,20.138463953197164,20.488264784783905,19.917162525582892,20.059938430786133,36074200,0.0,0.0
2015-01-14,19.874330263735025,20.024243738484184,19.731554358782734,19.931440353393555,29494400,0.0,0.0
2015-01-15,20.0528001997246,20.131327086490188,19.52453151060153,19.567363739013672,29521100,0.0,0.0
2015-01-16,19.531670487558785,19.82435987867572,19.424587873862155,19.76011085510254,26655100,0.0,0.0
2015-01-20,19.8172175081847,20.181294791385156,19.745829565311947,20.03851890563965,33684200,0.0,0.0
2015-01-21,20.03138485123893,20.124189608047605,19.774390100595713,19.874332427978516,29298500,0.0,0.0
2015-01-22,19.66730966145048,20.35263224962865,19.431730319616914,20.34549331665039,49494700,0.0,0.0
2015-01-23,20.245550418799258,20.34549275450901,20.088496620841415,20.13846778869629,21802500,0.0,0.0
2015-01-26,20.145605607879997,20.152744540266387,19.774390655072636,19.96713638305664,18370100,0.0,0.0
2015-01-27,19.645889422474568,19.695860579496685,19.031954952518518,19.203285217285156,46110500,0.0,0.0
2015-01-28,19.5530866070407,19.70300145450864,19.131899153999786,19.1390380859375,32381700,0.0,0.0
2015-01-29,19.089069657970924,19.49597930541505,19.017681689981444,19.431730270385742,28095400,0.0,0.0
2015-01-30,19.189011962122688,19.353204696690675,18.789241248348446,18.824935913085938,38419100,0.0,0.0
2015-02-02,18.8392121676856,19.1818741365629,18.503690493273396,19.153318405151367,29417000,0.0,0.0
2015-02-03,19.203284453395348,19.36033821105957,19.053370988292432,19.36033821105957,28044300,0.0,0.0
2015-02-04,19.31751280778892,19.431733028137323,18.996268948663687,19.05337905883789,27696300,0.0,0.0
2015-02-05,19.09620404739936,19.488835735504864,18.97484493917571,19.460281372070312,20548400,0.0,0.0
2015-02-06,19.53881153527513,19.745835130177557,19.374618811910697,19.446006774902344,25482400,0.0,0.0
2015-02-09,19.424585866380927,19.567361762146245,19.31750462536286,19.36033821105957,23681000,0.0,0.0
2015-02-10,19.388892391749447,19.660166318841835,19.381753460866822,19.62447166442871,22250300,0.0,0.0
2015-02-11,19.738699526446226,19.738699526446226,19.203291756136046,19.224708557128906,46213500,0.0,0.0
2015-02-12,20.69528592725654,21.116473300534686,20.5882046916935,21.030807495117188,117439100,0.0,0.0
2015-02-13,20.97370474864763,21.05937058403105,20.780959001856395,21.0093994140625,50656700,0.0,0.0
2015-02-17,20.888035646976604,20.952284668876253,20.723844307282814,20.923728942871094,34217200,0.0,0.0
2015-02-18,20.83806074544039,21.095055425269265,20.788089595518436,21.052223205566406,24503700,0.0,0.0
2015-02-19,20.923728942871094,20.980839033269454,20.795230899071793,20.923728942871094,21477800,0.0,0.0
2015-02-20,20.952281753687412,21.173583152988865,20.816644797258625,21.137889862060547,25985600,0.0,0.0
2015-02-23,21.15216827392578,21.166446136232743,21.002254804538392,21.15216827392578,24026800,0.0,0.0
2015-02-24,21.10219711746332,21.209278361541724,21.009393735691873,21.15216827392578,18479500,0.0,0.0
2015-02-25,21.016529916082643,21.109333285707457,20.93086411506521,21.052223205566406,17368100,0.0,0.0
2015-02-26,21.07364684961573,21.409168509358445,21.07364684961573,21.35205841064453,28305200,0.0,0.0
2015-02-27,21.33777802861839,21.35205589201573,20.97370068165819,21.066505432128906,29135500,0.0,0.0
2015-03-02,20.95942322995309,21.63760537124633,20.945145367202848,21.55194091796875,35981900,0.0,0.0
