,open,high,low,close,volume,dividends,stock_splits
2003-01-02,8.531639900706733,8.879907899468439,8.494391823035622,8.742090225219727,4822000,0.0,0.0
2003-01-03,8.732780539826098,8.783065350531881,8.628486749130992,8.768166542053223,4558800,0.0,0.0
2003-01-06,8.786788070383707,9.034486472846018,8.783063191567614,8.98420238494873,4572000,0.0,0.0
2003-01-07,8.88363255174863,8.973027509610938,8.747677675596703,8.822173118591309,5070400,0.0,0.0
2003-01-08,8.818447555169055,8.820310349606867,8.514877423013886,8.522326469421387,4390800,0.0,0.0
2003-01-09,8.567026595105197,8.792376471990638,8.565164510616473,8.67504596710205,4118800,0.0,0.0
2003-01-10,8.578201078731059,8.78678934966504,8.526053478161494,8.710431098937988,4698000,0.0,0.0
2003-01-13,8.716016821668061,8.82962313935453,8.572612183805468,8.632208824157715,5576400,0.0,0.0
2003-01-14,8.647109999536871,8.742091941317845,8.58378846820018,8.686220169067383,4619600,0.0,0.0
2003-01-15,8.650833027494572,8.708566871935435,8.35471191645461,8.427345275878906,6663200,0.0,0.0
2003-01-16,8.483217608005571,8.53350240879228,8.287666078578162,8.341675758361816,4558400,0.0,0.0
2003-01-17,8.31373932415338,8.380785723613974,8.045554436759016,8.05672836303711,6227200,0.0,0.0
2003-01-21,8.10887345835675,8.162883120216454,7.9244959166607165,7.939395427703857,4654800,0.0,0.0
2003-01-22,7.943120737592241,8.1870942053903,7.846276041886572,7.928221225738525,7740400,0.0,0.0
2003-01-23,8.004580428216482,8.054865221209575,7.900285963810669,7.954295635223389,6036000,0.0,0.0
2003-01-24,7.933807936714324,7.950569531796096,7.661898248008078,7.710320949554443,6176400,0.0,0.0
2003-01-27,7.654449910549735,7.917047808520327,7.6376883123623385,7.764331340789795,5944400,0.0,0.0
2003-01-28,7.803442593468104,7.8686261949273675,7.704735083539543,7.769919395446777,5024800,0.0,0.0
2003-01-29,7.768056995371947,7.952434593853048,7.565055712798942,7.868626594543457,5010800,0.0,0.0
2003-01-30,7.838828598673852,7.848140441105812,7.550157220594852,7.581817626953125,6537600,0.0,0.0
2003-01-31,7.572506209951522,7.83696695465468,7.516634441772794,7.691699504852295,5818000,0.0,0.0
2003-02-03,7.673076068233362,7.864902739043563,7.611616623926346,7.797856330871582,5269600,0.0,0.0
2003-02-04,7.684246703311766,7.740119159812821,7.594851767536994,7.6749348640441895,5913200,0.0,0.0
2003-02-05,7.742424387857395,7.97488490634889,7.626194486178302,7.6318182945251465,7254800,0.0675,0.0
2003-02-06,7.5268376358067846,7.693683978204383,7.429354226905552,7.506216049194336,8132400,0.0,0.0
2003-02-07,7.52496455361715,7.622447988396311,7.348744911016507,7.382489204406738,5202800,0.0,0.0
2003-02-10,7.451851098523049,7.547459439468008,7.2662575112218555,7.429355144500732,4532000,0.0,0.0
2003-02-11,7.511838866739796,7.656189238840841,7.316872074670857,7.434977054595947,4839200,0.0,0.0
2003-02-12,7.406858561989317,7.449976820808918,7.202518463134766,7.202518463134766,4494800,0.0,0.0
2003-02-13,7.21001846463132,7.363742153695617,7.150028767198111,7.266258716583252,6169200,0.0,0.0
2003-02-14,7.329996678671384,7.461224388841493,7.165025394872923,7.397485256195068,4545200,0.0,0.0
2003-02-18,6.724474205769504,6.9175666529798265,6.4713927954718855,6.578249454498291,27264800,0.0,0.0
2003-02-19,6.572625272021575,6.617617170562815,6.195814367288698,6.29329776763916,12667200,0.0,0.0
2003-02-20,6.343913825399244,6.383281913144521,6.00084722184765,6.073960304260254,12312400,0.0,0.0
2003-02-21,6.083334988969624,6.282050553986814,6.038342367283897,6.242682456970215,9495600,0.0,0.0
2003-02-24,6.143323460613621,6.237057415065827,6.012095781353867,6.019594669342041,5268400,0.0,0.0
2003-02-25,5.9727274365271565,6.045839803449875,5.850873014900432,5.983975410461426,7613600,0.0,0.0
2003-02-26,6.000847605982541,6.060837996320244,5.781510490104081,5.792758464813232,7384400,0.0,0.0
2003-02-27,5.766514112718487,6.20893822603451,5.736519269699324,6.113329887390137,10196400,0.0,0.0
2003-02-28,6.07208557360029,6.415152196860572,6.055213432863992,6.29329776763916,9539600,0.0,0.0
2003-03-03,6.336415342045985,6.454520327951834,6.182691709973825,6.218310356140137,5024800,0.0,0.0
2003-03-04,6.2464307902235765,6.253929678359099,5.998973202818001,6.043965816497803,4461200,0.0,0.0
2003-03-05,5.995223102739538,6.102079744011574,5.946481407892066,6.028967380523682,6085200,0.0,0.0
2003-03-06,5.9614787027129115,6.006471310546931,5.826501951910716,5.980225563049316,5916800,0.0,0.0
2003-03-07,5.916487889587642,6.186441814331704,5.856498207992675,6.075835704803467,6893600,0.0,0.0
2003-03-10,6.058964118080991,6.079585707108848,5.8771203343658796,5.933360576629639,4655200,0.0,0.0
