,open,high,low,close,volume,dividends,stock_splits
2003-01-02,8.267502425418105,8.374703804115136,8.121318445555142,8.254508018493652,3832200,0.0,0.0
2003-01-03,8.283746147730307,8.511143348648266,8.283746147730307,8.410438537597656,4623600,0.0,0.0
2003-01-06,8.410438896891929,8.572865298884325,8.28049789921952,8.322729110717773,5273800,0.0,0.0
2003-01-07,8.325974034232566,8.325974034232566,8.0368553431934,8.111571311950684,6928400,0.0,0.0
2003-01-08,8.127814471723918,8.24476101906745,8.079086692030168,8.105074882507324,3081400,0.0,0.0
2003-01-09,8.105072490077784,8.283741169418459,8.095326689172834,8.261001586914062,4640200,0.0,0.0
2003-01-10,8.179792424963892,8.306484800441389,8.17004661930891,8.222023010253906,3242200,0.0,0.0
2003-01-13,8.25125941676254,8.306484406976612,8.127815649017368,8.254508018493652,3583000,0.0,0.0
2003-01-14,8.25450801361913,8.316230207258979,8.202531625166865,8.312981605529785,2181800,0.0,0.0
2003-01-15,8.280496769824548,8.303236363864773,8.157052993774414,8.157052993774414,1866200,0.0,0.0
2003-01-16,8.251258259204272,8.32272624804776,8.251258259204272,8.293489456176758,2978200,0.0,0.0
2003-01-17,8.1862886527881,8.296738625280554,8.17979144979269,8.238265037536621,2746600,0.0,0.0
2003-01-21,8.302733272332125,8.345060658899659,8.02923142073779,8.04876708984375,3394600,0.029,0.0
2003-01-22,8.025978771304928,8.117146300787494,7.925043713646789,7.980395317077637,3677000,0.0,0.0
2003-01-23,7.9706252533400805,7.986905498102181,7.856666024116729,7.882713794708252,4428000,0.0,0.0
2003-01-24,7.882714328522275,7.898994574386866,7.700379922034006,7.7492194175720215,3581200,0.0,0.0
2003-01-27,7.635260504273732,7.700379622112137,7.472461778135937,7.553861141204834,4161400,0.0,0.0
2003-01-28,7.651538448829033,7.687354359446039,7.55711491030337,7.667818069458008,5106000,0.0,0.0
2003-01-29,7.553858266525395,7.560369741111744,7.342219506264751,7.387803554534912,7142000,0.0,0.0
2003-01-30,7.407340938484928,7.439900803079425,7.111047350627751,7.159886837005615,7577800,0.0,0.0
2003-01-31,7.163144325659108,7.423622052726466,7.133840503735544,7.365015029907227,10410600,0.0,0.0
2003-02-03,7.488739329185328,7.618978149835188,7.472459709489476,7.599442481994629,8738200,0.0,0.0
2003-02-04,7.9934163093566895,8.081327760668014,7.882713138304159,7.9934163093566895,13628000,0.0,0.0
2003-02-05,8.07481386902058,8.250636732574057,8.035742535582685,8.139933586120605,8660600,0.0,0.0
2003-02-06,8.139936923753702,8.260408263477533,8.126912726582303,8.172496795654297,6443400,0.0,0.0
2003-02-07,8.2213295238959,8.26365688779658,8.058530919462319,8.107370376586914,4857000,0.0,0.0
2003-02-10,8.117143146133811,8.126910670513322,8.009696030764976,8.084583282470703,6009600,0.0,0.0
2003-02-11,8.188776360023423,8.432974465914945,8.188776360023423,8.208312034606934,4999000,0.0,0.0
2003-02-12,8.23761316034948,8.367852604345716,8.130166053771973,8.130166053771973,4737800,0.0,0.0
2003-02-13,8.130164714621472,8.130164714621472,7.912014489196137,8.045509338378906,8274200,0.0,0.0
2003-02-14,8.045512145963674,8.172495565153811,7.8924815784083595,8.136679649353027,6979200,0.0,0.0
2003-02-18,8.188773471564206,8.367852392000827,8.182261375324108,8.299476623535156,4800000,0.0,0.0
2003-02-19,8.3678554780312,8.40041472918405,8.234360561015214,8.286456108093262,4505800,0.0,0.0
2003-02-20,8.273431910809796,8.354831280747733,8.231104511694348,8.286456108093262,3217800,0.0,0.0
2003-02-21,8.270175072890796,8.48832538836398,8.208311383749129,8.45902156829834,4337000,0.0,0.0
2003-02-24,8.416691966028116,8.416691966028116,8.172493943538099,8.18226146697998,4848000,0.0,0.0
