,open,high,low,close,volume,dividends,stock_splits
2015-01-02,35.12582513189995,35.24017558796007,34.75827373695196,35.00739288330078,3070588,0.0,0.0
2015-01-05,34.83178261067864,34.95838539626812,34.488733565090406,34.66025924682617,4495187,0.0,0.0
2015-01-06,34.76645620233921,34.852217920581,34.13344664211232,34.423404693603516,4294330,0.0,0.0
2015-01-07,34.74193060051252,34.86036514417275,34.5377343902751,34.63166427612305,4920112,0.0,0.0
2015-01-08,34.958383776039014,35.236089360778415,34.92571089462271,35.166664123535156,4403983,0.0,0.0
2015-01-09,35.28917977478742,35.334102667960025,34.86036907565811,34.92979431152344,3101832,0.0,0.0
2015-01-12,34.7296736505572,34.872610515127974,34.36620416655104,34.496891021728516,4540119,0.0,0.0
2015-01-13,34.84403135706429,35.09315047436455,34.15384922652663,34.44789123535156,5707472,0.0,0.0
2015-01-14,34.09259538140697,34.34171453879556,33.753630426511045,33.90473556518555,7131774,0.0,0.0
2015-01-15,34.08442572639423,34.141600954552864,33.49225752841668,33.500423431396484,6238628,0.0,0.0
2015-01-16,33.39424560436632,33.74954469108855,33.181881120163645,33.70870590209961,6323732,0.0,0.0
2015-01-20,33.91289049371998,34.080332020621036,33.65152140698819,33.88430404663086,5035270,0.0,0.0
2015-01-21,33.79856171679016,34.16203142554878,33.67195889241945,34.00275802612305,4500245,0.0,0.0
2015-01-22,34.29679838124906,34.529581141978774,33.96191515325011,34.50916290283203,5777103,0.0,0.0
2015-01-23,34.509165538412184,34.52549966740029,34.33763979990659,34.362144470214844,5630105,0.0,0.0
2015-01-26,34.24778707775458,34.36213754705272,33.986415569880386,34.166107177734375,4554700,0.0,0.0
2015-01-27,34.492809179242336,34.831774030970955,34.14976021815338,34.56631851196289,5345929,0.0,0.0
2015-01-28,34.73785871477227,34.77052928546886,33.8312277785759,33.83531188964844,5902676,0.0,0.0
2015-01-29,34.039504177205,34.296791555163594,33.57393643052358,34.276371002197266,4055384,0.0,0.0
2015-01-30,34.10485918924457,34.1906209050067,33.62703894881793,33.643375396728516,4409339,0.0,0.0
2015-02-02,33.66786131140085,34.20694065038684,33.32481229797172,34.19877243041992,5133467,0.0,0.0
2015-02-03,34.59491899082757,34.76644468838955,34.41522507177929,34.721519470214844,6469540,0.0,0.0
2015-02-04,34.50914531118696,34.746012062575794,34.34987200119211,34.44380187988281,4262341,0.0,0.0
2015-02-05,34.65616722685637,34.95837741769098,34.623494351382725,34.90937042236328,3014943,0.0,0.0
2015-02-06,34.87671703410489,35.040074549100126,34.5091655227207,34.62759780883789,2941444,0.0,0.0
2015-02-09,34.42747205053935,34.750102841778464,34.3498785942522,34.488731384277344,2779865,0.0,0.0
2015-02-10,34.68067430217901,34.92979342227578,34.439723402066235,34.901206970214844,2885948,0.0,0.0
2015-02-11,34.88078534248991,35.08906567411418,34.77460312174487,34.98288345336914,3130547,0.0,0.0
2015-02-12,35.08500621159302,35.383132533933924,35.03599917665869,35.366798400878906,3040236,0.0,0.0
2015-02-13,35.28510356822464,35.497468069250544,35.20342598377637,35.452545166015625,2942634,0.0,0.0
2015-02-17,35.428035258514115,35.51788336957494,35.31777123118717,35.448455810546875,2855745,0.0,0.0
2015-02-18,35.44844979252928,35.76291233314814,35.30142879650285,35.713905334472656,2940105,0.0,0.0
