,open,high,low,close,volume,dividends,stock_splits
2003-01-02,3.456204727054355,3.609213509737161,3.4292028540227277,3.603813409805298,344400,0.0,0.0
2003-01-03,3.60021199915404,3.60021199915404,3.5642097418253114,3.5732104778289795,639200,0.0,0.0
2003-01-06,3.5948124509453736,3.877429451523884,3.5732113658541476,3.8612284660339355,2369200,0.0,0.0
2003-01-07,3.861228632892606,3.994436474521786,3.7712233066558842,3.771223306655884,966800,0.0,0.0
2003-01-08,3.7622224745482744,3.79462444612331,3.708219417485257,3.7802236080169678,648400,0.0,0.0
2003-01-09,3.780223819209382,3.8756295915834142,3.7622226847350064,3.8504278659820557,920400,0.0,0.0
2003-01-10,3.83242811426655,3.96023555134618,3.83242811426655,3.870230197906494,364800,0.0,0.0
2003-01-13,3.9062323793013105,3.935034064217002,3.8522289625770134,3.879230499267578,464400,0.0,0.0
2003-01-14,3.8432260033142964,3.8918289429697324,3.8072237494933203,3.8252248764038086,590400,0.0,0.0
2003-01-15,3.8252262700171697,3.8252262700171697,3.690218284016564,3.7802236080169678,455200,0.0,0.0
2003-01-16,3.780224750287784,3.8882312403932113,3.7658239078299385,3.879230499267578,172800,0.0,0.0
2003-01-17,3.8738293909950543,3.936833189124983,3.8612287000376844,3.897230625152588,264000,0.0,0.0
2003-01-21,3.852228939167973,3.8612296802389108,3.7982258661150063,3.8342278003692627,240000,0.0,0.0
2003-01-22,3.8252264406622913,3.8252264406622913,3.6812180531745895,3.690218448638916,584800,0.0,0.0
2003-01-23,3.6902178981469986,3.6902178981469986,3.4562042175529366,3.501206874847412,756800,0.0,0.0
2003-01-24,3.510207924661757,3.607413847380151,3.510207924661757,3.555210590362549,380400,0.0,0.0
2003-01-27,3.5426092486719023,3.5534097903216377,3.46880491793649,3.4742050170898438,127600,0.0,0.0
2003-01-28,3.4922062849801656,3.522808106967511,3.294194515846936,3.3896002769470215,590800,0.0,0.0
2003-01-29,3.3986022098348205,3.3986022098348205,3.32839813958,3.330198287963867,240400,0.0,0.0
2003-01-30,3.3301982879638667,3.37880126429868,3.299596452124525,3.330198287963867,242800,0.0,0.0
2003-01-31,3.3409981739991004,3.4202029705047607,3.324797185092417,3.4202029705047607,347200,0.0,0.0
2003-02-03,3.384199859972649,3.4112017303703013,3.1051835081699575,3.1141839027404785,732400,0.0,0.0
2003-02-04,3.0241789720480803,3.1951892375946045,2.8945714195350787,3.1951892375946045,1084400,0.0,0.0
2003-02-05,3.1861882664874575,3.202389250543799,3.1231844777509092,3.139385461807251,140800,0.0,0.0
2003-02-06,3.1501860033971365,3.168187134942297,3.1357851668296135,3.139385461807251,104800,0.0,0.0
2003-02-07,3.1429869386574865,3.2401928901672363,3.1231859933576134,3.2401928901672363,551200,0.0,0.0
2003-02-10,3.2311909836441504,3.2311909836441504,3.1285846349354482,3.150186061859131,312000,0.0,0.0
2003-02-11,3.654215443967404,3.915230979969223,3.645215050316173,3.7028183937072754,5410400,0.0,0.0
2003-02-12,3.7028189571378713,3.7244203858679694,3.632614914615411,3.6362152099609375,1232400,0.0,0.0
2003-02-13,3.6362159155051215,3.681218586027001,3.6362159155051215,3.672217845916748,450800,0.0,0.0
2003-02-14,3.681218384735508,3.7442218453465657,3.6542165092243586,3.7388217449188232,253600,0.0,0.0
2003-02-18,3.7442204517372586,3.9242310569812227,3.7262196658872475,3.9170308113098145,768400,0.0,0.0
2003-02-19,3.9170310447168064,4.084440972504147,3.8792286368246636,3.9242312908172607,829200,0.0,0.0
2003-02-20,3.924231439180367,4.007036504195711,3.92243163509446,3.981835126876831,872000,0.0,0.0
2003-02-21,3.9818362789028847,4.266253131442868,3.969235243254694,4.253652095794678,979600,0.0,0.0
2003-02-24,4.230250107505856,4.239250502312264,3.987235670959249,4.143845081329346,1004400,0.0,0.0
2003-02-25,4.077242148074815,4.077242148074815,4.010638383605475,4.041240215301514,689200,0.0,0.0
2003-02-26,4.028638188033675,4.032238483428955,3.9782354258720174,4.032238483428955,678800,0.0,0.0
2003-02-27,4.032237351576885,4.095241129936815,4.026837253342843,4.0430378913879395,265600,0.0,0.0
2003-02-28,4.061040384995292,4.230250501178495,4.0412394459098815,4.21044921875,290800,0.0,0.0
2003-03-03,4.215848362228223,4.215848362228223,4.077240114653373,4.091640949249268,278000,0.0,0.0
2003-03-04,4.0826417153120484,4.115043688186442,4.068240876628216,4.10424280166626,106800,0.0,0.0
2003-03-05,4.1132439062422455,4.17264741401396,4.068241238435094,4.082642078399658,170400,0.0,0.0
2003-03-06,4.100644026315633,4.113244720862281,3.870230197906494,3.870230197906494,337200,0.0,0.0
2003-03-07,3.872030066903231,4.093443137992903,3.717220760282899,4.041240215301514,1322400,0.0,0.0
2003-03-10,4.04303965686292,4.04303965686292,3.9710354544421835,4.005237579345703,665200,0.0,0.0
