,open,high,low,close,volume,dividends,stock_splits
2004-07-13,6.251132541232639,6.295783658285574,6.023412610746972,6.0278778076171875,14964100,0.0,0.0
2004-07-14,6.027879381624498,6.050204945980644,5.764438659036361,6.001088619232178,2801000,0.0,0.0
2004-07-15,6.005551999578139,6.184156034544808,5.9609013102049175,6.179690837860107,1276200,0.0,0.0
2004-07-16,6.193088008760611,6.206483177330393,6.032344708449047,6.175227642059326,1488200,0.0,0.0
2004-07-19,6.161830541627855,6.161830541627855,5.960901372777679,6.036808013916016,966200,0.0,0.0
2004-07-20,6.03680842289116,6.219877243041992,5.987692107165581,6.219877243041992,719300,0.0,0.0
2004-07-21,6.224341698138197,6.224341698138197,6.027877722687505,6.072528839111328,472300,0.0,0.0
2004-07-22,6.072528839111328,6.094853971498635,5.951971080261767,6.072528839111328,218500,0.0,0.0
2004-07-23,5.9832298541498155,6.081462108111034,5.9832298541498155,6.054671764373779,268500,0.0,0.0
2004-07-26,6.027880072996545,6.027880072996545,5.826950822394948,5.893927097320557,236200,0.0,0.0
2004-07-27,5.893925705060824,5.893925705060824,5.536717996245844,5.692996501922607,2668000,0.0,0.0
2004-07-28,5.737647959660801,5.858205318241248,5.733182761906975,5.818019390106201,1028100,0.0,0.0
2004-07-29,5.849274983354678,6.1529011726379395,5.849274983354678,6.1529011726379395,1015700,0.0,0.0
2004-07-30,6.1261105124562185,6.20648193359375,6.050203862730749,6.20648193359375,623000,0.0,0.0
2004-08-02,6.161831950153055,6.161831950153055,6.050204561294575,6.117180824279785,329400,0.0,0.0
2004-08-03,6.117179697978835,6.286853348902214,6.117179697978835,6.224341869354248,1557100,0.0,0.0
2004-08-04,6.268993417433738,6.268993417433738,6.197551964944978,6.20648193359375,156300,0.0,0.0
2004-08-05,6.224341963784449,6.251132719947056,6.188621239450721,6.202016830444336,188100,0.0,0.0
2004-08-06,6.170762302845194,6.251134164075794,6.117181203966369,6.161832332611084,276300,0.0,0.0
2004-08-09,6.161831950153055,6.161831950153055,6.02787899835794,6.117180824279785,212100,0.0,0.0
2004-08-10,6.117180350776957,6.184157034402506,6.0948547895684415,6.1573662757873535,272400,0.0,0.0
2004-08-11,6.161831950153055,6.1975526805217935,6.07253012423121,6.117180824279785,166800,0.0,0.0
2004-08-12,6.094856026709428,6.139507158189799,6.063600490168017,6.085926055908203,284700,0.0,0.0
2004-08-13,6.108251682532997,6.117181653423232,5.960903543333715,5.98322868347168,104900,0.0,0.0
2004-08-16,5.98323019494431,6.050206909751998,5.98323019494431,6.018950939178467,86400,0.0,0.0
2004-08-17,5.983226733184618,6.0948541007875,5.9162504829527345,6.005552291870117,161100,0.0,0.0
2004-08-18,6.0368084462723,6.090389533414852,5.9609017996975275,6.076993942260742,43000,0.0,0.0
2004-08-19,6.0725301269964955,6.0725301269964955,5.692996834374953,5.938577175140381,124100,0.0,0.0
2004-08-20,5.9162517967915855,6.090390682220459,5.849275531686092,6.090390682220459,112300,0.0,0.0
2004-08-23,6.1171811559171685,6.210948184674774,6.0725304534478965,6.184157848358154,442900,0.0,0.0
