,open,high,low,close,volume,dividends,stock_splits
2003-01-02,6.949600803126935,7.0715837478637695,6.91523923485662,7.0715837478637695,2000800,0.0,0.0
2003-01-03,7.087048295907641,7.121409873269345,7.004580903475097,7.026916027069092,2995600,0.0,0.0
2003-01-06,7.021759186117517,7.100790986149378,6.977089608179832,6.992552280426025,3040400,0.0,0.0
2003-01-07,6.994273831491029,6.994273831491029,6.614579920614919,6.65753173828125,5687600,0.0,0.0
2003-01-08,6.65924920230145,6.721099921628748,6.597399138366846,6.6369147300720215,4426000,0.0,0.0
2003-01-09,6.664401574120687,6.752022959441775,6.645502676892567,6.75030517578125,3413200,0.0,0.0
2003-01-10,6.752022546817558,6.760612775380161,6.666118950406666,6.6867356300354,2564400,0.0,0.0
2003-01-13,6.758897223127269,6.760615007249907,6.597398644500831,6.654094696044922,4205600,0.0,0.0
2003-01-14,6.71766105970372,6.745150184677222,6.672991477393942,6.6884541511535645,3808000,0.0,0.0
2003-01-15,6.693612635537209,6.8260403086086034,6.685013572312619,6.808842182159424,2954400,0.01,0.0
2003-01-16,6.836359578117994,6.906872946265986,6.798522912650033,6.808842182159424,5422400,0.0,0.0
2003-01-17,6.810561740156326,6.817441253170444,6.719410488951917,6.750367641448975,2758800,0.0,0.0
2003-01-21,6.7520889379174385,6.7520889379174385,6.5990233421325675,6.599023342132568,3279600,0.0,0.0
2003-01-22,6.586982910482464,6.6454574598106735,6.44939592855329,6.580103397369385,5779600,0.0,0.0
2003-01-23,6.595584654927335,6.619662960610875,6.495834298505373,6.5869855880737305,3480000,0.0,0.0
2003-01-24,6.586985603757406,6.590425361720388,6.4322004318237305,6.4322004318237305,4325200,0.0,0.0
2003-01-27,6.368563276131479,6.3909213656683175,6.139825042171904,6.191420078277588,4258400,0.0,0.0
2003-01-28,6.215498513191525,6.440797675490387,6.215498513191525,6.378883361816406,5933200,0.0,0.0
2003-01-29,6.349642734739859,6.672972521183403,6.330725064398304,6.604179382324219,7286400,0.0,0.0
2003-01-30,6.621379421101827,6.73316920622233,6.504430329490558,6.519908905029297,3079600,0.0,0.0
2003-01-31,6.519909679790417,6.724570286396746,6.471754397310462,6.666095733642578,2964800,0.0,0.0
2003-02-03,6.667813739200178,6.707369944761843,6.595580183255958,6.652335166931152,2076800,0.0,0.0
2003-02-04,6.65406167760143,6.875921226858576,6.5697898729194675,6.860442638397217,5935600,0.0,0.0
2003-02-05,6.879355548488457,6.930950583888826,6.817441243581426,6.834640026092529,4570800,0.0,0.0
2003-02-06,6.819161971266978,6.882795831257405,6.7400488777997625,6.79164457321167,2756400,0.0,0.0
