,open,high,low,close,volume,dividends,stock_splits
2003-01-02,8.922616353580331,8.937745286735513,8.922616353580331,8.930180549621582,900,0.0,0.0
2003-01-03,8.752407425303275,8.83561897277832,8.68054216920317,8.83561897277832,8700,0.0,0.0
2003-01-06,8.737278578268612,9.020956461213341,8.737278578268612,8.94530963897705,16200,0.0,0.0
2003-01-07,8.699454325202888,8.994479563801953,8.699454325202888,8.941526412963867,13650,0.0,0.0
2003-01-08,8.809143269519538,8.960437986271696,8.703236967793027,8.86587905883789,8550,0.0,0.0
2003-01-09,8.84696542870206,8.998260119460134,8.84696542870206,8.888571739196777,3750,0.0,0.0
2003-01-10,8.843182780182985,8.998259557997468,8.756188067889036,8.899918556213379,11400,0.0,0.0
2003-01-13,8.839404685969171,8.994482084564169,8.794016258244696,8.816710472106934,10800,0.0,0.0
2003-01-14,8.888572852328625,8.918831794269622,8.828054968446633,8.903701782226562,3300,0.0,0.0
2003-01-15,8.926400263806366,8.926400263806366,8.794017599948713,8.828059196472168,10050,0.0,0.0
2003-01-16,8.680542355947996,8.998261246328457,8.680542355947996,8.903701782226562,7650,0.0,0.0
2003-01-17,8.794013388226732,8.903701782226562,8.794013388226732,8.903701782226562,3900,0.0,0.0
2003-01-21,9.002041752144368,9.002041752144368,8.748622902883772,8.786446571350098,11700,0.0,0.0
2003-01-22,8.835616942419763,8.990694792504287,8.775099614818673,8.922612190246582,6300,0.0,0.0
2003-01-23,8.812924797989197,8.918831633951546,8.75618955340594,8.850749015808105,9300,0.0,0.0
2003-01-24,9.020954885342976,9.020954885342976,8.76753599199155,8.839401245117188,16500,0.0,0.0
2003-01-27,8.843182217076379,8.949087946182607,8.782663807330437,8.922612190246582,11700,0.0,0.0
2003-01-28,9.01717222634114,9.020954323073845,8.812923852745246,8.888571739196777,15150,0.0,0.0
2003-01-29,8.81292555878142,9.191163441042173,8.81292555878142,9.036086082458496,18750,0.0,0.0
2003-01-30,9.081475091142208,9.198728784352424,8.986916149844765,9.03986930847168,12450,0.0,0.0
2003-01-31,9.232770400183615,9.232770400183615,9.07769355373683,9.092823028564453,12150,0.0,0.0
2003-02-03,9.077691252478136,9.384063851678933,9.077691252478136,9.157120704650879,13500,0.0,0.0
2003-02-04,9.217641996022689,9.270594616780727,9.077693542432407,9.194947242736816,8100,0.0,0.0
2003-02-05,9.300853972928962,9.30463607126012,9.077693939208984,9.077693939208984,6900,0.0,0.0
2003-02-06,9.077689968578015,9.297067808009775,9.005824720993045,9.225202560424805,9150,0.0,0.0
2003-02-07,9.104167493980741,9.228985350859258,8.8129243850708,8.8129243850708,12450,0.0,0.0
2003-02-10,8.964215966113683,9.21385211902134,8.95286859771809,9.145770072937012,9600,0.0,0.0
2003-02-11,9.092819592206794,9.202507972717285,9.08525431657935,9.202507972717285,11100,0.0,0.0
2003-02-12,9.342459892658791,9.342459892658791,9.077693542432407,9.194947242736816,13650,0.0,0.0
2003-02-13,9.342455469766973,9.342455469766973,9.15333658311689,9.281937599182129,11550,0.0,0.0
2003-02-14,9.32733053923947,9.45593161786048,9.26303054100167,9.4521484375,20850,0.0,0.0
2003-02-18,9.368935783896038,9.4521484375,9.361371587465904,9.4521484375,3450,0.0,0.0
2003-02-19,9.569396885830725,9.569396885830725,9.338671707050734,9.365148544311523,11700,0.0,0.0
2003-02-20,9.440798249844049,9.455928802490234,9.368932994427574,9.455928802490234,8700,0.0,0.0
2003-02-21,9.455929671668416,9.550487518310547,9.455929671668416,9.550487518310547,4950,0.0,0.0
2003-02-24,9.414317242413192,9.629912913314607,9.414317242413192,9.520224571228027,6900,0.0,0.0
2003-02-25,9.467277708254414,9.626137733459473,9.459712429842083,9.626137733459473,6750,0.0,0.0
2003-02-26,9.584531407555126,9.645049306272217,9.584531407555126,9.626137733459473,16500,0.0,0.0
2003-02-27,9.62613216330459,9.62613216330459,9.554266929626465,9.554266929626465,3000,0.0,0.0
2003-02-28,9.603443028239019,9.626137781443752,9.501319885253906,9.501319885253906,16500,0.0,0.0
2003-03-03,9.592092514038086,9.607220899992118,9.467273590613067,9.592092514038086,5850,0.0,0.0
2003-03-04,9.546706757386872,9.546706757386872,9.452146743934852,9.535359382629395,6000,0.0,0.0
2003-03-05,9.478623008188569,9.51266404822275,9.455929342214166,9.493752479553223,7200,0.0,0.0
2003-03-06,9.463499024844632,9.467281124342803,9.459715843200684,9.459715843200684,1350,0.0,0.0
2003-03-07,9.546704595856012,9.55048561039213,9.425667762756348,9.425667762756348,1200,0.0,0.0
2003-03-10,9.455924620571544,9.524006666644382,9.418100419974158,9.520224571228027,4650,0.0,0.0
2003-03-11,9.455926317047727,9.516443101000487,9.455926317047727,9.489967346191406,1350,0.0,0.0
2003-03-12,9.463490702234422,9.61856746673584,9.455926509890366,9.61856746673584,10050,0.0,0.0
2003-03-13,9.592093630692569,9.64504623413086,9.588310451618728,9.64504623413086,1800,0.0,0.0
2003-03-14,9.455929512440088,9.645047366830173,9.455929512440088,9.573182106018066,14250,0.0,0.0
2003-03-17,9.611003515934838,9.701780319213867,9.611003515934838,9.701780319213867,8700,0.0,0.0
