,open,high,low,close,volume,dividends,stock_splits
2003-01-02,2.303096353038458,2.303096353038458,2.2033421763106023,2.2675116062164307,83000,0.0,0.0
2003-01-03,2.2459270063980328,2.255260748168558,2.202758607178076,2.210925579071045,127000,0.0,0.0
2003-01-06,2.2109252875805705,2.2435933099287717,2.2056750324487284,2.207425117492676,95000,0.0,0.0
2003-01-07,2.202175375854259,2.222592806366165,2.1438395223321924,2.1613402366638184,251000,0.0,0.0
2003-01-08,2.2360106517267586,2.2360106517267586,2.129256250931659,2.133923053741455,133000,0.0,0.0
2003-01-09,2.1356730940773674,2.2313438013906324,2.1356730940773674,2.1870086193084717,144000,0.0,0.0
2003-01-10,2.1671750976841313,2.177675615981423,2.1502578277886,2.1595914363861084,47000,0.0,0.0
2003-01-13,2.1875917658400743,2.1875917658400743,2.1030048953542586,2.115255355834961,148000,0.0,0.0
2003-01-14,2.1152560540010934,2.1584246158599854,2.1140894225702547,2.1584246158599854,59000,0.0,0.0
2003-01-15,2.158423780793398,2.158423780793398,2.1082550325089655,2.1356728076934814,98000,0.0,0.0
2003-01-16,2.15200675407291,2.173007641620269,2.1152552356358645,2.1356728076934814,82000,0.0,0.0
2003-01-17,2.1356737274837907,2.1875925836811536,2.10650585418472,2.159008026123047,151000,0.0,0.0
2003-01-21,2.1438396938630224,2.1992586965556256,2.1438396938630224,2.187591552734375,50000,0.0,0.0
2003-01-22,2.201008955459243,2.2161762714385986,2.1934252974695654,2.2161762714385986,49000,0.0,0.0
2003-01-23,2.1992589508428857,2.226093412551137,2.146173342959894,2.2033424377441406,87000,0.0,0.0
2003-01-24,2.231344002607335,2.231344002607335,2.1053386490636172,2.1403400897979736,84000,0.0,0.0
2003-01-27,2.157840554289845,2.216176421013039,2.100088142201391,2.122255802154541,197000,0.0,0.0
2003-01-28,2.1292557883130008,2.1840913352891955,2.0569193868940596,2.1450064182281494,211000,0.0,0.0
2003-01-29,2.0843368029752964,2.1199216821292803,2.0843368029752964,2.1175882816314697,68000,0.0,0.0
2003-01-30,2.1175892170984283,2.143840227691228,2.100088357925415,2.100088357925415,220000,0.0,0.0
2003-01-31,2.100087701042005,2.160173640880649,2.100087701042005,2.149089813232422,63000,0.0,0.0
2003-02-03,2.137422708825832,2.154923423758087,2.126922196416488,2.1415061950683594,33000,0.0,0.0
2003-02-04,2.154923811034422,2.154923811034422,2.0936712282217433,2.14559006690979,57000,0.0,0.0
2003-02-05,2.150840150542369,2.150840150542369,2.091337658246038,2.1170053482055664,117000,0.0,0.0
2003-02-06,2.1117544332515523,2.138005569609177,2.0796698655736656,2.122838258743286,183000,0.0,0.0
2003-02-07,2.1158388088684403,2.1175888945191454,2.065086603164673,2.065086603164673,138000,0.0,0.0
2003-02-10,2.0580864526336535,2.1035882634734784,2.0563363669378902,2.07092022895813,176000,0.0,0.0
2003-02-11,2.0843374319065333,2.1000880638734998,2.041752338409424,2.041752338409424,130000,0.0,0.0
2003-02-12,2.0534194305392166,2.0534194305392166,1.9886666795858956,1.9904167652130127,249000,0.0,0.0
2003-02-13,2.003834731766287,2.0184187376554377,1.9892508649605243,2.012585163116455,104000,0.0,0.0
2003-02-14,2.0020841262927602,2.0680036544799805,2.0020841262927602,2.0680036544799805,69000,0.0,0.0
2003-02-18,2.070337021631725,2.1870086193084717,2.070337021631725,2.1870086193084717,125000,0.0,0.0
2003-02-19,2.18759171212207,2.196925455675791,2.076170383152653,2.111755132675171,151000,0.0,0.0
2003-02-20,2.100088561866548,2.121672910581549,2.100088561866548,2.114089250564575,31000,0.0,0.0
2003-02-21,2.1105885161572906,2.1730077266693115,2.1105885161572906,2.1730077266693115,170000,0.0,0.0
2003-02-24,2.157256999481859,2.170090913772583,2.1292559089536085,2.170090913772583,103000,0.0,0.0
