,open,high,low,close,volume,dividends,stock_splits
2015-01-02,26.430298664187116,26.58910055297391,26.196068386511584,26.27894401550293,26480000,0.0,0.0
2015-01-05,26.159843968967568,26.201528827300333,25.693369202116152,25.778226852416992,41182000,0.0,0.0
2015-01-06,25.82983657629222,25.86506993560834,25.08794265394188,25.14203453063965,54456000,0.0,0.0
2015-01-07,25.355918529256122,25.382714585800812,24.993655911052315,25.068092346191406,46918000,0.0,0.0
2015-01-08,24.887459832181587,25.18471340329742,24.56539222110889,25.15543556213379,73054000,0.0,0.0
2015-01-09,25.218455261522696,25.239297689143015,24.745529031241983,24.848251342773438,42000000,0.0,0.0
2015-01-12,24.77480783466235,24.826417927884677,24.36143111102275,24.6666259765625,57138000,0.0,0.0
2015-01-13,24.94005895758154,25.239298298247874,24.6765508458732,24.90184783935547,60958000,0.0,0.0
2015-01-14,24.833366712950042,25.22242729059076,24.721215133005675,25.106800079345703,52800000,0.0,0.0
2015-01-15,25.253688174016048,25.29636498418844,24.912268013501418,25.011518478393555,51068000,0.0,0.0
2015-01-16,24.968843491270874,25.350956607495867,24.96586573078506,25.33160400390625,49658000,0.0,0.0
2015-01-20,25.446235019043122,25.58717034639147,25.27750978712287,25.305795669555664,46796000,0.0,0.0
2015-01-21,25.350458859185682,25.896831490561922,25.288427550358755,25.824378967285156,46356000,0.0,0.0
2015-01-22,25.95389964352086,26.739960219628923,25.899809658931048,26.663537979125977,56068000,0.0,0.0
2015-01-23,26.69976539777804,27.065997738833858,26.586619969773757,26.89429473876953,45966000,0.0,0.0
2015-01-26,26.871964134717718,26.871964134717718,26.403999540318267,26.634756088256836,30932000,0.0,0.0
2015-01-27,26.370748271898552,26.439231075430026,25.847699880264702,25.864076614379883,39148000,0.0,0.0
2015-01-28,26.053150086223937,26.087391490349304,25.425393534652653,25.429363250732422,35822000,0.0,0.0
2015-01-29,25.4526860708274,25.566327469471204,24.98521747991436,25.46906280517578,79018000,0.0,0.0
2015-01-30,25.75540086186241,26.95136445188612,25.71470795873333,26.675945281982422,121108000,0.0,0.0
2015-02-02,26.515655994208572,26.623839752841796,25.890381204884132,26.410451889038086,75378000,0.0,0.0
2015-02-03,26.29829697662218,26.67098080454053,26.142970716833847,26.465038299560547,47062000,0.0,0.0
2015-02-04,26.4570961940132,26.636242637507667,26.05463666846763,26.107736587524414,33896000,0.0,0.0
2015-02-05,26.19855215156569,26.335517773497997,26.084910742202876,26.2928409576416,33176000,0.0,0.0
2015-02-06,26.351396927233946,26.80844242635538,26.23428178666283,26.493820190429688,42938000,0.0,0.0
2015-02-09,26.353878190084156,26.493821571229567,26.17969529680108,26.265546798706055,30314000,0.0,0.0
2015-02-10,26.40796970983827,26.847150557367968,26.26008689830117,26.805465698242188,47430000,0.0,0.0
2015-02-11,26.78412419589431,26.894291851724148,26.59902224065613,26.698272705078125,38306000,0.0,0.0
2015-02-12,26.78065169246417,27.211397099891595,26.648649647734146,27.09577178955078,48590000,0.0,0.0
2015-02-13,27.170210889225086,27.419825966308597,27.125052290541436,27.351343154907227,47382000,0.0,0.0
2015-02-17,27.3513412625548,27.442650409408948,26.959302939823672,27.046146392822266,39174000,0.0,0.0
2015-02-18,26.98709296463159,27.172194934591545,26.775194938373996,26.929031372070312,31164000,0.0,0.0
2015-02-19,26.920098127130288,27.13795165888912,26.834742613244643,27.117605209350586,30834000,0.0,0.0
2015-02-20,27.173684614462704,27.173684614462704,26.703240109300214,26.886852264404297,38234000,0.0,0.0
2015-02-23,26.747901276188085,26.76278818461709,26.400525566163825,26.549400329589844,32906000,0.0,0.0
2015-02-24,26.37819054720175,26.76774705233003,26.35089662257756,26.73052978515625,28406000,0.0,0.0
2015-02-25,26.720113010661454,27.272439306599928,26.6987727094128,27.161279678344727,40836000,0.0,0.0
2015-02-26,27.082374002428192,27.79647802517196,27.05011651008926,27.754793167114258,54032000,0.0,0.0
2015-02-27,27.69821872620895,28.257494342129995,27.64263891703325,27.92053985595703,68328000,0.0,0.0
2015-03-02,28.13740270585175,28.58353102590686,27.946345210190998,28.5353946685791,50406000,0.0,0.0
2015-03-03,28.601394027793887,28.824707110269166,28.311087967098647,28.72248077392578,50526000,0.0,0.0
2015-03-04,28.63216277381895,28.863415296793082,28.411331465319172,28.69965362548828,37964000,0.0,0.0
2015-03-05,28.763671520139305,28.94132814890123,28.694692732976936,28.853492736816406,35918000,0.0,0.0
2015-03-06,28.8817789104334,28.920486009485398,28.388506180591467,28.430191040039062,37592000,0.0,0.0
2015-03-09,28.33193421993055,28.556735266316416,28.239135236386144,28.489742279052734,23478000,0.0,0.0
2015-03-10,28.210848819862786,28.27436996048133,27.781095317261062,27.78258514404297,40080000,0.0,0.0
2015-03-11,27.78010186536099,27.99745944103969,27.562248311796857,27.576143264770508,40524000,0.0,0.0
2015-03-12,27.714597335688122,27.881336774494798,27.568204348837554,27.84808921813965,35602000,0.0,0.0
2015-03-13,27.75181442062875,28.006391146895467,27.31015181762582,27.442649841308594,35428000,0.0,0.0
2015-03-16,27.63768175409742,27.976124229066304,27.359284791895696,27.871416091918945,36856000,0.0,0.0
2015-03-17,27.705168400366922,27.821787570533843,27.51262485746634,27.671424865722656,28892000,0.0,0.0
2015-03-18,27.67737994748089,28.113088983795446,27.467465808762622,28.095720291137695,35324000,0.0,0.0
2015-03-19,28.01432972841733,28.135414578565772,27.895230682684033,27.972148895263672,24660000,0.0,0.0
2015-03-20,28.123012563241794,28.142365166464756,28.012348914683837,28.03567123413086,44320000,0.0,0.0
2015-03-23,28.087774567181647,28.26841083558369,27.94187757170114,28.05651092529297,30234000,0.0,0.0
2015-03-24,28.21382568634865,28.875823664903717,28.191493429691473,28.660451889038086,79156000,0.0,0.0
2015-03-25,28.661937925517922,28.786000541047912,28.137401580810547,28.137401580810547,53070000,0.0,0.0
2015-03-26,28.020783324852605,28.146831748955687,27.706161082042534,27.970661163330078,49842000,0.0,0.0
2015-03-27,27.880841514688722,27.992003036468276,27.63767982683287,27.668447494506836,34552000,0.0,0.0
2015-03-30,27.802432925061265,27.897215809325353,27.630729931821506,27.84659767150879,24788000,0.0,0.0
2015-03-31,27.68779576831481,27.91160481755175,27.525522044802923,27.52701187133789,34932000,0.0,0.0
2015-04-01,27.533462963876648,27.71558526313066,27.09676206322586,27.268465042114258,38902000,0.0,0.0
2015-04-02,27.165248577852495,27.19452641775208,26.81936079062548,26.86253547668457,47760000,0.0,0.0
2015-04-06,26.739960745254912,27.07244955672539,26.58413850086125,26.993545532226562,33718000,0.0,0.0
2015-04-07,27.04515732486661,27.30171799526922,26.975682555049485,27.038705825805664,27318000,0.0,0.0
