,open,high,low,close,volume,dividends,stock_splits
2003-01-02,48.189292130526425,50.09988408736675,48.11853066518132,49.28611373901367,4025400,0.0,0.0
2003-01-03,49.29320269325773,49.958367096978655,49.264897020944396,49.80268859863281,2342800,0.0,0.0
2003-01-06,49.547942919907804,51.96802661322338,49.533792783136235,51.65666961669922,4337600,0.0,0.0
2003-01-07,51.019792278037265,52.010468956968325,50.5952181009964,51.444366455078125,4606900,0.0,0.0
2003-01-08,51.4514729538195,51.49392877560675,50.01499339661394,50.18482208251953,3265200,0.0,0.0
2003-01-09,51.302845224922244,52.22276047121545,50.736742704318154,52.1661491394043,3924000,0.0,0.0
2003-01-10,51.64955359901567,53.602600351184336,51.5151085036089,53.0152702331543,5156300,0.0,0.0
2003-01-13,53.213453870190115,53.595572420381714,52.50582812511442,52.66150665283203,3096400,0.0,0.0
2003-01-14,52.29351447020669,53.49647540629109,52.024613381873884,52.85961151123047,2850200,0.0,0.0
2003-01-15,52.59780025228702,52.753478712891706,51.74864648501244,52.017547607421875,3401000,0.0,0.0
2003-01-16,51.97507846626257,52.647325770789635,51.76279410595363,52.09537887573242,3552900,0.0,0.0
2003-01-17,52.10247792180567,52.10247792180567,50.920744308161,51.359474182128906,4294400,0.0,0.0
2003-01-21,51.65666419015804,51.90433204830518,50.24141311645508,50.24141311645508,3094300,0.0,0.0
2003-01-22,50.24848641652748,50.6376771879452,49.54086094258189,49.710689544677734,3137900,0.0,0.0
2003-01-23,50.241426425244555,51.090575134901286,49.75316294787623,50.89244079589844,3456400,0.0,0.0
2003-01-24,50.608898235223,50.97747605916138,48.617143843623964,49.01408004760742,4135700,0.12,0.0
2003-01-27,48.73056853767152,49.36849706190208,47.97923350234328,48.482486724853516,3978400,0.0,0.0
2003-01-28,48.48957754511209,49.29052896321182,48.03593526594219,48.943214416503906,3276600,0.0,0.0
2003-01-29,48.95028967593326,49.62366067090506,47.8445506796044,49.269256591796875,3779200,0.0,0.0
2003-01-30,49.27636361552867,49.45356573720212,47.674460329202034,47.7736930847168,3152200,0.0,0.0
2003-01-31,47.58936993281472,48.80143099560184,47.45469467880192,48.26982498168945,4561800,0.0,0.0
2003-02-03,48.26983054073709,49.43936498759025,48.26983054073709,49.0849609375,3164500,0.0,0.0
2003-02-04,49.0920801209008,49.0920801209008,47.518524324860124,47.85874938964844,3723200,0.0,0.0
2003-02-05,47.8658228818304,48.89359814535195,47.78076934814453,47.78076934814453,3566500,0.0,0.0
2003-02-06,47.78784148029084,48.12807175252652,47.149913099709366,47.242061614990234,3651600,0.0,0.0
2003-02-07,47.24915567716089,48.02175399440046,46.419846000114426,46.568695068359375,3519900,0.0,0.0
2003-02-10,46.56869673610454,46.95854341054836,45.845714749054764,46.597049713134766,3764900,0.0,0.0
2003-02-11,46.99397746920703,47.46178798600225,45.952028735185095,46.107967376708984,3837700,0.0,0.0
2003-02-12,46.11504900794919,46.81677285591403,45.39206719196328,45.576358795166016,3376400,0.0,0.0
2003-02-13,45.64725686159782,46.285185430762766,45.18653037232434,46.01583480834961,3704700,0.0,0.0
2003-02-14,46.07252477608813,47.277496337890625,45.57636128776391,47.277496337890625,4641100,0.0,0.0
2003-02-18,47.66024472453137,48.829778915751376,47.63189175778825,48.19894027709961,3094400,0.0,0.0
2003-02-19,48.206056996076036,48.48249181765079,47.75242008847754,48.361995697021484,3237300,0.0,0.0
2003-02-20,48.48248353389123,48.7447391154189,47.9225243887979,48.01466751098633,2627300,0.0,0.0
2003-02-21,48.014690664812264,48.76603142078201,47.433467857994266,48.55338668823242,3929700,0.0,0.0
2003-02-24,48.560450096666024,48.560450096666024,46.781340044434884,46.923099517822266,3699700,0.0,0.0
2003-02-25,46.9230968125636,47.36964940276555,45.96620690292322,47.19953155517578,4219700,0.0,0.0
2003-02-26,47.19953833347594,47.46179933034061,46.59705240812613,47.12157440185547,3781300,0.0,0.0
2003-02-27,47.27750120017956,48.19895395357938,47.00106645571501,47.979225158691406,3784900,0.0,0.0
2003-02-28,48.128073354829425,49.226722717285156,48.05719362302211,49.226722717285156,4339200,0.0,0.0
2003-03-03,49.2267268841221,50.00642022333112,48.014665521957205,48.213130950927734,4351200,0.0,0.0
2003-03-04,48.213130128603446,48.213130128603446,46.56161117553711,46.56161117553711,5546500,0.0,0.0
2003-03-05,46.639580134483744,47.56102751843116,46.476551874614714,46.99398422241211,5803600,0.0,0.0
