,open,high,low,close,volume,dividends,stock_splits
2003-01-02,6.0727676189727235,6.119883498535013,5.978534861323607,6.083237648010254,934000,0.0,0.0
2003-01-03,6.0832404873803,6.140826922121023,6.009948252859151,6.046594619750977,528800,0.0,0.0
2003-01-06,6.08847335609281,6.1565302972169755,6.051827502896069,6.125119209289551,525600,0.0,0.0
2003-01-07,6.177472303933918,6.229823463733087,6.088474783086666,6.16176700592041,629300,0.0,0.0
2003-01-08,6.10941579265612,6.119885825674971,6.025653531455472,6.088475227355957,429800,0.0,0.0
2003-01-09,6.088475837865339,6.235059809664878,6.088475837865339,6.229824542999268,466600,0.0,0.0
2003-01-10,6.151293121972285,6.255995883770447,6.130352569612652,6.203644752502441,434500,0.0,0.0
2003-01-13,6.208884518090665,6.287412027148515,6.146062810401917,6.261236190795898,598500,0.0,0.0
2003-01-14,6.2088842749154685,6.318822383880615,6.172238405014597,6.318822383880615,456600,0.0,0.0
2003-01-15,6.313584550097539,6.334525108337402,6.224587052762545,6.334525108337402,716100,0.0,0.0
2003-01-16,6.313587616225157,6.350233486126029,6.256000678652322,6.318822383880615,756200,0.0,0.0
2003-01-17,6.318821214099428,6.329291745997037,6.240294221917121,6.29788064956665,386600,0.0,0.0
2003-01-21,6.324058577213681,6.350234416375618,6.198415148351515,6.2455315589904785,687500,0.0,0.0
2003-01-22,6.250765656549831,6.261236190795898,6.098946404819717,6.261236190795898,1061600,0.0,0.0
2003-01-23,6.261233074767347,6.334525280226823,6.261233074767347,6.2821736335754395,676700,0.0,0.0
2003-01-24,6.28740780661218,6.344994208521979,6.240291432657699,6.292643070220947,720400,0.0,0.0
2003-01-27,6.292645829977172,6.329291692785836,6.072769654600311,6.224588871002197,804200,0.0,0.0
2003-01-28,6.250765411734331,6.350233486126029,6.20364950726001,6.318822383880615,582400,0.0,0.0
2003-01-29,6.240099942948907,6.324070927799958,6.145632334738201,6.292581558227539,605600,0.03,0.0
2003-01-30,6.266339472237884,6.324069890231259,6.140383015626557,6.166624069213867,949000,0.0,0.0
2003-01-31,6.166621108849843,6.313570237684947,6.166621108849843,6.297825813293457,1025600,0.0,0.0
2003-02-03,6.3765515841932565,6.429033692086348,6.276836179804154,6.324069976806641,897500,0.0,0.0
2003-02-04,6.271585538581086,6.287329964896268,6.087899230220523,6.098395347595215,870700,0.0,0.0
2003-02-05,6.1508767379555795,6.21385493657552,6.077401922645867,6.114139080047607,706700,0.0,0.0
2003-02-06,6.114141657778128,6.166623762341054,6.040667311997762,6.0564117431640625,604300,0.0,0.0
2003-02-07,6.103646005070756,6.156127613150444,6.030171153151415,6.035419464111328,347100,0.0,0.0
2003-02-10,6.024921667042785,6.082652075328669,5.930454590722365,6.061659336090088,641400,0.0,0.0
2003-02-11,6.061660731141655,6.140383396277241,5.998682498931886,5.998682498931885,429000,0.0,0.0
2003-02-12,6.0196747285561605,6.072156333992604,5.893717774394493,5.925207138061523,832000,0.0,0.0
2003-02-13,6.08790212239782,6.245347461359716,6.08790212239782,6.19286584854126,1798500,0.0,0.0
2003-02-14,6.219105044195051,6.282083261035475,6.161374636711546,6.245345592498779,1710100,0.0,0.0
2003-02-18,6.297826903914126,6.455272676613243,6.282082476796109,6.4447760581970215,1080600,0.0,0.0
2003-02-19,6.444776862746645,6.444776862746645,6.198112305248243,6.245345592498779,1143200,0.0,0.0
2003-02-20,6.402791942421591,6.4185363728761615,6.31882097932199,6.371303081512451,1303300,0.0,0.0
2003-02-21,6.371303081512451,6.4447774239713915,6.3240692896423205,6.371303081512451,847700,0.0,0.0
2003-02-24,6.376548939288331,6.376548939288331,6.28732969318088,6.329315662384033,806400,0.0,0.0
2003-02-25,6.303076334478645,6.41853615456021,6.234849804154227,6.376550674438477,497400,0.0,0.0
2003-02-26,6.376548939288331,6.492009228457904,6.318819044956679,6.329315662384033,834900,0.0,0.0
2003-02-27,6.360805968106516,6.366054278020265,6.324068799723038,6.3503098487854,958800,0.0,0.0
2003-02-28,6.371300936861022,6.392293670569532,6.324067160890311,6.355556011199951,1188400,0.0,0.0
2003-03-03,6.392295841711374,6.465770184393579,6.339813739361438,6.381799221038818,1845500,0.0,0.0
2003-03-04,6.371304508237476,6.392297253713278,6.313574082799123,6.339815139770508,647000,0.0,0.0
2003-03-05,6.37654946156177,6.4290315519845755,6.3293161807888145,6.360805034637451,797000,0.0,0.0
2003-03-06,6.324069319451758,6.418536403130883,6.297828268232836,6.413288593292236,800300,0.0,0.0
2003-03-07,6.413288691662911,6.58123062122972,6.3608065884200675,6.57073450088501,858800,0.0,0.0
2003-03-10,6.570733668902164,6.581229787917861,6.397542950332672,6.408039569854736,532800,0.0,0.0
2003-03-11,6.387048211455196,6.429033697603106,6.308325550054482,6.313573360443115,551400,0.0,0.0
2003-03-12,6.28733161790643,6.376550891326361,6.145630742802459,6.371303081512451,686000,0.0,0.0
2003-03-13,6.533996341651734,6.87512898630412,6.455273693158471,6.869880676269531,2364100,0.0,0.0
2003-03-14,6.8698787020488465,6.875127010575211,6.7386739919272305,6.806900501251221,1156300,0.0,0.0
2003-03-17,6.812150297383908,7.242502212524413,6.7806614380482575,7.242502212524414,1251500,0.0,0.0
2003-03-18,7.242501753182674,7.300231658640888,7.100800393640201,7.263494491577148,1220000,0.0,0.0
2003-03-19,7.263494491577148,7.342217135429836,7.179523537999252,7.263494491577148,629700,0.0,0.0
2003-03-20,7.263496903384949,7.441935489240801,7.148036553624128,7.294985771179199,1160000,0.0,0.0
2003-03-21,7.399947610849343,7.662357093496393,7.342217204342917,7.657108783721924,975000,0.0,0.0
2003-03-24,7.478665673418129,7.48391397997707,7.137533755183937,7.200511932373047,838400,0.0,0.0
2003-03-25,7.174277610457023,7.4366871777729155,7.148036553624128,7.294985771179199,862900,0.0,0.0
2003-03-26,7.310728818332805,7.426188637781374,7.263495028328208,7.357962608337402,820300,0.0,0.0
2003-03-27,7.305477881126907,7.357959962371683,7.174273178521188,7.321222305297852,777400,0.0,0.0
2003-03-28,7.29498289134408,7.32647224721383,7.237252989506926,7.273990154266357,997400,0.0,0.0
2003-03-31,7.247749367631783,7.31072757677371,7.18477065798354,7.289734840393066,1657100,0.0,0.0
2003-04-01,7.237253495304561,7.326472759246826,7.16902696990716,7.326472759246826,1394100,0.0,0.0
2003-04-02,7.399948682503738,7.557393994487972,7.3422182676368415,7.525905132293701,1093900,0.0,0.0
2003-04-03,7.5521484146628906,7.793565264972315,7.525907354747533,7.741083145141602,1479300,0.0,0.0
2003-04-04,7.767319544865573,7.867034912109375,7.751575118565244,7.867034912109375,1451400,0.0,0.0
2003-04-07,7.898524645350465,7.951006235712785,7.683348973700433,7.76207160949707,1657500,0.0,0.0
2003-04-08,7.7568247416250715,7.793562412261963,7.662357661217191,7.793562412261963,595400,0.0,0.0
2003-04-09,7.793562211948497,7.898525909985211,7.7305834926200765,7.819802761077881,1100100,0.0,0.0
2003-04-10,7.846046884296441,7.8565435084652195,7.609878346071405,7.741083145141602,772200,0.0,0.0
2003-04-11,7.741083145141602,7.825054136465473,7.65711215381773,7.741083145141602,681100,0.0,0.0
2003-04-14,7.762073051788399,7.8198029620657925,7.7148392613312575,7.793562412261963,672300,0.0,0.0
2003-04-15,7.7935622724483204,7.945759760909632,7.730583552631009,7.914270401000977,1086300,0.0,0.0
2003-04-16,7.898522488119692,7.919515218632385,7.788310527801514,7.788310527801514,737300,0.0,0.0
2003-04-17,7.793562923665428,7.793562923665428,7.394700334194943,7.452430248260498,2159900,0.0,0.0
2003-04-21,7.84604082772578,8.213413881435837,7.84604082772578,8.166180610656738,4312700,0.0,0.0
2003-04-22,8.113701092951544,8.439088786138996,7.966751925174776,8.397103309631348,3519300,0.0,0.0
2003-04-23,8.423343785589342,8.449585333816888,8.218664714478031,8.313132286071777,1576800,0.0,0.0
2003-04-24,8.365614377528116,8.365614377528116,8.265898990876856,8.334125518798828,1119700,0.0,0.0
2003-04-25,8.344621213743608,8.418096548391532,8.265898570418358,8.397103309631348,1228100,0.0,0.0
2003-04-28,8.397103309631348,8.502067501406827,8.27639518979845,8.397103309631348,1208500,0.0,0.0
2003-04-29,8.407622078960989,8.48649263072102,8.344525537263618,8.454944610595703,1608800,0.03,0.0
2003-04-30,8.454940469680423,8.4864884743547,8.370811788620358,8.41287612915039,1172700,0.0,0.0
2003-05-01,8.370809777000854,8.502260934929328,8.192036121986712,8.486486434936523,1947200,0.0,0.0
2003-05-02,8.486489842446677,8.507522517548825,8.370813138064296,8.386587142944336,1031200,0.0,0.0
2003-05-05,8.439167976379395,8.449684314740482,8.370813782818784,8.439167976379395,1635800,0.0,0.0
2003-05-06,8.444425802925391,8.733619078761834,8.444425802925391,8.712586402893066,2171800,0.0,0.0
2003-05-07,8.70206834493274,8.70206834493274,8.402359793294636,8.41287612915039,1954700,0.0,0.0
2003-05-08,8.334006959528683,8.423393822926522,8.244620096130843,8.386587142944336,1178500,0.0,0.0
2003-05-09,8.439169363520111,8.497008231119798,8.38133099736712,8.470718383789062,1056400,0.0,0.0
2003-05-12,8.412877381271674,8.518038749694824,8.349780861085724,8.518038749694824,830300,0.0,0.0
2003-05-13,8.491745617497157,8.5022619520838,8.360294443842735,8.449681282043457,1000800,0.0,0.0
2003-05-14,8.412881427535941,8.418139598775385,8.276171983991247,8.318236351013184,626700,0.0,0.0
2003-05-15,8.386588815460518,8.407620993310488,8.218331392660762,8.402362823486328,545000,0.0,0.0
