,open,high,low,close,volume,dividends,stock_splits
2015-01-02,81.23837382830125,81.62463462612952,79.31479081152857,79.90190887451172,4323700,0.0,0.0
2015-01-05,79.39975493142971,79.39975493142971,77.86243887213826,78.22552490234375,5878100,0.0,0.0
2015-01-06,78.85127206992759,78.85127206992759,77.51480723415493,77.98604583740234,4910100,0.0,0.0
2015-01-07,79.02121849625566,80.70531546463344,78.7971865722661,80.65896606445312,5091000,0.0,0.0
2015-01-08,81.4005787759035,82.65205962164617,81.13019158164869,82.4434814453125,6464600,0.0,0.0
2015-01-09,82.56708584689355,82.56708584689355,80.97569363473328,81.02976989746094,5717600,0.0,0.0
2015-01-12,81.24608577347999,81.33879047645236,80.38858642606755,80.66669464111328,4992900,0.0,0.0
2015-01-13,81.43151124996692,81.91819777540904,79.68561064293037,80.13367462158203,5395200,0.0,0.0
2015-01-14,79.12167026134317,79.88647097983016,78.70450784049739,79.2916259765625,5384400,0.0,0.0
2015-01-15,79.81694050928215,80.07187408066278,77.88563629071274,78.03241729736328,6895000,0.0,0.0
2015-01-16,77.91653708553156,80.5817345229297,77.43757152232659,80.4349594116211,6403800,0.0,0.0
2015-01-20,80.9911465560386,81.07612438764329,79.06756978235366,79.7628402709961,5331300,0.0,0.0
2015-01-21,79.60834185035478,80.38858431116084,79.18345267358218,79.9791488647461,5899200,0.0,0.0
2015-01-22,80.63579716967303,82.12676399512449,79.98688189751633,81.94136047363281,5804100,0.0,0.0
2015-01-23,82.0495118818153,82.25809599774026,81.35424131851813,81.40059661865234,4072300,0.0,0.0
2015-01-26,81.39287604595597,82.27355019626539,81.16111720898105,82.16539764404297,4192300,0.0,0.0
2015-01-27,80.94479562436265,81.74049176537085,80.65123959865087,81.23835754394531,4606500,0.0,0.0
2015-01-28,81.35424698388327,82.99199488104739,80.80575736071732,80.91390991210938,4917300,0.0,0.0
2015-01-29,81.22292247976,83.23147750864489,80.73623598200578,83.13877868652344,6529300,0.0,0.0
2015-01-30,82.16538825620735,82.55164901111849,80.63579307345583,80.66669464111328,7000000,0.0,0.0
2015-02-02,80.94484284799505,81.1147986071442,78.46504828355584,80.6744613647461,5012800,0.0,0.0
2015-02-03,81.02979026011319,82.90701798636138,80.9679871175018,82.84521484375,5969200,0.0,0.0
2015-02-04,82.729319974055,84.20483878550121,82.46666550781885,83.74905395507812,6765200,0.0,0.0
2015-02-05,84.18938443733171,84.46748671788743,83.54819026330064,84.19710540771484,4471800,0.0,0.0
2015-02-06,84.42115180782716,84.7765110041624,83.78768438933884,84.23574829101562,4223700,0.0,0.0
2015-02-09,84.11213912552857,84.56020301180132,83.46322389206155,83.69497680664062,4243800,0.0,0.0
2015-02-10,84.04261860440295,85.6340110824426,83.94219292652186,85.49495697021484,5414400,0.0,0.0
2015-02-11,85.44087458803838,85.5953824205036,84.8305819110109,85.21684265136719,4552900,0.0,0.0
2015-02-12,85.60311018511035,86.67691465700733,85.13959843867315,86.6460189819336,4592200,0.0,0.0
2015-02-13,86.53012840092272,86.82368442719851,85.98163888416299,86.43742370605469,5098600,0.0,0.0
2015-02-17,86.28292014579554,86.70008242401776,85.45632245391191,86.52239990234375,6028600,0.0,0.0
2015-02-18,86.21341885765497,86.65375598230119,85.74990702548098,86.51470184326172,3731600,0.0,0.0
2015-02-19,86.5301270525222,86.87003247399983,85.47177057128701,85.70352935791016,5910600,0.0,0.0
2015-02-20,85.60311102594343,86.71554394341686,85.01599889182953,86.70781707763672,7276100,0.0,0.0
2015-02-23,87.2871980248621,87.41853115226827,86.36790149624493,86.73870849609375,5638000,0.0,0.0
2015-02-24,90.77129339508122,91.09575107183637,88.94041497246721,90.19190216064453,12775500,0.0,0.0
2015-02-25,90.65538216567548,90.65538216567548,89.49660010332632,89.85195922851562,7328200,0.0,0.0
2015-02-26,89.61248745047885,89.93694504223606,88.99446793809962,89.1335220336914,5649900,0.0,0.0
2015-02-27,88.98673898847227,89.35754594755561,88.50004675060364,88.6468276977539,5732600,0.0,0.0
2015-03-02,88.73182143882256,90.43136640957009,88.73182143882256,89.7052001953125,5971900,0.0,0.0
2015-03-03,89.69749703493001,89.70522390238466,88.68549547167058,89.66659545898438,3784800,0.0,0.0
2015-03-04,89.1412579703693,89.20306110667114,88.26058390661822,88.65457153320312,3799000,0.0,0.0
2015-03-05,89.0176539009569,89.68974382529223,88.8863207682927,89.54296875,4088700,0.0,0.0
2015-03-06,89.58158624417068,89.58158624417068,88.06744491603666,88.41507720947266,5169200,0.0,0.0
2015-03-09,88.36101567981777,89.21079412792605,88.35329470765089,89.03311157226562,5351200,0.0,0.0
2015-03-10,88.4041318309727,88.78461348513297,87.40245056152344,87.40245056152344,5685000,0.59,0.0
2015-03-11,87.49566675840607,88.36534537766447,87.28601521204784,87.79850006103516,4356500,0.0,0.0
2015-03-12,88.40414290386772,90.43079964544992,88.34202174971823,90.15126037597656,5742000,0.0,0.0
2015-03-13,90.06584832734012,90.31432702817331,88.52062159166499,89.1573486328125,4626900,0.0,0.0
2015-03-16,89.55338364700854,90.54729867284885,89.54561701968767,90.46188354492188,4820300,0.0,0.0
2015-03-17,89.64655680842576,90.13575360365786,89.40584468645483,89.74750518798828,3715900,0.0,0.0
2015-03-18,89.61549079820347,90.39974823310126,87.98484291956066,90.1357421875,4773600,0.0,0.0
2015-03-19,90.23669721821489,90.40752747117612,89.3514912930528,89.42137908935547,3545600,0.0,0.0
2015-03-20,89.72416131641859,91.61880850241737,89.55333116068648,91.23056030273438,8446000,0.0,0.0
2015-03-23,90.8811628556189,91.43247473120466,90.12796020507812,90.12796020507812,4095200,0.0,0.0
2015-03-24,90.22891527509614,91.49460870308127,90.10467888215881,90.19009399414062,4026900,0.0,0.0
2015-03-25,90.04254415658676,90.5472681265582,88.24107229893089,88.27213287353516,4725800,0.0,0.0
2015-03-26,88.02364320183031,88.07799771954616,86.64148038774319,87.25491333007812,5409600,0.0,0.0
2015-03-27,87.02974038072841,88.69920925616134,86.9676192308986,88.41190338134766,3879300,0.0,0.0
2015-03-30,89.26603377092536,90.11241800656391,88.93214005077037,89.0097885131836,3968400,0.0,0.0
2015-03-31,88.28766291875797,89.58441677059243,88.17119316565224,88.21778106689453,4128800,0.0,0.0
2015-04-01,88.42741937263237,88.52060108543364,87.30150181622498,87.84504699707031,4737700,0.0,0.0
2015-04-02,87.44128739039034,89.2349927389145,87.37139961197812,88.93992614746094,4064800,0.0,0.0
2015-04-06,88.09353304405276,89.72418057203079,88.06247839470721,89.2582778930664,3248900,0.0,0.0
2015-04-07,89.16512816787476,89.91056437829984,88.69923127688412,88.75358581542969,3188300,0.0,0.0
2015-04-08,88.49732066208539,89.92607159818513,88.38861160930384,89.75524139404297,3753500,0.0,0.0
2015-04-09,89.65431559325931,90.26774874726301,88.62934010251647,88.9632339477539,4674000,0.0,0.0
2015-04-10,88.88557490126149,89.80184121025708,88.84674769802122,89.48347473144531,3658100,0.0,0.0
2015-04-13,89.26603447337772,89.63098876620948,88.7923711474724,88.86225891113281,2982000,0.0,0.0
2015-04-14,88.67593328305145,89.28160577084337,87.82955460423794,88.55946350097656,4072500,0.0,0.0
2015-04-15,88.97098902661368,89.46017979136244,88.03918947693113,88.09354400634766,4210800,0.0,0.0
2015-04-16,88.008125600741,88.51284959737572,87.75964691497917,88.03142547607422,4013000,0.0,0.0
2015-04-17,87.67420840074047,87.82950530580631,86.78899708443421,87.04524230957031,6245200,0.0,0.0
2015-04-20,87.74412318274598,88.27990777757027,87.49564448680705,87.63541412353516,4396300,0.0,0.0
2015-04-21,88.13236682873766,88.50508781492529,87.35587020469592,87.8761215209961,3899500,0.0,0.0
2015-04-22,87.89942223526994,87.98483734442273,87.1151648500664,87.73635864257812,4065500,0.0,0.0
2015-04-23,87.5422360689017,88.91663854183749,87.40246642630144,88.48956298828125,3945300,0.0,0.0
2015-04-24,88.42745123705801,88.55169356556318,87.66648770966484,88.28768157958984,2878300,0.0,0.0
2015-04-27,88.55944136020777,88.60602926139028,86.40854241789732,86.49395751953125,5618000,0.0,0.0
2015-04-28,86.11348419725987,86.7890325267893,85.4534631948991,85.86500549316406,5743300,0.0,0.0
2015-04-29,85.54664071817865,85.65534978313346,83.91599881965676,84.41295623779297,7238900,0.0,0.0
2015-04-30,84.29647848880384,84.80120252045619,82.79007894369634,83.06961822509766,9041600,0.0,0.0
2015-05-01,83.06961232708795,85.25156596802806,82.96866397340516,85.0652084350586,6696900,0.0,0.0
