,open,high,low,close,volume,dividends,stock_splits
2006-06-23,3.116474422192629,3.22977424323189,2.942846298217774,2.9428462982177734,7708219,0.0,0.0
2006-06-26,3.0458457345893963,3.1620875816477687,2.9796316823846634,3.1194162368774414,1632787,0.0,0.0
2006-06-27,3.1635597954897805,3.3033450252201173,3.0693886266728225,3.222416400909424,1400414,0.0,0.0
2006-06-28,3.2812725914178755,3.3327724011524524,3.237130230773773,3.2945151329040527,615859,0.0,0.0
2006-06-29,3.3210010559347567,3.347486807116875,3.194459059797466,3.3107008934020996,310781,0.0,0.0
2006-06-30,3.3180574591056353,3.3401291370391846,3.282743574605721,3.3401291370391846,181526,0.0,0.0
2006-07-03,3.3401292643960905,3.3842716217041016,3.312172160255949,3.3842716217041016,54648,0.0,0.0
2006-07-05,3.4799160498419615,3.4799160498419615,3.237131472785173,3.2783308029174805,311731,0.0,0.0
2006-07-06,3.3783882967073398,3.3842737257313673,3.1768033504486084,3.1768033504486084,297475,0.0,0.0
2006-07-07,3.1753298484636283,3.3666148313154474,3.1753298484636283,3.2739150524139404,387288,0.0,0.0
2006-07-10,3.341601213874702,3.341601213874702,3.237130883709438,3.244488000869751,83635,0.0,0.0
2006-07-11,3.3107002926252265,3.3107002926252265,3.257729466701599,3.2739150524139404,93614,0.0,0.0
2006-07-12,3.273915658077603,3.3092298819737676,3.2003444972164803,3.234187364578247,249480,0.0,0.0
2006-07-13,3.2577298980635008,3.2577298980635008,3.1635590838445284,3.2077014446258545,150638,0.0,0.0
2006-07-14,3.2356581235367226,3.2356581235367226,3.1635589919244795,3.1694440841674805,43243,0.0,0.0
2006-07-17,3.24890150045528,3.2665584451729597,3.16355915643434,3.188572883605957,85536,0.0,0.0
2006-07-18,3.1856309500657995,3.235659422128125,3.1635602615797866,3.215059757232666,67954,0.0,0.0
2006-07-19,3.2283019881677655,3.2283019881677655,3.1959308035693983,3.2165307998657227,117374,0.0,0.0
2006-07-20,3.301873218476578,3.301873218476578,3.0899884914891897,3.1488454341888428,170122,0.0,0.0
2006-07-21,3.1974016393277465,3.384272265571647,3.162087413348623,3.1635594367980957,211464,0.0,0.0
2006-07-24,3.1988727797049235,3.2150583665850814,3.163558893207884,3.190044641494751,29938,0.0,0.0
2006-07-25,3.2032882320212015,3.206230945722326,3.092931467016082,3.1576738357543945,155866,0.0,0.0
2006-07-26,3.198873227343261,3.198873227343261,3.0899878396361427,3.1208879947662354,93139,0.0,0.0
2006-07-27,3.103229848016062,3.1782730213546047,3.103229848016062,3.1547303199768066,63202,0.0,0.0
2006-07-28,3.156203415373343,3.2018178251742913,3.1047039098381894,3.1782751083374023,61301,0.0,0.0
2006-07-31,3.1782733152430063,3.2371302408369176,3.162087060559287,3.2077014446258545,96941,0.0,0.0
2006-08-01,3.0914592948045208,3.2150589190243806,3.0914592948045208,3.1635594367980957,67478,0.0,0.0
2006-08-02,3.1635585600206357,3.1635585600206357,3.0899870817961475,3.141486883163452,679061,0.0,0.0
