,open,high,low,close,volume,dividends,stock_splits
2003-01-02,8.862996348279497,9.082377437723322,8.801569074161966,9.047276496887207,856400,0.0,0.0
2003-01-03,9.056051245287703,9.196455010815814,9.047276637596537,9.126253128051758,795300,0.0,0.0
2003-01-06,9.196454051479918,9.214004938776325,9.003399312453663,9.056050300598145,962000,0.0,0.0
2003-01-07,9.003400111623954,9.126252986114133,8.994624667196815,9.047276496887207,980000,0.0,0.0
2003-01-08,9.056051245287703,9.161354069433786,8.994624807087268,9.126253128051758,1071600,0.0,0.0
2003-01-09,9.214003153446823,9.371957761019303,9.143801291608433,9.266654968261719,837600,0.0,0.0
2003-01-10,9.275429686861045,9.275429686861045,8.985846794015378,9.029723167419434,1047300,0.0,0.0
2003-01-13,9.029725347521248,9.073601731518648,8.950748023700413,8.96829891204834,716000,0.0,0.0
2003-01-14,8.950746806174987,9.038499562233216,8.86299488698906,8.994623184204102,835500,0.0,0.0
2003-01-15,8.994619656634661,9.038496017456055,8.985844217095988,9.038496017456055,527300,0.0,0.0
2003-01-16,9.020949362877701,9.143803063335437,8.96829837473322,9.056050300598145,1294300,0.0,0.0
2003-01-17,9.082377399585205,9.433386806472411,9.082377399585205,9.398285865783691,1388400,0.0,0.0
2003-01-21,9.36318077303851,9.529909958156587,9.082373372051403,9.143799781799316,1230500,0.0,0.0
2003-01-22,9.143800083889916,9.363181082376963,9.082373672112613,9.257878303527832,691000,0.0,0.0
2003-01-23,9.477263227229665,9.477263227229665,9.038501048532668,9.082377433776855,906900,0.0,0.0
2003-01-24,9.020949365389635,9.126252178580287,8.9507474899292,8.9507474899292,731100,0.0,0.0
2003-01-27,8.862995572702848,8.871770179489705,8.424233432210082,8.599738121032715,1685900,0.0,0.0
2003-01-28,8.81034251603742,8.81034251603742,8.626062409315757,8.76646614074707,697800,0.0,0.0
2003-01-29,8.59973947711849,8.819120581958899,8.59973947711849,8.687491416931152,876800,0.0,0.0
2003-01-30,8.73136643483236,8.748917322163674,8.28382885035229,8.354031562805176,1092600,0.0,0.0
2003-01-31,8.33647833197174,8.801565836168072,8.33647833197174,8.722588539123535,1736700,0.0,0.0
2003-02-03,8.977073459156093,8.985848903271215,8.11710002081206,8.231178283691406,2679200,0.0,0.0
2003-02-04,8.239950719176367,8.239950719176367,7.8099633201320335,7.932816982269287,2190700,0.0,0.0
