,open,high,low,close,volume,dividends,stock_splits
2003-01-02,19.123500108545056,19.717986393438363,18.63423293705844,19.654855728149414,12726800,0.0,0.0
2003-01-03,19.512802828833323,20.528163175545416,19.439150079436494,20.517641067504883,12764500,0.0,0.0
2003-01-06,20.864862597628917,21.817092302634855,20.685990774779377,21.485652923583984,15538000,0.0,0.0
2003-01-07,21.49091409149813,21.93809467531491,21.1068661591837,21.285737991333008,13026600,0.0,0.0
2003-01-08,21.096343776766872,21.21734702046557,20.54920818572411,20.717557907104492,11117800,0.0,0.0
2003-01-09,21.05951767400044,21.759222843165603,21.006909137968822,21.285737991333008,14015400,0.0,0.0
2003-01-10,20.880652353510495,21.99071006917888,20.780695301123878,21.785533905029297,16493800,0.0,0.0
2003-01-13,22.253739496630324,22.427351196728605,21.106856286962266,21.280467987060547,16018800,0.0,0.0
2003-01-14,21.37517712179319,21.73292082309504,20.707038209270237,20.85960578918457,18919900,0.0,0.0
2003-01-15,20.42820274878226,20.591290378964036,19.791628363377807,20.228286743164062,18081300,0.0,0.0
2003-01-16,20.5281692447136,20.72808534281527,19.76007319264863,19.902118682861328,13793600,0.0,0.0
2003-01-17,19.475971931155563,19.67588792372464,18.81309332675311,18.949878692626953,14161600,0.0,0.0
2003-01-21,19.228711994146835,19.386539601487847,18.765749273311215,18.79731559753418,11606600,0.0,0.0
2003-01-22,19.018280001811846,19.539111420335743,18.786797587456917,19.044584274291992,14232200,0.0,0.0
2003-01-23,19.507547306220296,19.723245553900437,18.771015627519283,19.15506362915039,15783300,0.0,0.0
2003-01-24,18.723663165008475,18.876230724339695,18.045002234372593,18.12917709350586,17905600,0.0,0.0
2003-01-27,17.992388323374005,18.523741586578417,17.913473538505443,18.160737991333008,11206800,0.0,0.0
2003-01-28,18.355395714253444,18.555311738876924,17.89769508527434,18.239654541015625,13305600,0.0,0.0
2003-01-29,18.386969668962,18.970933820880003,18.05027012364759,18.86045265197754,15846700,0.0,0.0
2003-01-30,18.74470959829632,18.98145204475839,17.734609162353877,17.755653381347656,13136500,0.0,0.0
2003-01-31,16.619292262834,17.366344002890987,16.41411613723771,17.171689987182617,19790600,0.0,0.0
2003-02-03,17.287429237596506,17.466301071724946,16.929685569339632,16.955989837646484,11419700,0.0,0.0
2003-02-04,16.729764583740078,17.103290301440584,16.650850798649866,16.99281120300293,12554800,0.0,0.0
2003-02-05,17.22956040995837,17.808262399599027,17.11908126760852,17.2506046295166,15482000,0.0,0.0
2003-02-06,17.219036534489067,17.508387499638502,16.83498859792534,16.955989837646484,12025800,0.0,0.0
2003-02-07,17.150644753990818,17.197993242245047,16.487767925318717,16.64559555053711,8381300,0.0,0.0
2003-02-10,16.650859736485113,17.192736424274283,16.482509970341148,16.987560272216797,10119300,0.0,0.0
2003-02-11,17.050689646732398,17.192735127493844,16.62981526311739,16.88759994506836,10112600,0.0,0.0
2003-02-12,16.798157026636705,17.245335470238953,16.72976434467747,16.856027603149414,11394500,0.0,0.0
2003-02-13,16.89285509152512,17.019116351502404,16.535111510111918,16.924419403076172,10084500,0.0,0.0
2003-02-14,16.98229344614972,18.0555244092227,16.95072912816266,18.050264358520508,14176900,0.0,0.0
2003-02-18,18.20282926579463,18.54479074902791,18.176524999442886,18.47113800048828,12101800,0.0,0.0
2003-02-19,18.418529362068096,18.47113990708895,17.9660907162113,18.229137420654297,8516900,0.0,0.0
2003-02-20,18.365928174033304,18.73945416217566,18.255448995606052,18.576366424560547,8523700,0.0,0.0
2003-02-21,18.80782350619771,18.81308355282022,18.21333789358439,18.439558029174805,8975900,0.0,0.0
2003-02-24,18.43431258455169,18.892013264904215,18.28700507292757,18.592140197753906,9987400,0.0,0.0
2003-02-25,18.265967729024933,18.46588182245854,17.88717975091911,18.418533325195312,9825400,0.0,0.0
2003-02-26,18.302784930638495,18.623702139175847,17.808255983625592,17.913475036621094,9222500,0.0,0.0
2003-02-27,18.139697474014714,18.513223250411116,17.839824441483884,18.481658935546875,11283600,0.0,0.0
2003-02-28,18.502703314533107,18.860446975480155,18.28174505700598,18.807838439941406,8370100,0.0,0.0
2003-03-03,18.93936707783959,19.12349901056357,18.018703400444615,18.071311950683594,9830900,0.0,0.0
2003-03-04,18.12391341334237,18.271218885604572,17.887171042287722,17.997650146484375,8366900,0.0,0.0
2003-03-05,18.044993653829348,18.15547272761675,17.6819901227196,17.92925453186035,9092600,0.0,0.0
2003-03-06,17.86087121797458,18.018698835595085,17.57152025118915,17.8450870513916,9929100,0.0,0.0
2003-03-07,17.41367947214754,17.90820823263925,17.234807751586107,17.79246711730957,12286100,0.0,0.0
2003-03-10,17.545213725872294,17.639910696472818,16.966511800546446,17.00860023498535,9902100,0.0,0.0
2003-03-11,16.99281499627447,17.22955740783585,16.87181376522907,17.019119262695312,9527900,0.0,0.0
2003-03-12,17.01386148854269,17.692522490191426,16.982295160482117,17.671478271484375,13736400,0.0,0.0
2003-03-13,17.997653382391846,18.660532140527852,17.6241275780619,18.607921600341797,14156000,0.0,0.0
2003-03-14,18.75522966174279,18.923579381553015,18.244918444694125,18.45535659790039,14874800,0.0,0.0
2003-03-17,18.365921855122505,19.875809461472294,18.344877635932598,19.644329071044922,17734100,0.0,0.0
