,open,high,low,close,volume,dividends,stock_splits
2015-01-02,106.07120493793052,106.54576135088811,105.42483390933212,106.32484436035156,683700,0.0,0.0
2015-01-05,105.40030496821231,105.59666455875988,103.18298220880114,103.51844024658203,1165700,0.0,0.0
2015-01-06,103.25662433459262,103.92754669981002,102.12751291284361,102.1929702758789,1349800,0.0,0.0
2015-01-07,102.98659924258375,103.6247927751197,102.47931416275341,103.33842468261719,861300,0.0,0.0
2015-01-08,104.63936161241449,105.43301482206375,104.09935407578456,105.040283203125,1089700,0.0,0.0
2015-01-09,105.42484915454367,105.42484915454367,103.50207827957486,103.62480926513672,989200,0.0,0.0
2015-01-12,103.72299576171552,104.16482359287235,102.56933940454849,103.39572143554688,1026600,0.0,0.0
2015-01-13,103.8293702166905,104.31210423920227,101.94751154459443,102.68389129638672,1235000,0.0,0.0
2015-01-14,100.8674780983101,102.2747800708623,100.80202074089902,101.93931579589844,1231700,0.0,0.0
2015-01-15,102.27475418847443,103.27295678813083,101.78383661684087,101.84111022949219,787600,0.0,0.0
2015-01-16,101.84113746853096,102.01295835244116,100.24564713103803,101.07202911376953,1990600,0.0,0.0
2015-01-20,101.35022203622759,102.55296825054516,101.17840114846794,102.2011489868164,1563400,0.0,0.0
2015-01-21,101.92295830958555,103.05206967566117,101.52204290488845,102.8229751586914,1030200,0.0,0.0
2015-01-22,103.62479052879473,104.47571730118213,102.82295364481325,104.28752899169922,1170600,0.0,0.0
2015-01-23,104.26297865453357,104.35298094019318,103.33023336893014,103.37113952636719,1066700,0.0,0.0
2015-01-26,101.08837974330817,102.74113719122957,101.08837974330817,101.88202667236328,1408300,0.0,0.0
2015-01-27,100.55657671538496,101.97205634055761,100.22929613260284,100.80203247070312,1831900,0.0,0.0
2015-01-28,101.61204880432334,104.18119096515902,100.31111026219654,100.33565521240234,2334800,0.0,0.0
2015-01-29,100.66292526954615,100.82656865776019,98.32287787811984,99.37017059326172,1981000,0.0,0.0
2015-01-30,98.11833544941327,99.8365505751072,98.11833544941327,98.6665267944336,2048800,0.0,0.0
2015-02-02,99.06744523278616,100.25383019384789,98.08560359109214,100.00019073486328,2307000,0.0,0.0
2015-02-03,101.08840919420201,101.27659132001425,100.08202247154159,101.03113555908203,1520600,0.0,0.0
2015-02-04,100.32746531717983,101.22748208678809,100.19655060912785,100.4011001586914,1394400,0.0,0.0
2015-02-05,101.1620351438004,101.99660088762843,100.35202059202642,101.9556884765625,1330900,0.0,0.0
2015-02-06,101.57933782068864,102.99481762959873,101.41569438687675,102.47935485839844,1440900,0.0,0.0
2015-02-09,102.27477406979688,102.83933282021634,101.94749354430216,102.30750274658203,1262800,0.0,0.0
2015-02-10,102.47114967194877,102.73297286887167,101.85750096893969,102.2011489868164,1188700,0.0,0.0
2015-02-11,102.20114570110556,102.3238704438759,101.37476372642764,101.74295043945312,1226800,0.0,0.0
2015-02-12,102.27476123756374,102.72477268395143,102.08657293024997,102.5693130493164,1289800,0.0,0.0
2015-02-13,102.68387956246995,103.89481570952509,102.55296484717438,103.82117462158203,770200,0.0,0.0
2015-02-17,103.64119464486211,104.72940006558466,103.23209542585592,104.27938842773438,759500,0.0,0.0
2015-02-18,104.27117470838748,104.54117535492608,103.5102501757281,104.42662811279297,728400,0.0,0.0
2015-02-19,104.4184952955956,105.74397911891701,103.87848128678937,105.43305969238281,1082400,0.0,0.0
2015-02-20,105.42484431108099,105.95666815348706,104.2629981091449,105.80120849609375,1075800,0.0,0.0
2015-02-23,105.51482553428242,105.91573458671674,104.84389714371751,105.04844665527344,872400,0.0,0.0
2015-02-24,105.20392033729006,105.44119230912244,104.71300269243834,105.040283203125,830400,0.0,0.0
2015-02-25,104.9993853712901,105.54757671341883,104.94210549979026,105.21211242675781,719500,0.0,0.0
2015-02-26,104.98301816474594,105.4984870706352,104.45119428242974,104.6475601196289,1462500,0.0,0.0
2015-02-27,104.71301747948111,105.23665763122642,104.50846791171107,104.6475601196289,1249000,0.0,0.0
2015-03-02,104.64755436084043,106.67668870809267,104.41027612620178,106.59486389160156,1376400,0.0,0.0
2015-03-03,106.21850953529177,106.25940946261066,105.48212357282212,105.58849334716797,1223800,0.0,0.0
2015-03-04,105.46920099036383,105.65843154776108,104.13633265406514,105.08250427246094,1996900,0.715,0.0
2015-03-05,105.24704208394479,105.37868617713318,104.49010737951915,105.09894561767578,2209100,0.0,0.0
2015-03-06,104.05404128191415,104.53124167639213,103.798988712547,103.90594482421875,1849200,0.0,0.0
2015-03-09,103.93062433315036,104.33377335172626,103.61797905221286,103.87303161621094,1934500,0.0,0.0
2015-03-10,103.0091209345405,103.3299954974153,102.03826792254804,102.31800842285156,1703800,0.0,0.0
2015-03-11,102.31799760125652,103.1078430784212,102.11230847875113,102.20281219482422,1429000,0.0,0.0
2015-03-12,102.55663218201636,103.44521099619618,102.37562468907572,103.36293029785156,1544000,0.0,0.0
2015-03-13,103.09141962709849,103.17369404375137,101.27312175025106,101.85728454589844,1332300,0.0,0.0
2015-03-16,103.28887020948682,103.29709953355399,101.41298605881643,102.21928405761719,1437600,0.0,0.0
2015-03-17,101.9395352846572,102.01358035930537,100.39274899146443,101.05095672607422,1374400,0.0,0.0
2015-03-18,100.49973335553827,103.25596707788743,99.86620717380872,102.68826293945312,1277800,0.0,0.0
2015-03-19,101.89017658383234,102.20282811611149,100.37630741938439,100.38453674316406,1394400,0.0,0.0
2015-03-20,99.4136992573305,101.34717635756354,98.4757570678194,100.31050109863281,3025100,0.0,0.0
2015-03-23,100.31047836037426,100.70540427139562,100.07187820454762,100.35984802246094,1100400,0.0,0.0
2015-03-24,100.09659964032481,101.07567600631623,99.99786656027557,100.00609588623047,1301700,0.0,0.0
2015-03-25,100.18706993331452,100.50795078712513,98.96939366211782,98.97762298583984,1008100,0.0,0.0
2015-03-26,98.88712400625127,99.45482182764317,98.78016162413164,99.15040588378906,1040100,0.0,0.0
2015-03-27,98.96117643418822,99.5041988777872,98.77194590539627,98.8624496459961,1071700,0.0,0.0
2015-03-30,99.57825807664383,100.33519285332126,99.26561274118224,99.98140716552734,846900,0.0,0.0
2015-03-31,99.73459435552101,100.10483245684263,99.29030486765281,99.33966827392578,997500,0.0,0.0
2015-04-01,99.20799723036956,99.69342063530027,98.52510771215702,99.56178283691406,1231700,0.0,0.0
2015-04-02,99.26558046451191,100.83704223388195,98.98583996931136,100.59844207763672,1334700,0.0,0.0
2015-04-06,100.63135928407799,101.19083403176282,100.16238826595503,100.59022521972656,1085500,0.0,0.0
2015-04-07,100.44212127887452,101.47879001386906,100.44212127887452,101.00981903076172,922400,0.0,0.0
2015-04-08,100.9851611726232,101.38008717235427,100.39277531159449,100.67251586914062,1012400,0.0,0.0
2015-04-09,100.87820979170725,101.19908443530684,100.51619479805186,100.84529876708984,1327300,0.0,0.0
2015-04-10,101.19907968402485,101.19907968402485,99.95671524087497,100.67251586914062,1690400,0.0,0.0
2015-04-13,100.77944082834554,100.96867758322075,99.66049149837761,99.73454284667969,1380000,0.0,0.0
2015-04-14,99.80038021632551,100.12125479498847,99.08457969931244,99.55355072021484,1566100,0.0,0.0
2015-04-15,100.0307649771976,100.64783252616137,99.71811340168911,99.9649429321289,1429400,0.0,0.0
2015-04-16,99.94026678906786,100.2775938038057,99.27383580783102,99.75102996826172,1060100,0.0,0.0
2015-04-17,99.05168030700992,99.49596968587427,98.780169084848,99.10104370117188,1048900,0.0,0.0
2015-04-20,99.98138629815915,100.53263802953126,99.48773355888524,100.37631225585938,1644200,0.0,0.0
2015-04-21,100.48328923451034,100.72188946810193,99.61116900472732,99.74281311035156,1703500,0.0,0.0
2015-04-22,99.80862064402409,100.03899153270648,98.9858638832236,99.76748657226562,965100,0.0,0.0
2015-04-23,99.93203495776932,100.7218806912789,99.55356760278364,100.26113891601562,979700,0.0,0.0
2015-04-24,100.35987913285268,100.78770991504184,99.92381274777266,100.75479888916016,1042500,0.0,0.0
2015-04-27,100.78767713542186,101.79967045145538,100.35161716929989,101.68447875976562,1804400,0.0,0.0
2015-04-28,101.33073607425065,101.97248540920529,100.58202433204586,101.02631378173828,1563300,0.0,0.0
2015-04-29,98.73080750552762,102.83636182670116,98.5744817182938,102.58953857421875,2635200,0.0,0.0
2015-04-30,102.16992040743511,102.26865346458465,99.75101386291949,100.31871795654297,3068600,0.0,0.0
2015-05-01,100.58201456167062,101.74210461381209,100.44214741807704,100.99339294433594,1204300,0.0,0.0
2015-05-04,101.2072864530767,101.48702067114286,100.40921158356477,100.59844207763672,826100,0.0,0.0
2015-05-05,100.77124283665982,101.05920642468597,99.16686351399626,99.4795150756836,796500,0.0,0.0
2015-05-06,100.17885195021697,100.34340077016552,98.27005676399229,98.60738372802734,1453000,0.0,0.0
2015-05-07,98.26183548344967,99.5782449822031,98.02323528099818,99.36432647705078,1039000,0.0,0.0
2015-05-08,100.4339274069709,100.57379456353561,99.4795327347884,99.57003021240234,1408700,0.0,0.0
2015-05-11,99.31496208682246,99.63583670276637,97.8833671636008,98.03146362304688,1696000,0.0,0.0
2015-05-12,97.77636969922585,97.77636969922585,96.64096810218717,96.95361328125,1810800,0.0,0.0
2015-05-13,96.93718440189599,97.28274067465924,96.4188499927511,96.928955078125,1509900,0.0,0.0
2015-05-14,97.71058270869318,99.30672636079638,97.34856776957474,99.23268127441406,1515300,0.0,0.0
2015-05-15,98.95292316754909,101.25664391738638,98.95292316754909,100.70539855957031,1920100,0.0,0.0
2015-05-18,100.3927662975687,100.56555072246802,99.66874268639519,100.25289916992188,938700,0.0,0.0
2015-05-19,100.27758566691104,100.27758566691104,99.33964351863543,99.8250732421875,887700,0.0,0.0
2015-05-20,100.19529427450914,100.66426526918616,99.55354515307054,99.94847106933594,1083900,0.0,0.0
2015-05-21,99.82507883912203,100.26936824118415,99.61116032469155,100.26113891601562,830200,0.0,0.0
2015-05-22,100.12947792307295,100.62313691569584,99.68519487312811,100.38453674316406,1430900,0.0,0.0
2015-05-26,99.73458219528487,100.11304957721936,99.44661856524085,100.10482025146484,1429900,0.0,0.0
2015-05-27,99.74280838219154,100.08013540187439,99.28206031148423,99.98963165283203,1229500,0.0,0.0
2015-05-28,99.79216882020953,101.00162226958732,99.67698337523412,100.99339294433594,1354800,0.0,0.0
2015-05-29,100.83706329125809,101.4705894915141,100.57378138751338,101.08389282226562,2269000,0.0,0.0
2015-06-01,101.20731764861284,101.27313342323986,100.21178265495328,100.75479888916016,1448400,0.0,0.0
2015-06-02,100.6889735765179,100.9358031240686,100.12949870892098,100.82061767578125,1212900,0.0,0.0
2015-06-03,100.88265831094989,101.64403533935547,100.88265831094989,101.64403533935547,1319600,0.715,0.0
2015-06-04,100.05509401575664,101.08129832736071,100.05509401575664,100.45233154296875,1691700,0.0,0.0
2015-06-05,100.05509401575664,100.75026284536618,99.78198926956289,100.45233154296875,1220600,0.0,0.0
2015-06-08,100.45232814145339,100.94888450461914,100.2206052060968,100.79164123535156,2319300,0.0,0.0
2015-06-09,100.90750071563377,101.21370962502495,100.63439598406676,100.93232727050781,1628700,0.0,0.0
2015-06-10,101.50335353223451,101.84266027286009,100.99024829624318,101.80128479003906,1007600,0.0,0.0
2015-06-11,101.94199269831927,102.12406253740822,101.5199222817019,101.99164581298828,1103100,0.0,0.0
2015-06-12,101.93370846075096,102.04956993011247,101.544742250476,101.94198608398438,1253600,0.0,0.0
2015-06-15,101.1640271263573,101.41230524641945,100.2454069216922,100.31989288330078,1339600,0.0,0.0
2015-06-16,100.20405623968496,100.81646775634378,100.17922968433042,100.75025939941406,800200,0.0,0.0
