,open,high,low,close,volume,dividends,stock_splits
2015-01-02,38.78972692708723,39.176134654314474,38.66092525472172,38.76939010620117,7415962,0.0,0.0
2015-01-05,39.46085446536107,39.64388857092718,39.026995041758205,39.345611572265625,16727338,0.0,0.0
2015-01-06,39.50830976217851,41.013258994781935,39.487972939997086,40.8912353515625,25453510,0.0,0.0
2015-01-07,40.972582255701155,41.772509848361665,40.91834983060331,41.76573181152344,19528956,0.0,0.0
2015-01-08,42.030118571763936,42.66734897072468,41.92843445551708,42.60633850097656,20038808,0.0,0.0
2015-01-09,42.579215761257785,42.79614546309299,42.145356357587374,42.40974044799805,13245358,0.0,0.0
2015-01-12,42.7758104530826,43.04697259185534,42.09790646121615,42.23348617553711,12124312,0.0,0.0
2015-01-13,42.64700445907625,43.12831822297692,41.84707690820039,42.158912658691406,10516890,0.0,0.0
2015-01-14,41.84030620345182,42.64701193217203,41.67760890814719,42.4639778137207,10331289,0.0,0.0
2015-01-15,42.56565441068014,42.70123410245415,41.91486538585203,41.948760986328125,10023701,0.0,0.0
2015-01-16,41.935198387726686,42.816475789511834,41.71148798696969,42.72834777832031,11917018,0.0,0.0
2015-01-20,42.51141759775354,42.911381305820626,41.94875665029663,42.443626403808594,13734983,0.0,0.0
2015-01-21,42.314824898951656,42.558869403764724,42.08433646486758,42.13856887817383,9517307,0.0,0.0
2015-01-22,42.206365069348536,42.51142276907965,41.71149254550744,42.43007278442383,8902131,0.0,0.0
2015-01-23,42.341946084617334,42.70801696179388,42.30805048246411,42.36228561401367,6528097,0.0,0.0
2015-01-26,42.423305051159694,42.6944672156494,42.11146923952931,42.586002349853516,7036901,0.0,0.0
2015-01-27,42.626670149833245,42.72157621685347,42.11824149992333,42.40974044799805,8347425,0.0,0.0
2015-01-28,42.585992793577546,42.680898852319295,41.569135582456205,41.65726089477539,9293769,0.0,0.0
2015-01-29,41.718271681486364,42.131794204709735,41.18950628709022,42.09111785888672,9527682,0.0,0.0
2015-01-30,41.71149981801264,41.982661963925835,40.694642448370885,40.86412048339844,12667071,0.0,0.0
2015-02-02,41.01325542592512,41.30475436871161,40.525163605650626,41.27085876464844,9711502,0.0,0.0
2015-02-03,41.277635493393696,41.392878367885714,40.63362449914559,41.365760803222656,12028420,0.0,0.0
2015-02-04,40.6539601439704,40.67429696181541,39.548974973522796,40.03028869628906,20380142,0.0,0.0
2015-02-05,40.179432138132974,40.2336645624726,39.66422546197188,40.11164093017578,13268099,0.0,0.0
2015-02-06,40.06418223292449,40.518378368421196,39.71167018141649,39.85403060913086,10338310,0.0,0.0
2015-02-09,39.75913552974455,39.99640207135064,39.27104366154979,39.542205810546875,10494777,0.0,0.0
2015-02-10,39.99640499978427,40.22689081070918,39.84048573639584,39.894718170166016,9997291,0.0,0.0
2015-02-11,39.83370725384155,39.96928698168807,39.58965994953431,39.82014846801758,10987127,0.0,0.0
2015-02-12,39.996381390807215,40.07095060445827,39.71844134809607,39.91503143310547,7553670,0.0,0.0
2015-02-13,39.928613773684525,39.95573134563085,39.73202086253253,39.86760330200195,8278466,0.0,0.0
2015-02-17,39.82013501109123,39.97605422004749,39.79302015873763,39.85403060913086,10676290,0.0,0.0
2015-02-18,39.77268511805156,40.00317358464135,39.47440815786634,39.86081314086914,11039842,0.0,0.0
2015-02-19,39.89470437474138,39.98961313361847,39.18968297952258,39.52185821533203,10308338,0.0,0.0
2015-02-20,39.42016941482957,39.64387709909096,39.13544857294779,39.55575180053711,12161830,0.0,0.0
2015-02-23,39.58286866592715,39.772680763420965,39.43373020216341,39.52185821533203,9002215,0.0,0.0
2015-02-24,39.650658527780784,39.70489094097241,39.352378900161774,39.562530517578125,8084377,0.0,0.0
2015-02-25,39.63032465081696,39.976055971788796,39.35916256474785,39.65066146850586,8861050,0.0,0.0
2015-02-26,39.76591312566007,40.09808844832528,39.76591312566007,39.96928405761719,12040577,0.0,0.0
2015-02-27,39.92182536571651,40.03706824122527,39.65066326734553,39.6845588684082,13686775,0.0,0.0
2015-03-02,39.68456269388385,39.92182921406395,39.50830663541954,39.71167755126953,10131226,0.0,0.0
2015-03-03,39.75234396235751,39.793020306233934,39.28459175401532,39.548973083496094,8647362,0.0,0.0
2015-03-04,39.59643462358458,39.75913189812197,39.10156476316569,39.237144470214844,13975290,0.0,0.0
2015-03-05,39.37950087836041,39.508302535369786,39.18290801972597,39.304931640625,12087737,0.0,0.0
2015-03-06,39.216812161589125,39.23037094689319,38.45077737867768,38.532127380371094,11595806,0.0,0.0
2015-03-09,38.53211645082099,38.8914065436155,38.16604832236252,38.816837310791016,8742416,0.0,0.0
2015-03-10,38.60669461261361,38.76939189734941,38.29485882773603,38.35586929321289,13755000,0.0,0.0
2015-03-11,38.972751995871064,38.972751995871064,37.94233885567613,38.00334930419922,16417234,0.0,0.0
2015-03-12,38.14688366529406,38.42024015406956,38.03754106978386,38.386070251464844,13576106,0.429389,0.0
2015-03-13,38.29037593923915,38.56373228363359,38.02385247893177,38.406551361083984,13700399,0.0,0.0
2015-03-16,38.6662489282348,39.17195897554525,38.6662489282348,39.035282135009766,12073798,0.0,0.0
2015-03-17,38.87810081135181,38.87810081135181,38.433897668665885,38.5910758972168,10479371,0.0,0.0
2015-03-18,38.5363892700324,39.616145978892426,38.413378251234064,39.3974609375,15645068,0.0,0.0
2015-03-19,39.2471261921757,39.86901160410037,38.97376981704061,39.78017044067383,15149783,0.0,0.0
2015-03-20,39.80067782671876,40.22438232109174,39.47265285917242,40.03303146362305,27367472,0.0,0.0
2015-03-23,39.91000788412,40.41571777885774,39.66398855255557,40.135528564453125,11170108,0.0,0.0
2015-03-24,40.60023628303142,40.798419980486315,39.985186537757954,40.06719207763672,13692434,0.0,0.0
2015-03-25,40.661748673908505,40.805258388121594,39.75967122077294,39.8143424987793,14712243,0.0,0.0
2015-03-26,39.66398984836992,39.77333238420646,39.23345258899077,39.36329650878906,11090879,0.0,0.0
2015-03-27,39.52048778004086,39.7938441912315,39.38381094047628,39.465816497802734,8932628,0.0,0.0
