,open,high,low,close,volume,dividends,stock_splits
2003-01-02,2.1976027352505754,2.241798696724547,2.1457870172223674,2.2296066284179688,20925,0.0,0.0
2003-01-03,2.1960790606962917,2.2052230317335244,2.1610270627154997,2.177791118621826,16650,0.0,0.0
2003-01-06,2.1945551555765643,2.2097949981689453,2.1579791082363946,2.2097949981689453,27675,0.0,0.0
2003-01-07,2.2082711310840017,2.2082711310840017,2.0650153668245563,2.177791118621826,33525,0.0,0.0
2003-01-08,2.1808389624399775,2.1808389624399775,2.095495133754276,2.1274988651275635,26100,0.0,0.0
2003-01-09,2.179314903945708,2.2036988764267953,2.1092109217474317,2.202174663543701,26775,0.0,0.0
2003-01-10,2.176267036675478,2.26313475371452,2.118355116311393,2.2417988777160645,49950,0.0,0.0
2003-01-13,2.2067468682340454,2.2448467955547278,2.1412147054700252,2.2296066284179688,31050,0.0,0.0
2003-01-14,2.2128419885355792,2.2524661182702492,2.2128419885355792,2.249418020248413,20250,0.0,0.0
2003-01-15,2.270754814147949,2.270754814147949,2.2357029806702227,2.270754814147949,41625,0.0,0.0
2003-01-16,2.276851439089028,2.3012354219822635,2.2402753829956055,2.2402753829956055,23400,0.0,0.0
2003-01-17,2.2448468285785865,2.284470478883118,2.1945548322114816,2.247894763946533,29250,0.0,0.0
2003-01-21,2.287518168596761,2.322569991333297,2.2387503938971833,2.317998170852661,33075,0.0,0.0
2003-01-22,2.3058057080610115,2.310378018600794,2.2174142990753616,2.249418020248413,31725,0.0,0.0
2003-01-23,2.2677067188395723,2.324094752675735,2.209794798985788,2.3134267330169678,35100,0.0,0.0
2003-01-24,2.267706901314487,2.301234849006294,2.2219870469652485,2.2859950065612793,38025,0.0,0.0
2003-01-27,2.293615035579138,2.435346590722879,2.2905669361412033,2.3865787982940674,120825,0.0,0.0
2003-01-28,2.3469550274870343,2.36067115014877,2.301235327145481,2.3317153453826904,46350,0.0,0.0
2003-01-29,2.2995429724137555,2.365419278752885,2.275030824024801,2.3240549564361572,40050,0.035556,0.0
2003-01-30,2.314863829392775,2.322523805770961,2.3133316040039062,2.3133316040039062,25200,0.0,0.0
2003-01-31,2.2980099883050547,2.3684821144674197,2.2980099883050547,2.3255860805511475,51975,0.0,0.0
2003-02-03,2.3271196601045974,2.3286518854934664,2.298011651247534,2.3133316040039062,119025,0.0,0.0
2003-02-04,2.299542625471672,2.328650951385498,2.299542625471672,2.328650951385498,19125,0.0,0.0
2003-02-05,2.3163946681396332,2.3286509872233996,2.304138513422397,2.305670738220215,16200,0.0,0.0
2003-02-06,2.305671278165195,2.328651532549925,2.298011302947998,2.298011302947998,41175,0.0,0.0
2003-02-07,2.3087353997453293,2.3087353997453293,2.276562944986767,2.298011302947998,37800,0.0,0.0
2003-02-10,2.29801076479684,2.3148629364414073,2.29801076479684,2.305670738220215,25875,0.0,0.0
2003-02-11,2.3163942445211334,2.3363105333860155,2.298010344540359,2.334778308868408,54000,0.0,0.0
2003-02-12,2.299543199371496,2.3117993569588946,2.298011302947998,2.298011302947998,28125,0.0,0.0
2003-02-13,2.2995420609493555,2.334778126744212,2.298010165284245,2.3332462310791016,27900,0.0,0.0
2003-02-14,2.3363108537202524,2.3746108834507687,2.3087347534183498,2.3730788230895996,32850,0.0,0.0
2003-02-18,2.3439706086540917,2.374610662460327,2.3439706086540917,2.374610662460327,15975,0.0,0.0
2003-02-19,2.357759536995215,2.363887615788914,2.298011302947998,2.298011302947998,104175,0.0,0.0
2003-02-20,2.308734859082789,2.3194587890022076,2.2995426608615968,2.305670738220215,4950,0.0,0.0
2003-02-21,2.32711953868437,2.3562278747558594,2.304139282015646,2.3562278747558594,11025,0.0,0.0
2003-02-24,2.337842831389201,2.337842831389201,2.3056708753509745,2.316394805908203,20700,0.0,0.0
2003-02-25,2.328651514747829,2.3868675231933594,2.317927089299346,2.3868675231933594,85050,0.0,0.0
2003-02-26,2.3286509274830975,2.38686692124708,2.3286509274830975,2.383803129196167,26100,0.0,0.0
2003-02-27,2.342438977911365,2.383803129196167,2.31639460871376,2.383803129196167,23175,0.0,0.0
2003-02-28,2.3608226315679537,2.373078620310464,2.319458484649658,2.319458484649658,18900,0.0,0.0
2003-03-03,2.316395982105667,2.3899322946561288,2.316395982105667,2.342440366744995,74925,0.0,0.0
2003-03-04,2.324055538060048,2.330183782149147,2.3133316040039062,2.3133316040039062,18675,0.0,0.0
2003-03-05,2.389930851561128,2.389930851561128,2.319458704164048,2.368482828140259,58275,0.0,0.0
2003-03-06,2.3240541505026346,2.368482414323729,2.3240541505026346,2.354694366455078,6075,0.0,0.0
2003-03-07,2.327119207195353,2.389931395751653,2.327119207195353,2.380739688873291,12825,0.0,0.0
2003-03-10,2.342439008378149,2.3883990127036228,2.328650957770548,2.3669509887695312,27900,0.0,0.0
2003-03-11,2.3546965357920184,2.3654206376919333,2.3363126193968955,2.363888740539551,6525,0.0,0.0
2003-03-12,2.330183200469876,2.3899312642914805,2.3286513041965997,2.3822712898254395,47475,0.0,0.0
2003-03-13,2.3899323044737564,2.455808639526367,2.382272326673825,2.455808639526367,57150,0.0,0.0
2003-03-14,2.480320857305019,2.494108914463792,2.420572280883789,2.420572280883789,58950,0.0,0.0
2003-03-17,2.4665323508799,2.4895121132256617,2.388399712478436,2.403719663619995,101925,0.0,0.0
2003-03-18,2.382271046578464,2.388399124145508,2.3746110728945613,2.388399124145508,81450,0.0,0.0
2003-03-19,2.3883989668985564,2.4282310575455432,2.3746109165553846,2.426699161529541,91125,0.0,0.0
2003-03-20,2.3899308151474274,2.4925754070281982,2.388398919162043,2.4925754070281982,26100,0.0,0.0
2003-03-21,2.5032991871343526,2.5078955322825403,2.4496792147794695,2.4680631160736084,43650,0.0,0.0
2003-03-24,2.449679755000583,2.4634678072867127,2.4312953565526465,2.454275608062744,26100,0.0,0.0
2003-03-25,2.4650005152571612,2.5293449448146315,2.4650005152571612,2.5278127193450928,14625,0.0,0.0
2003-03-26,2.472658890283189,2.5262791861188014,2.4695947700622134,2.4741909503936768,28575,0.0,0.0
2003-03-27,2.471127963001206,2.514024019241333,2.471127963001206,2.514024019241333,12375,0.0,0.0
2003-03-28,2.5247490837541413,2.5278132065505856,2.4757249270440096,2.4818530082702637,23175,0.0,0.0
2003-03-31,2.526280101743495,2.526280101743495,2.4757237434387207,2.4757237434387207,32400,0.0,0.0
2003-04-01,2.475722754092264,2.5415990352630615,2.475722754092264,2.5415990352630615,35325,0.0,0.0
2003-04-02,2.524747955556915,2.602880586452744,2.524747955556915,2.5661122798919678,112950,0.0,0.0
2003-04-03,2.5737725326128245,2.58756058566326,2.5324082090949616,2.5431323051452637,26100,0.0,0.0
2003-04-04,2.550792291173807,2.553856248187567,2.5308761596679688,2.5308761596679688,31500,0.0,0.0
2003-04-07,2.5507928294902067,2.572240861846014,2.5201525954200896,2.5293447971343994,57150,0.0,0.0
2003-04-08,2.5293449448146315,2.5293449448146315,2.510960540312607,2.5278127193450928,31950,0.0,0.0
2003-04-09,2.5354732291450164,2.5354732291450164,2.494109055332426,2.4987049102783203,29925,0.0,0.0
2003-04-10,2.5109591994257454,2.5109591994257454,2.4512111494499687,2.464999198913574,29475,0.0,0.0
2003-04-11,2.4665324416148064,2.4833841255039117,2.4512121611765156,2.4573402404785156,24300,0.0,0.0
2003-04-14,2.4512124114594505,2.5860290193029174,2.4512124114594505,2.5829648971557617,51750,0.0,0.0
2003-04-15,2.5216842718439225,2.5615162058573855,2.4741918700640877,2.549260377883911,23175,0.0,0.0
2003-04-16,2.5737731527775862,2.5737731527775862,2.477256593801788,2.5216848850250244,24300,0.0,0.0
2003-04-17,2.543132383824278,2.5753043442374004,2.514024051772956,2.5553882122039795,16650,0.0,0.0
2003-04-21,2.510959954758381,2.5140240762497013,2.4803202191442546,2.5124921798706055,21600,0.0,0.0
2003-04-22,2.5109598526277996,2.5477281584621845,2.4787878932100083,2.5431323051452637,22500,0.0,0.0
2003-04-23,2.512492732571404,2.5247485637664795,2.4818524971173135,2.5247485637664795,7200,0.0,0.0
2003-04-24,2.5124924118459573,2.5354726676863426,2.5124924118459573,2.518620491027832,2925,0.0,0.0
2003-04-25,2.521685131146487,2.521685131146487,2.5109607027322345,2.515557050704956,7200,0.0,0.0
2003-04-28,2.5478855501568995,2.5478855501568995,2.4786077656787624,2.509397506713867,28350,0.035556,0.0
2003-04-29,2.523254235772818,2.523254235772818,2.481687545776367,2.481687545776367,16875,0.0,0.0
2003-04-30,2.4709099587846355,2.5309508705036214,2.463212482233043,2.509397506713867,32175,0.0,0.0
2003-05-01,2.500161025506562,2.5540435314178467,2.478607990107792,2.5540435314178467,31275,0.0,0.0
2003-05-02,2.5401877748262875,2.5863732953947984,2.538648378599601,2.581754446029663,20250,0.0,0.0
2003-05-05,2.58483334614581,2.58483334614581,2.4878442898554685,2.5124764442443848,22275,0.0,0.0
2003-05-06,2.5170949764245716,2.5309505314641454,2.4986207378672285,2.5232527256011963,31050,0.0,0.0
2003-05-07,2.5309520989660785,2.5309520989660785,2.484766721725464,2.484766721725464,40725,0.0,0.0
2003-05-08,2.530951645602536,2.530951645602536,2.464752798437517,2.4693713188171387,34200,0.0,0.0
2003-05-09,2.494002441813358,2.5232529505009746,2.4632123718159296,2.478607654571533,28800,0.0,0.0
2003-05-12,2.464752441080726,2.4755290421278167,2.4247251601465556,2.432422637939453,15075,0.0,0.0
2003-05-13,2.4616731887740646,2.4616731887740646,2.417027393466046,2.4278039932250977,21600,0.0,0.0
2003-05-14,2.4324223238302953,2.5093975873330012,2.418566766489532,2.497081756591797,27900,0.0,0.0
2003-05-15,2.5093980678126218,2.5247933547007118,2.4816869478251897,2.5186352729797363,20475,0.0,0.0
2003-05-16,2.5016998457743265,2.5247926040695856,2.4016318321228027,2.4016318321228027,104625,0.0,0.0
2003-05-19,2.463213053309688,2.473989489946097,2.3323547653952708,2.35544753074646,96750,0.0,0.0
2003-05-20,2.3723818474065417,2.4431990384883346,2.369302889368161,2.4047114849090576,57375,0.0,0.0
2003-05-21,2.386237309831127,2.463212744219195,2.386237309831127,2.440119981765747,32625,0.0,0.0
2003-05-22,2.446277511799953,2.4601330670486226,2.375460339532028,2.43858003616333,38700,0.0,0.0
2003-05-23,2.38007943937909,2.4216461181640625,2.3631449215978675,2.4216461181640625,13725,0.0,0.0
2003-05-27,2.3677629708263535,2.4278037129487657,2.363144287030298,2.4016318321228027,74250,0.0,0.0
2003-05-28,2.4231861351637707,2.4524366543636438,2.3970144093474817,2.4462785720825195,34425,0.0,0.0
2003-05-29,2.4524370381963045,2.4678319985516133,2.3908567012610358,2.395475387573242,25425,0.0,0.0
2003-05-30,2.4616733118133403,2.4878447014549763,2.4585941887732683,2.466291666030884,32625,0.0,0.0
2003-06-02,2.4601337588339227,2.4863054806661284,2.4324226405442655,2.4539756774902344,19125,0.0,0.0
2003-06-03,2.4478176864141608,2.4940027138626,2.4478176864141608,2.4863052368164062,30375,0.0,0.0
2003-06-04,2.494003161297577,2.520175050429563,2.4847661211164684,2.5017006397247314,39825,0.0,0.0
2003-06-05,2.5247939630381815,2.5247939630381815,2.478608917102358,2.481687545776367,53100,0.0,0.0
2003-06-06,2.507858476635271,2.5247931587608887,2.45859432220459,2.45859432220459,28575,0.0,0.0
2003-06-09,2.450897216796875,2.480147735508921,2.450897216796875,2.450897216796875,62775,0.0,0.0
2003-06-10,2.4940027138626,2.4940027138626,2.4647522019842976,2.4863052368164062,9450,0.0,0.0
2003-06-11,2.472449416323632,2.5001606941223145,2.472449416323632,2.5001606941223145,10125,0.0,0.0
2003-06-12,2.5170959288347685,2.5247934072677736,2.4909242048541977,2.521714448928833,18000,0.0,0.0
