,open,high,low,close,volume,dividends,stock_splits
2003-01-02,9.571757882012298,9.886128529833291,9.571757882012298,9.828217506408691,81144,0.0,1.05
2003-01-03,9.803395727298408,9.848896793896346,9.720666594378066,9.770303726196289,39249,0.0,0.0
2003-01-06,9.741353715510204,10.006087252208077,9.65862453965683,9.865447044372559,103084,0.0,0.0
2003-01-07,9.803400299156234,9.881992533673158,9.720671127654786,9.824082374572754,100769,0.0,0.0
2003-01-08,9.824087591620888,9.824087591620888,9.679311247151531,9.708267211914062,43659,0.0,0.0
2003-01-09,9.666891065870033,9.782711312545509,9.666891065870033,9.733074188232422,29216,0.0,0.0
2003-01-10,9.720669624558537,9.762033768995488,9.658622538067883,9.712396621704102,55566,0.0,0.0
2003-01-13,9.741352391308896,9.762034465001946,9.63794115300835,9.691715240478516,37706,0.0,0.0
2003-01-14,9.637940966411113,9.80753535914713,9.637940966411113,9.749625205993652,52589,0.0,0.0
2003-01-15,9.658623263953386,9.811671653674598,9.575894099026817,9.699987411499023,58433,0.0,0.0
2003-01-16,9.679299206784783,9.74134625863746,9.625526023002855,9.666890144348145,21058,0.0,0.0
2003-01-17,9.666899219612231,9.716536385792793,9.654490145525982,9.704127311706543,32083,0.0,0.0
2003-01-21,9.679301741353314,9.679301741353314,9.534525539065017,9.57589054107666,56669,0.0,0.0
2003-01-22,9.563487135259747,9.596578286618119,9.389755763662972,9.49730396270752,46967,0.0,0.0
2003-01-23,9.50143904562494,9.78271771727654,9.50143904562494,9.63794231414795,63504,0.0,0.0
2003-01-24,9.637939472551917,9.712395620733073,9.60898440046315,9.642075538635254,67363,0.0,0.0
2003-01-27,9.600714425240124,9.654488520287465,9.509712244365456,9.580032348632812,76844,0.0,0.0
2003-01-28,9.617259920785505,9.617259920785505,9.472484509337367,9.538667678833008,103856,0.0,0.0
2003-01-29,9.57589218316031,9.588301250974236,9.369069747140882,9.55521011352539,72875,0.0,0.0
2003-01-30,9.559351495146776,9.633808552938723,9.369074956963058,9.381484031677246,58653,0.0,0.0
2003-01-31,9.389754812681396,9.493166063685617,9.389754812681396,9.431118965148926,96689,0.0,0.0
2003-02-03,9.493167654117034,9.555214763048745,9.43112054518532,9.546941757202148,58984,0.0,0.0
2003-02-04,9.55520837414282,9.559344439382846,9.364931106567383,9.364931106567383,79931,0.0,0.0
2003-02-05,9.327708226353193,9.426983415496277,9.307026148983722,9.323572158813477,45423,0.0,0.0
2003-02-06,9.307023170828105,9.381479321401324,9.307023170828105,9.315296173095703,45864,0.0,0.0
2003-02-07,9.369070474473922,9.381479543251181,9.265658378601074,9.265658378601074,32855,0.0,0.0
2003-02-10,9.269794074345812,9.307022145531237,9.216020000447962,9.240839004516602,60086,0.0,0.0
2003-02-11,9.224293269128538,9.278067344584786,9.120882053931576,9.125018119812012,58543,0.0,0.0
2003-02-12,9.100200916785708,9.224294213763097,9.100200916785708,9.120882987976074,52038,0.0,0.0
2003-02-13,9.038154214629497,9.182929588904212,9.038154214629497,9.1498384475708,53582,0.0,0.0
2003-02-14,9.244980666276296,9.244980666276296,9.137433323217117,9.162251472473145,95477,0.0,0.0
2003-02-18,9.199481847049297,9.286347122440025,9.162252877783864,9.191208839416504,89744,0.0,0.0
2003-02-19,9.232567992650948,9.232567992650948,9.141565827957969,9.178793907165527,46636,0.0,0.0
2003-02-20,9.149838061609627,9.182929201547177,9.120882987976074,9.120882987976074,41675,0.0,0.0
2003-02-21,9.10433991630823,9.278071283917159,9.100203848671681,9.269798278808594,110581,0.0,0.0
2003-02-24,9.298754118308477,9.298754118308477,9.042293548583984,9.042293548583984,83018,0.0,0.0
2003-02-25,9.038156850044734,9.08779488127152,8.996792693857886,9.058839797973633,89082,0.0,0.0
2003-02-26,9.083654192598782,9.083654192598782,8.95542396963628,8.99678897857666,47959,0.0,0.0
2003-02-27,9.009306227646144,9.096937821854729,9.009306227646144,9.055209159851074,64276,0.172336,0.0
2003-02-28,9.076075360082962,9.213780675056075,9.055211024784096,9.130322456359863,80042,0.0,0.0
2003-03-03,9.347314808599496,9.347314808599496,9.055212317706854,9.096940994262695,71001,0.0,0.0
2003-03-04,9.08024666078928,9.163704868314959,9.08024666078928,9.113630294799805,75742,0.0,0.0
2003-03-05,9.096942603016892,9.213783620036768,9.096942603016892,9.180400848388672,67253,0.0,0.0
2003-03-06,9.138670090315772,9.138670090315772,9.08442211151123,9.08442211151123,25468,0.0,0.0
2003-03-07,9.07607661309713,9.13867050513599,9.07607661309713,9.121977806091309,56448,0.0,0.0
2003-03-10,9.10528815948011,9.10528815948011,8.875777774301456,8.888297080993652,103856,0.0,0.0
2003-03-11,8.892468419515296,8.92585206293478,8.846566348563945,8.867430686950684,70450,0.0,0.0
2003-03-12,8.867431686682826,8.909161245661856,8.804838664465748,8.842394828796387,88862,0.0,0.0
2003-03-13,8.763108059117119,8.988445018194312,8.763108059117119,8.97175407409668,68796,0.0,0.0
2003-03-14,9.005136033444202,9.096940166514669,8.938369630529532,8.9926176071167,76293,0.0,0.0
2003-03-17,9.096942603016892,9.180400848388672,8.992620015677423,9.180400848388672,72986,0.0,0.0
2003-03-18,9.180397106187032,9.180397106187032,8.97175201655801,9.051036834716797,90405,0.0,0.0
2003-03-19,9.063558446550973,9.117806434631348,8.971755171531466,9.117806434631348,47187,0.0,0.0
2003-03-20,9.076077622472049,9.172054290771484,8.992619382972247,9.172054290771484,43218,0.0,0.0
2003-03-21,9.180401444020477,9.2179576129994,9.076078849912475,9.213784217834473,112786,0.0,0.0
2003-03-24,9.159536144159144,9.167882056116342,9.013484001159668,9.013484001159668,64827,0.0,0.0
2003-03-25,8.97175156577547,9.101110953245417,8.97175156577547,9.088592529296875,46636,0.0,0.0
2003-03-26,9.109459857574679,9.113633251930464,9.034347534179688,9.034347534179688,43880,0.0,0.0
2003-03-27,9.013485071249956,9.080251497333128,9.005139158301924,9.00931167602539,33185,0.0,0.0
2003-03-28,8.984270592886952,9.092765655226316,8.984270592886952,9.071901321411133,55897,0.0,0.0
2003-03-31,9.03434574659943,9.046864172188,8.930023193359375,8.930023193359375,71442,0.0,0.0
2003-04-01,8.980101166241312,9.067732810974121,8.925854049860375,9.067732810974121,77616,0.0,0.0
2003-04-02,9.117803801701433,9.180397683526833,9.092766073471129,9.13866901397705,103304,0.0,0.0
2003-04-03,9.092764429154023,9.134493968658246,9.034343951348678,9.055209159851074,54794,0.0,0.0
2003-04-04,9.071903261828666,9.096940994262695,9.071903261828666,9.096940994262695,25468,0.0,0.0
2003-04-07,9.117805768785335,9.163707841693487,9.013483194903504,9.034347534179688,84121,0.0,0.0
2003-04-08,8.971754021505603,9.080249106258155,8.971754021505603,9.046865463256836,52810,0.0,0.0
2003-04-09,9.046864706203072,9.092766772738305,8.942542146805103,8.9926176071167,67694,0.0,0.0
2003-04-10,9.021828674461482,9.138670548319412,9.013482763650138,9.096940994262695,91728,0.0,0.0
2003-04-11,9.096942093831505,9.138671652932171,9.055213412231819,9.117806434631348,36383,0.0,0.0
2003-04-14,9.07607513215165,9.151186561841113,9.034345585101143,9.13866901397705,66701,0.0,0.0
2003-04-15,9.101115120410018,9.20126519035636,9.084424173336485,9.180400848388672,85113,0.0,0.0
2003-04-16,9.222128673718547,9.222128673718547,9.08024993304613,9.101114273071289,69788,0.0,0.0
2003-04-17,9.105287874671836,9.259685047370843,9.105287874671836,9.172054290771484,41234,0.0,0.0
