,open,high,low,close,volume,dividends,stock_splits
2015-01-02,66.8125583231247,66.93024056043824,66.13590229276566,66.51836395263672,7251400,0.0,0.0
2015-01-05,66.36387469814547,66.93020473069916,66.0843823398454,66.20206451416016,8626100,0.0,0.0
2015-01-06,66.422714754205,66.60658895570498,65.65044647474228,65.9005126953125,7791200,0.0,0.0
2015-01-07,66.15059561022126,66.46685951424422,65.87110318582182,66.24620819091797,5986600,0.0,0.0
2015-01-08,66.54774168508189,67.09936419184639,66.29031335947634,67.00374603271484,6823300,0.0,0.0
2015-01-09,67.0626134759491,67.0626134759491,66.28298848889604,66.37860107421875,4872800,0.0,0.0
2015-01-12,66.54777694777324,66.65074608801957,65.83434389649703,66.13589477539062,5250900,0.0,0.0
2015-01-13,66.7684101384545,67.29796882374342,66.02555667095776,66.41537475585938,6727100,0.0,0.0
2015-01-14,65.99611470021578,66.31237847375677,65.77546346792433,66.18733978271484,6418200,0.0,0.0
2015-01-15,66.5551044371485,66.56246097640287,65.70928198754498,66.09174346923828,6768200,0.0,0.0
2015-01-16,66.15794178202289,67.18028199122071,66.09910629657671,67.11408996582031,8815700,0.0,0.0
2015-01-20,67.11412010217816,67.51128926710953,66.56249719722875,67.06999206542969,9869900,0.0,0.0
2015-01-21,66.96181906027121,67.54699491724116,66.39145527821525,67.20626068115234,6974500,0.644,0.0
2015-01-22,67.43588538853254,67.91735977298704,66.56923488729849,67.86550903320312,7211200,0.0,0.0
2015-01-23,67.53217572203152,67.5469934479299,66.62848658665453,66.72478485107422,6745700,0.0,0.0
2015-01-26,66.62850462066584,66.62850462066584,65.73222410564617,66.35443878173828,9371700,0.0,0.0
2015-01-27,64.51741925926729,64.59889980600846,63.717431519248734,64.0655746459961,14417400,0.0,0.0
2015-01-28,64.16924917026228,64.3766577074694,62.969273715740236,63.072975158691406,14033400,0.0,0.0
2015-01-29,63.53966384235897,63.784105503713235,63.07300711266165,63.45818328857422,12054500,0.0,0.0
2015-01-30,63.028541675577394,63.12483993068411,62.40633287937727,62.43596267700195,14685300,0.0,0.0
2015-02-02,62.65079116712868,63.065597141803856,61.98413467118103,63.050785064697266,10278700,0.0,0.0
2015-02-03,63.66558074951172,63.70261941667218,63.050780694321,63.66558074951172,10747900,0.0,0.0
2015-02-04,63.62112213960946,64.05815456168708,63.369277353328485,63.54705047607422,9212800,0.0,0.0
2015-02-05,63.88039608949813,64.28038998127755,63.77669459733022,64.22113037109375,6531300,0.0,0.0
2015-02-06,64.117431599471,64.15447027023433,63.073007769376474,63.41374206542969,8429800,0.0,0.0
2015-02-09,63.191513309892535,63.28040271763931,62.65818816602589,62.99892807006836,8811500,0.0,0.0
2015-02-10,63.20633250429323,63.38410567260712,62.82855957673247,63.25077438354492,7059300,0.0,0.0
2015-02-11,63.66559809639392,63.85078018003824,63.073018819517316,63.43597412109375,7184600,0.0,0.0
2015-02-12,63.74705537984976,63.81372384428966,63.26558665929184,63.72483444213867,6074600,0.0,0.0
2015-02-13,63.72484029114554,63.81372970145527,63.33225528539842,63.62854766845703,6272000,0.0,0.0
2015-02-17,63.747036115002,63.747036115002,62.961866412859216,63.32482147216797,10310400,0.0,0.0
2015-02-18,63.524838614840974,63.99149524793663,63.34705981539898,63.89520263671875,8132300,0.0,0.0
2015-02-19,63.784103384913365,63.924843546104185,62.998933330496115,63.11744689941406,7271600,0.0,0.0
2015-02-20,62.92484690679282,62.99892423439179,62.361897645925964,62.86559295654297,9581300,0.0,0.0
2015-02-23,62.932261062524496,63.332254929711105,62.70263715131458,63.25077438354492,7919200,0.0,0.0
