,open,high,low,close,volume,dividends,stock_splits
2015-01-02,47.26918000516228,47.3792444631549,46.70727849579909,46.933197021484375,3787700,0.0,0.0
2015-01-05,46.915812499420895,46.973739524804756,46.26122871544065,46.579833984375,6213400,0.0,0.0
2015-01-06,46.89843542869398,47.52985194616955,46.689894599027625,46.97953414916992,10001900,0.0,0.0
2015-01-07,47.38503842504873,47.52985821923341,46.93319695477103,47.33290100097656,7525100,0.0,0.0
2015-01-08,47.68624794944472,48.41614073987064,47.680453921868455,48.04540252685547,6594500,0.0,0.0
2015-01-09,48.39297744404922,48.4566984997978,47.77314897230757,47.91796875,4301300,0.0,0.0
2015-01-12,48.143890008454406,48.46828491481881,47.87162810366323,48.109134674072266,3997200,0.0,0.0
2015-01-13,48.26556092296352,48.647887460164625,47.8890284174158,48.138118743896484,5810200,0.0,0.0
2015-01-14,47.651513239549,48.346646584815424,47.64571920946594,48.3234748840332,4629200,0.0,0.0
2015-01-15,47.912173873357816,48.323461504378535,47.83107515284944,47.975894927978516,5088100,0.0,0.0
2015-01-16,47.993276270047296,48.196023086848214,47.61095433258688,47.9063835144043,7302300,0.0,0.0
2015-01-20,48.20181807518921,48.65365511006731,48.016448921917444,48.41615295410156,6172300,0.0,0.0
2015-01-21,48.1265129864592,49.012809381478945,47.91797213827229,48.97805404663086,4518500,0.0,0.0
2015-01-22,49.26190580043333,49.40672560661304,48.90854511979089,49.3314208984375,6069700,0.0,0.0
2015-01-23,49.01280504824856,49.09390376875694,47.90637984487899,47.975894927978516,6649300,0.0,0.0
2015-01-26,48.051203224036506,48.317675519463414,47.790529377072126,48.109134674072266,4658500,0.0,0.0
2015-01-27,47.807917829449366,47.917982305888245,47.14174577969584,47.269187927246094,8541900,0.0,0.0
2015-01-28,47.51826719501214,47.67467503791743,46.56824975801762,46.678314208984375,5878700,0.0,0.0
2015-01-29,46.63776174531592,47.21124681889385,46.527697301666564,47.049049377441406,4108200,0.0,0.0
2015-01-30,46.64934522915934,47.03167155665165,46.40025503930644,46.481353759765625,6692900,0.0,0.0
2015-02-02,46.481366064470876,47.32711324425498,46.377095622056395,47.286563873291016,4129600,0.0,0.0
2015-02-03,47.500901120205555,47.75578541852125,47.39083664237828,47.63992691040039,4103200,0.0,0.0
2015-02-04,47.524061885251236,47.84845679423718,47.413997432752794,47.54723358154297,5151100,0.0,0.0
2015-02-05,47.744177206760405,48.21918584069566,47.101177121615954,47.83106994628906,6317100,0.0,0.0
2015-02-06,47.6862592464876,47.6862592464876,46.88685561395737,47.0780143737793,5942900,0.0,0.0
2015-02-09,46.8115435041222,47.199663867005,46.666723726500685,46.8231315612793,4357200,0.0,0.0
2015-02-10,46.87526594646846,47.043257423824684,46.64934744025986,46.967952728271484,6732200,0.0,0.0
2015-02-11,47.130159213868644,47.923773361920084,47.01430513394939,47.778953552246094,5670500,0.0,0.0
2015-02-12,47.91217060346841,48.49724369253373,47.83686591657822,48.47986602783203,5324600,0.0,0.0
2015-02-13,48.54938698120255,48.57835270821303,47.88321945545591,48.00486755371094,4924700,0.0,0.0
2015-02-17,47.96430782359948,47.99326912480263,47.67466829427714,47.91217041015625,4391000,0.0,0.0
2015-02-18,47.697843315539856,48.08596370673558,47.639916284175314,48.080169677734375,2487300,0.0,0.0
