,open,high,low,close,volume,dividends,stock_splits
2003-01-02,18.447686258848737,18.984708786010742,18.417852938558806,18.984708786010742,307500,0.0,0.0
2003-01-03,18.895205782472843,18.895205782472843,18.388018452271236,18.457632064819336,196100,0.0,0.0
2003-01-06,18.66647258255261,18.82558993428903,18.437741626535065,18.596858978271484,618200,0.0,0.0
2003-01-07,19.680847255670642,19.83996460848378,19.223383443711512,19.31288719177246,1203200,0.0,0.0
2003-01-08,19.183606911072918,19.203495159478575,18.57697075922704,18.83553695678711,504300,0.0,0.0
2003-01-09,18.895202823714282,19.34272154405992,18.815644150855988,19.004596710205078,403600,0.0,0.0
2003-01-10,19.143826810577053,19.442171404737696,18.805701925553034,19.18360710144043,283000,0.0,0.0
2003-01-13,19.531675042910344,19.889690071176695,19.193550159954047,19.790241241455078,354300,0.0,0.0
2003-01-14,19.641067595965644,20.95378674698825,19.641067595965644,20.23775863647461,499100,0.0,0.0
2003-01-15,20.227814154380816,20.28748269112319,19.17366115339879,19.8399658203125,265700,0.0,0.0
2003-01-16,19.69079039858237,21.371469568879203,19.561508260941906,20.884172439575195,674900,0.0,0.0
2003-01-17,21.013456049542867,21.27202223976894,20.436655131908886,21.152685165405273,327200,0.0,0.0
2003-01-21,21.172575915109036,21.18251909089965,20.615663229402106,20.754892349243164,447900,0.0,0.0
2003-01-22,20.75489221282017,21.16263070338669,20.337208649699754,21.00351333618164,458400,0.0,0.0
2003-01-23,21.03334681409417,21.31180315719687,20.565939781542262,20.993568420410156,396600,0.0,0.0
2003-01-24,21.182519060637162,21.351581501265834,20.20792470728537,20.51621437072754,398000,0.0,0.0
2003-01-27,20.47643609835568,20.47643609835568,19.790241259173698,20.02891731262207,458500,0.0,0.0
2003-01-28,19.899633178791756,20.43665377133316,19.77034914387154,20.396875381469727,363300,0.0,0.0
2003-01-29,19.929468546213904,20.416765680945325,19.700735689643253,20.386930465698242,518800,0.0,0.0
2003-01-30,20.28748291759577,20.426712033986995,18.795756204583896,18.984708786010742,961100,0.0,0.0
2003-01-31,18.97476367053034,19.3924472250979,18.49741157868987,18.626693725585938,1506000,0.0,0.0
2003-02-03,18.49740971428385,18.925038298099775,18.169229947118115,18.746030807495117,213700,0.0,0.0
2003-02-04,18.755977943957976,18.805701409343637,18.000169509758514,18.736087799072266,374000,0.0,0.0
2003-02-05,18.606800489747975,18.805698110053054,18.000166351791233,18.33829116821289,364200,0.0,0.0
2003-02-06,18.348239670600872,18.38801806400471,17.61231947592916,17.642154693603516,627700,0.0,0.0
2003-02-07,17.622264087419737,18.030002567491394,17.254305896539748,17.79132652282715,464100,0.0,0.0
2003-02-10,17.920610673081104,18.149341646815806,17.194637462447336,17.30402946472168,396400,0.0,0.0
2003-02-11,17.304029621397653,17.79132679035144,17.294084548950195,17.294084548950195,443100,0.0,0.0
2003-02-12,17.363698612101658,17.562596272580883,16.90623664855957,16.90623664855957,416700,0.0,0.0
2003-02-13,16.677503171867265,17.3338626976985,16.279709807246572,16.946014404296875,552500,0.0,0.0
2003-02-14,17.10513416919908,17.5327609111247,16.806787680919314,17.154857635498047,380500,0.0,0.0
2003-02-18,17.453203043974355,17.572542024238526,16.995741062757293,17.46314811706543,309200,0.0,0.0
2003-02-19,17.45320368486811,17.632211213423282,17.194639362320434,17.423370361328125,251800,0.0,0.0
2003-02-20,17.49298219793041,17.642154490931237,16.975849811820833,17.174747467041016,300900,0.0,0.0
2003-02-21,17.194635904984484,17.4929804613689,17.14491054770146,17.40347671508789,328300,0.0,0.0
2003-02-24,17.4034777985604,17.4034777985604,17.075298007374972,17.21452522277832,261900,0.0,0.0
2003-02-25,17.105135131819907,17.582487263736958,16.56811256079165,17.572542190551758,354300,0.0,0.0
2003-02-26,18.039947353397075,18.41785250740416,17.701822487950132,18.04989242553711,593500,0.0,0.0
2003-02-27,18.149341454377048,18.39796257019043,17.502926932627965,18.39796257019043,531800,0.0,0.0
2003-02-28,18.36812989605832,18.49741395640154,18.00017165594359,18.238847732543945,455800,0.0,0.0
2003-03-03,18.099616430668263,18.785809285481278,17.612317416445567,17.652097702026367,434400,0.0,0.0
2003-03-04,17.652099517054356,18.49741170427902,17.58248590695855,18.25873565673828,397900,0.0,0.0
2003-03-05,18.238845805409934,18.34823970693725,17.870885707345376,18.00016975402832,224800,0.0,0.0
2003-03-06,18.079727525082742,18.079727525082742,17.0056843996733,17.21452522277832,604000,0.0,0.0
2003-03-07,16.936069633027753,17.751546519149947,16.906234418842153,17.652097702026367,529800,0.0,0.0
2003-03-10,17.52281550214618,19.283051402301695,17.32391786864136,18.865367889404297,1712900,0.0,0.0
2003-03-11,18.98470985223001,18.99465492516139,17.950445029311002,18.199066162109375,956000,0.0,0.0
2003-03-12,18.179175623237125,18.83553517940387,17.78138034340282,18.70625114440918,640600,0.0,0.0
2003-03-13,18.815646420113477,19.79024075437543,18.765922954890797,19.70073699951172,733400,0.0,0.0
2003-03-14,19.84990897667707,20.595772324140302,19.193549382655714,19.720626831054688,841200,0.0,0.0
2003-03-17,19.889688234587794,20.337206978597415,19.41233617219652,20.26759147644043,696200,0.0,0.0
2003-03-18,20.595772112828357,20.655442545729777,19.999082958442646,20.575883865356445,864000,0.0,0.0
2003-03-19,20.536104045664676,20.7350016995538,19.999083415089817,20.546049118041992,459000,0.0,0.0
2003-03-20,20.45654499443055,20.575883963976825,19.88968915695005,20.088586807250977,391600,0.0,0.0
2003-03-21,20.188033443405782,20.6852756651333,20.088586516523115,20.347150802612305,657000,0.0,0.0
2003-03-24,20.2178700051155,20.23776015054719,18.89520568316696,19.18360710144043,891100,0.0,0.0
2003-03-25,19.23332965296347,19.929469535317033,19.123935755123416,19.601287841796875,567600,0.0,0.0
2003-03-26,19.710681290305573,20.57588358740278,19.571454075740164,19.75046157836914,614300,0.0,0.0
2003-03-27,19.7206267744891,19.7206267744891,19.11399064664057,19.243274688720703,678600,0.0,0.0
2003-03-28,20.018971055968056,20.108474807821224,16.786896607663984,17.21452522277832,4518900,0.0,0.0
2003-03-31,8.6022903539572,8.761408667079744,7.359185230863352,7.478523254394531,28330500,0.0,0.0
2003-04-01,7.48846825332878,7.617750873782357,6.762494572658679,6.8519978523254395,6709700,0.0,0.0
2003-04-02,6.881832393483107,7.110563833412416,5.956961561756832,6.563597202301025,3973200,0.0,0.0
2003-04-03,6.593432128823914,7.011115680761306,6.513873447351487,6.7624945640563965,2467400,0.0,0.0
2003-04-04,6.9912264980834955,7.011116169839055,6.623266859294863,6.6729912757873535,1152800,0.0,0.0
2003-04-07,6.9415017253219276,6.981281066791393,6.354755727336576,6.424369812011719,1422700,0.0,0.0
2003-04-08,6.424369364409097,6.663045396596708,6.225472670919422,6.603376388549805,1217500,0.0,0.0
2003-04-09,6.5635975071548485,6.702825202297978,6.374645398071309,6.424369812011719,727600,0.0,0.0
2003-04-10,6.424369806371786,6.533763232420358,6.3348660510404855,6.364700794219971,528400,0.0,0.0
2003-04-11,6.354755365677711,6.454203713691617,6.046465249731037,6.116079330444336,728800,0.0,0.0
2003-04-14,6.464149143586974,6.6531012523812985,6.145913938111193,6.334866046905518,1262400,0.0,0.0
2003-04-15,6.344810637981592,6.4442589839579085,6.1658031410171015,6.3050312995910645,567500,0.0,0.0
2003-04-16,6.41442436836623,6.424369440261697,6.0663549135460775,6.086244583129883,502900,0.0,0.0
2003-04-17,6.116079636016714,6.1260242342113935,5.966906869439301,6.006686210632324,586900,0.0,0.0
2003-04-21,6.006685729720449,6.1260237437449865,5.917181982098488,5.976851463317871,881700,0.0,0.0
2003-04-22,5.867457702964646,5.966906042159216,5.738174624908162,5.847568035125732,1086300,0.0,0.0
2003-04-23,5.837623790451804,6.305031762141186,5.837623790451804,6.185693264007568,745100,0.0,0.0
2003-04-24,6.2155275957777185,6.633211126087121,6.2155275957777185,6.57354211807251,1217400,0.0,0.0
2003-04-25,6.533763074101959,6.762494518911812,6.324921299527435,6.40447998046875,783600,0.0,0.0
2003-04-28,6.4542039044007815,6.563597327552006,6.165803449535217,6.285141944885254,489900,0.0,0.0
2003-04-29,6.235417374755785,6.464148813270567,6.165803293744458,6.29508638381958,608300,0.0,0.0
2003-04-30,6.364700464830907,6.444259143582634,6.185692963432389,6.29508638381958,421400,0.0,0.0
2003-05-01,6.364700464830907,6.424369473894703,6.235417374755785,6.29508638381958,364900,0.0,0.0
2003-05-02,6.364700653823968,6.7227151930447375,6.295086570745525,6.523818016052246,720600,0.0,0.0
2003-05-05,6.464149003063515,6.643156035510701,6.414424590280168,6.493983745574951,536800,0.0,0.0
2003-05-06,6.454203962040019,6.80227390479261,6.384590352855219,6.7624945640563965,999600,0.0,0.0
2003-05-07,6.812218479392394,6.8619428922448416,6.513873424899141,6.583487033843994,673100,0.0,0.0
2003-05-08,6.563597675077199,6.613322090289753,6.454204246133881,6.5039286613464355,336400,0.0,0.0
2003-05-09,6.563597199423485,6.633211280834803,6.26525215239027,6.5337629318237305,587400,0.0,0.0
2003-05-12,6.26525245683342,6.613321932389241,6.26525245683342,6.543707847595215,456500,0.0,0.0
2003-05-13,6.5437075407486285,6.722715043480088,6.513873273098142,6.623266220092773,549700,0.0,0.0
2003-05-14,6.742604783627632,7.180177524583411,6.663045629246715,7.130453586578369,779900,0.0,0.0
2003-05-15,7.259736369166196,7.259736369166196,7.011115267129094,7.210011959075928,954000,0.0,0.0
2003-05-16,7.210012577424408,7.219957649978223,7.011115868419702,7.021060466766357,627300,0.0,0.0
2003-05-19,8.95035996194467,9.93489933013916,8.35366891844932,9.93489933013916,7222100,0.0,0.0
2003-05-20,10.839880018989504,10.839880018989504,9.50727166576795,9.93489933013916,6910300,0.0,0.0
2003-05-21,9.815561650332707,10.193465864484281,9.447602508546407,10.1536865234375,1491900,0.0,0.0
2003-05-22,10.233245238562734,10.770266818634871,9.944844777939073,10.452032089233398,1771500,0.0,0.0
2003-05-23,10.57136943114976,11.178004582060936,10.461976487074898,11.15811538696289,1339600,0.0,0.0
2003-05-27,11.187949201087694,13.813388288372051,11.138224792733352,13.544877052307129,3609000,0.0,0.0
2003-05-28,13.703995331861444,14.2211276964368,12.659786479095258,13.306201934814453,2215600,0.0,0.0
2003-05-29,13.345982208041033,13.773610851088925,12.600118825095734,13.007857322692871,1479200,0.0,0.0
2003-05-30,13.415595866730184,13.922783196508137,13.306202911615355,13.664216995239258,1242200,0.0,0.0
2003-06-02,14.877487171333593,15.41450872778435,14.469748705119128,14.817817687988281,2615200,0.0,0.0
2003-06-03,14.608974888428401,14.658699296306375,13.584656259164596,13.67416000366211,2482500,0.0,0.0
2003-06-04,13.664216603068121,14.569197333121371,13.067526480820309,14.529417991638184,1663900,0.0,0.0
2003-06-05,14.489637693545642,15.474177989979992,14.241016588586167,15.434398651123047,1695300,0.0,0.0
2003-06-06,16.011200881578095,16.757064259010345,15.434399945570298,15.772523880004883,2022700,0.0,0.0
2003-06-09,16.896291831673523,17.095189495164192,15.344896505663897,15.871973037719727,2721500,0.0,0.0
2003-06-10,17.005685478799183,17.055408945504656,15.941587357941255,16.90623664855957,3189700,0.0,0.0
2003-06-11,17.005683671284636,17.751546973561783,16.528331613066097,17.502925872802734,2035600,0.0,0.0
2003-06-12,17.50292648674727,18.636638138990264,17.433312879585475,18.427797317504883,1707000,0.0,0.0
2003-06-13,18.626693289558556,18.676418650145806,17.5228168401214,17.691879272460938,1064300,0.0,0.0
2003-06-16,17.662042381918237,18.47751924996427,17.652097310743486,18.039945602416992,1180800,0.0,0.0
2003-06-17,18.238844146666572,18.298512679878222,17.552649375832953,17.741601943969727,579800,0.0,0.0
2003-06-18,17.771437493037503,17.850996171091314,16.65761410345563,16.876399993896484,1259500,0.0,0.0
