,open,high,low,close,volume,dividends,stock_splits
2003-01-02,4.278787906746419,4.36380379309242,4.272787045702228,4.323796272277832,10967200,0.0,0.0
2003-01-03,4.326797992788326,4.339800498160624,4.251784155051399,4.28579044342041,7526400,0.0,0.0
2003-01-06,4.287787895049388,4.349799566099713,4.277786209545707,4.298789978027344,8181600,0.0,0.0
2003-01-07,4.281790024906329,4.420815610757765,4.243782906692951,4.397811412811279,11232000,0.0,0.0
2003-01-08,4.372809582645529,4.4948319110726125,4.340803688480358,4.437821388244629,19599200,0.0,0.0
2003-01-09,4.550837475733227,4.645855037798282,4.539835390020229,4.601846694946289,16095200,0.0,0.0
2003-01-10,4.5608404581653605,4.720870182204526,4.534835833086772,4.686863899230957,12156000,0.0,0.0
2003-01-13,4.725869502570161,4.777879117483766,4.658857356254891,4.6888628005981445,10185600,0.0,0.0
2003-01-14,4.677862872416726,4.741874618277396,4.655858691699582,4.683864116668701,9478400,0.0,0.0
2003-01-15,4.682862293116341,4.737872346624699,4.602847635146004,4.611849308013916,11822400,0.0,0.0
2003-01-16,4.597848213848797,4.625853257422523,4.529835638135377,4.580844879150391,8400000,0.0,0.0
2003-01-17,4.563842873374588,4.58084583006244,4.45982357345068,4.469825267791748,7052800,0.0,0.0
2003-01-21,4.479826625777742,4.535836715576359,4.39081026317055,4.4158148765563965,12656000,0.0,0.0
2003-01-22,4.384810587655627,4.384810587655627,4.293793777623475,4.310796737670898,18325600,0.0,0.0
2003-01-23,4.350800871788658,4.360802560257246,4.26078414941153,4.332797527313232,17081600,0.0,0.0
2003-01-24,4.3418009525218,4.3418009525218,4.181771583173933,4.18477201461792,20706400,0.0,0.0
2003-01-27,4.119758391141615,4.120758788957557,3.8417073185459176,3.8697123527526855,40326400,0.0,0.0
2003-01-28,3.895716883938259,3.945726085576645,3.782695981404326,3.9067189693450928,21108800,0.0,0.0
2003-01-29,3.8777154114299024,3.9527292500740554,3.800701157970425,3.9107213020324707,19004000,0.0,0.0
2003-01-30,3.940726789496056,3.9957368565962637,3.8427083800315875,3.8627121448516846,16460000,0.0,0.0
2003-01-31,3.850711034396132,3.9577307650886024,3.8157047230631473,3.9017202854156494,15460000,0.0,0.0
2003-02-03,3.9227251209988934,4.000739417548206,3.9087225940839136,3.949730157852173,10517600,0.0,0.0
2003-02-04,3.903719788928986,3.9457277342585835,3.8507101351355333,3.885716438293457,15709600,0.0,0.0
2003-02-05,3.900718482573918,3.9347247615297527,3.775695454286293,3.8177030086517334,18621600,0.0,0.0
2003-02-06,3.8197031450748997,3.9567286488208158,3.812701886523208,3.8697123527526855,28266400,0.0,0.0
2003-02-07,3.910720369459074,3.9207224411505432,3.6136658987128625,3.677677631378174,29280000,0.0,0.0
2003-02-10,3.666677516063521,3.7356901309352897,3.613667842968115,3.68168044090271,16652000,0.0,0.0
2003-02-11,3.684679873607931,3.748691623347115,3.6266689869442175,3.6666765213012695,13520000,0.0,0.0
2003-02-12,3.6256676898180986,3.693680245281334,3.620666845174623,3.6436710357666016,10477600,0.0,0.0
2003-02-13,3.6456715599721474,3.670676165484247,3.5506539827181682,3.5946619510650635,15914400,0.0,0.0
2003-02-14,3.587660533869207,3.660673932960665,3.5136471184789557,3.6286680698394775,10227200,0.0,0.0
2003-02-18,3.6416707904921153,3.6936804165843022,3.612665356058779,3.669675827026367,13104800,0.0,0.0
2003-02-19,3.6566751566456657,3.7006831431557634,3.5106479102154853,3.5486550331115723,16009600,0.0,0.0
2003-02-20,3.570657708608035,3.586660640718088,3.4666384591226924,3.4796409606933594,15648000,0.0,0.0
2003-02-21,3.4816414766655113,3.520648600977666,3.4596373012935233,3.502645254135132,15560000,0.0,0.0
2003-02-24,3.4986434001335978,3.522647982734435,3.4006254191316496,3.4216291904449463,10320800,0.0,0.0
2003-02-25,3.4246320951792377,3.504646783527791,3.3266136727196143,3.4746413230895996,12487200,0.0,0.0
2003-02-26,3.465421509112153,3.4874624735207207,3.3762563453544523,3.3832693099975586,10753600,0.00725,0.0
2003-02-27,3.3562210659408636,3.4263511347991344,3.3111374229478234,3.3782620429992676,17332000,0.0,0.0
2003-02-28,3.399299847597559,3.470431582284698,3.385273914806067,3.427351713180542,9560800,0.0,0.0
2003-03-03,3.4283560077783637,3.478448875771954,3.4173355156712533,3.440378189086914,9472000,0.0,0.0
2003-03-04,3.4363697358024816,3.4664253720103337,3.3231597778354844,3.337186098098755,8030400,0.0,0.0
2003-03-05,3.315144781256695,3.3612301108801557,3.276072419959495,3.3522133827209473,14132800,0.0,0.0
2003-03-06,3.3532158525309317,3.456407012042734,3.2911004368563845,3.3031229972839355,15108000,0.0,0.0
2003-03-07,3.287093584391589,3.4564073122479946,3.2640509148379846,3.4193387031555176,9684800,0.0,0.0
2003-03-10,3.415330277683648,3.4634193642936864,3.379263367181597,3.384272575378418,7866400,0.0,0.0
2003-03-11,3.3982977867126465,3.4864612844577216,3.3872776839002676,3.3982977867126465,10024000,0.0,0.0
2003-03-12,3.3872790322040105,3.406314179741961,3.2860912499036714,3.349208354949951,8994400,0.0,0.0
2003-03-13,3.406312133932297,3.601674229814,3.379261962301483,3.5886499881744385,11788800,0.0,0.0
2003-03-14,3.6026765347329683,3.690840029709464,3.55358577136212,3.618706226348877,15210400,0.0,0.0
