,open,high,low,close,volume,dividends,stock_splits
2003-01-02,13.298467026234064,13.571981265411445,13.112980082589184,13.54997444152832,4436400,0.0,0.0
2003-01-03,13.47138649387986,13.62229223413368,13.38964698391817,13.455667495727539,3601400,0.0,0.0
2003-01-06,13.34877832082612,13.408512200370062,13.20101828033121,13.329916000366211,5618200,0.0,0.0
2003-01-07,13.333051427196489,13.333051427196489,12.751440371208789,12.795454025268555,6014200,0.0,0.0
2003-01-08,12.732579014820518,12.962079677840439,12.729435695834416,12.921209335327148,7475000,0.0,0.0
2003-01-09,12.96837395224608,13.22931393106223,12.940079270197135,13.153861045837402,6149800,0.0,0.0
2003-01-10,13.156997530744848,13.29847086748795,12.984086207739855,13.131847381591797,4993200,0.0,0.0
2003-01-13,13.084687651762344,13.08783216958514,12.892912840165224,12.965222358703613,4892800,0.0,0.0
2003-01-14,12.9526454249327,13.094118731130962,12.735719289001352,12.848897933959961,6202000,0.0,0.0
2003-01-15,12.874050941340485,13.116127252290802,12.848899595083841,12.984085083007812,8168400,0.0,0.0
2003-01-16,13.078405044209251,13.204159423190792,13.059542726859869,13.163289070129395,6323400,0.0,0.0
2003-01-17,13.006096947697804,13.10355665325837,12.751446064292791,12.798603057861328,5805200,0.0,0.0
2003-01-21,12.80174663699938,12.80174663699938,12.10381215003229,12.182408332824707,8807600,0.0,0.0
2003-01-22,11.600792791103594,12.194979522484807,11.198379667771142,11.965478897094727,21398000,0.0,0.0
2003-01-23,11.968622496767713,12.238993464322176,11.72025835687167,12.088088989257812,10236000,0.0,0.0
2003-01-24,12.091236505723137,12.138394695239409,11.663673078288541,11.745413780212402,7255600,0.0,0.0
2003-01-27,11.742263246481844,11.742263246481844,11.22981725926346,11.339851379394531,11034800,0.0,0.0
2003-01-28,11.365005651261846,11.632232125790061,11.365005651261846,11.51905345916748,6152400,0.0,0.0
2003-01-29,11.522202176159409,11.98749148683595,11.317851598146458,11.839730262756348,7491600,0.0,0.0
2003-01-30,12.040933098130012,12.128961624729143,11.647952245062568,11.666815757751465,6786000,0.0,0.0
2003-01-31,11.600794116332544,11.952904590100283,11.54420478313816,11.852301597595215,6071600,0.0,0.0
2003-02-03,11.855443262089821,12.006347729789876,11.723402302583063,11.84915542602539,5149000,0.0,0.0
2003-02-04,11.852307713406868,12.069232803064223,11.632238104014872,12.044082641601562,6064800,0.0,0.0
2003-02-05,12.216986780787112,12.32702092037727,11.937184655015988,11.98119831085205,6395200,0.0,0.0
2003-02-06,11.962335389814113,12.106952037325364,11.817718742302862,12.01578140258789,5467800,0.0,0.0
2003-02-07,11.993774170970276,12.084944802647255,11.742265506354327,11.795711517333984,4623800,0.0,0.0
2003-02-10,11.899458914418245,12.283008583811833,11.833438423573144,12.279865264892578,6347200,0.0,0.0
2003-02-11,12.283010327668775,12.418195846753244,12.138393651205265,12.261003494262695,7993000,0.0,0.0
2003-02-12,12.182406156158024,12.286153674562772,12.02521381865921,12.062939643859863,5832400,0.0,0.0
2003-02-13,11.993774619200806,12.135246749231623,11.81457546849835,11.937185287475586,5408000,0.0,0.0
2003-02-14,12.264150065678567,12.264150065678567,11.94662195713391,12.223280906677246,4011600,0.0,0.0
2003-02-18,12.238437337522685,12.623849344710132,12.194208623810738,12.519598960876465,6291600,0.094,0.0
