,open,high,low,close,volume,dividends,stock_splits
2003-01-02,764.8886874442064,777.4953928062341,750.100024079517,775.79833984375,10103,0.0,0.0
2003-01-03,775.7983948849168,781.859364282737,767.3130835992272,771.4345703125,8407,0.0,0.0
2003-01-06,769.0102501584033,770.2224441445335,753.9791548214201,759.312744140625,10760,0.0,0.0
2003-01-07,759.5551303674423,759.5551303674423,709.128257918359,713.7345581054688,29962,0.0,0.0
2003-01-08,713.9768680504449,721.2499844614324,705.9764629339849,717.6134033203125,19530,0.0,0.0
2003-01-09,727.3110850972422,735.0690625432205,720.0379669068676,733.3720092773438,19161,0.0,0.0
2003-01-10,732.1595984221398,733.3717920733953,720.0377536520837,722.2196655273438,11287,0.0,0.0
2003-01-13,722.4621774130246,722.4621774130246,699.4306344906511,710.34033203125,15736,0.0,0.0
2003-01-14,715.1889869941064,721.249909057743,699.4305621059028,703.552001953125,22646,0.0,0.0
2003-01-15,708.401038683363,738.2208028910243,702.3401139823761,733.614501953125,26877,0.0,0.0
2003-01-16,738.2205356722246,751.0697152402695,731.917183604269,741.8571166992188,22326,0.0,0.0
2003-01-17,737.0084971663186,738.2206910971987,715.674049119368,723.9169311523438,13680,0.0,0.0
2003-01-21,724.1592768783395,724.1592768783395,700.8853028895118,706.7037963867188,13848,0.0,0.0
2003-01-22,706.9462770069662,731.4324465539788,681.4903890545825,725.6139526367188,27206,0.0,0.0
2003-01-23,723.432155981111,729.250651197292,711.5527358932864,724.8867797851562,24843,0.0,0.0
2003-01-24,721.2501485371467,726.8262133659333,703.0673763089426,705.9766235351562,16616,0.0,0.0
2003-01-27,699.915744592099,704.0371402022781,673.9749475070635,681.7329711914062,19316,0.0,0.0
2003-01-28,685.6118102536041,702.8248619110182,684.399616410352,688.5210571289062,15069,0.0,0.0
2003-01-29,688.7634874760311,711.5525574432987,672.0353408603904,705.0067749023438,23393,0.0,0.0
2003-01-30,705.249127513455,724.8865188639996,695.79409912611,697.7335815429688,17624,0.0,0.0
2003-01-31,697.9760913491349,709.1282197384169,684.8845261912926,705.4916381835938,19285,0.0,0.0
2003-02-03,705.7340000107093,723.9167672431881,696.7638311729864,715.4314575195312,17465,0.0,0.0
2003-02-04,715.6741069093001,727.7959554544059,703.0673991011946,727.3110961914062,28238,0.0,0.0
2003-02-05,733.614311436177,737.0084173781886,712.764724870239,720.037841796875,19474,0.0,0.0
2003-02-06,715.164507256557,728.3225732329588,707.8545167071072,719.794189453125,18051,4.83871,0.0
2003-02-07,724.6674147423026,728.5660693433725,699.0823152694079,705.4176635742188,17279,0.0,0.0
2003-02-10,702.981040914272,715.8954450826843,701.2753735909158,710.2910766601562,30206,0.0,0.0
2003-02-11,711.5094926425355,714.6771674222928,701.5191018035358,710.0474853515625,20751,0.0,0.0
2003-02-12,710.5349843786629,718.8197098116932,684.4625528883472,685.924560546875,16018,0.0,0.0
2003-02-13,683.487754082386,693.234485581561,667.6493787893774,677.6397705078125,15683,0.0,0.0
2003-02-14,677.8834307270728,684.7061012827966,672.7663817061703,677.6397705078125,15723,0.0,0.0
2003-02-18,683.2440571791591,709.0728228038341,673.9846927197574,708.8291625976562,15884,0.0,0.0
2003-02-19,704.1995887669424,708.0982909782454,692.0162077497774,695.6712036132812,12326,0.0,0.0
2003-02-20,698.5951026869692,714.6771832436946,689.5793985437319,709.5601806640625,20996,0.0,0.0
2003-02-21,718.8194283681026,738.3128408147314,715.4080938685698,733.439453125,35681,0.0,0.0
2003-02-24,716.8702067148957,764.3853748669222,716.8702067148957,758.781005859375,31577,0.0,0.0
2003-02-25,764.6291142558936,776.8124943312246,738.3130262023293,744.6483764648438,37008,0.0,0.0
2003-02-26,744.6482722874621,771.4517231449928,744.6482722874621,762.92333984375,40185,0.0,0.0
2003-02-27,762.9233383706403,767.796680488753,732.2212323120151,743.673583984375,24304,0.0,0.0
2003-02-28,746.8412100154399,760.7303009982458,737.8255069373874,746.1102294921875,16932,0.0,0.0
2003-03-03,746.1102435793568,750.4962651139859,735.6325331528709,740.0185546875,13181,0.0,0.0
2003-03-04,742.6988398235711,747.8158414195774,729.7844365992254,732.2211303710938,14731,0.0,0.0
2003-03-05,731.0030477683716,739.775093193582,722.9620291806525,728.3226928710938,21840,0.0,0.0
2003-03-06,728.3225915702875,749.7653355578565,724.667596203539,749.2780151367188,21303,0.0,0.0
2003-03-07,745.1355440861266,753.6639268313186,731.2464991814063,737.5818481445312,18529,0.0,0.0
2003-03-10,737.5820406185874,743.1864105195665,717.6013017115874,718.5759887695312,16501,0.0,0.0
2003-03-11,718.8195535525268,728.5662384212039,688.8484261199786,689.5794067382812,24645,0.0,0.0
2003-03-12,683.0003003861898,687.8736421329028,671.0605831390778,680.3199462890625,22466,0.0,0.0
2003-03-13,688.6044991419961,692.0158329140395,674.7154578380287,679.8324584960938,28598,0.0,0.0
2003-03-14,679.8326313361357,680.3199516834409,667.8929139943516,674.9592895507812,25181,0.0,0.0
2003-03-17,681.0510228982786,688.117352813254,673.497326499988,683.4876708984375,22537,0.0,0.0
2003-03-18,683.4877656556391,717.6012573242188,670.3297447599117,717.6012573242188,33740,0.0,0.0
2003-03-19,723.6926523805344,728.5659931744297,705.1739297012768,711.50927734375,27832,0.0,0.0
2003-03-20,711.5094085793152,735.8761631472512,703.9557128190909,724.9111328125,35191,0.0,0.0
2003-03-21,725.1548685975005,727.3478564514859,698.3514173361841,705.1741333007812,27590,0.0,0.0
2003-03-24,705.1740878784791,715.4081381141176,681.0509925179537,690.5540161132812,25736,0.0,0.0
2003-03-25,699.5696991104672,711.0220960125367,692.5033236110563,702.4937133789062,28043,0.0,0.0
2003-03-26,702.4936016707878,709.072609676554,695.670887427988,699.325927734375,25888,0.0,0.0
2003-03-27,703.7121162397251,720.0378561846359,700.7881017390215,713.9461669921875,22698,0.0,0.0
2003-03-28,707.6107956354966,723.6928759377963,707.6107956354966,712.7278442382812,20869,0.0,0.0
2003-03-31,712.7276962785788,712.7276962785788,693.2342850239218,699.8132934570312,23796,0.0,0.0
2003-04-01,699.8133664417389,717.113792057682,699.3260460933803,710.2910766601562,23458,0.0,0.0
2003-04-02,707.3670880124754,717.6011384278223,698.107724433291,714.6771240234375,15881,0.0,0.0
2003-04-03,714.6770889993203,719.0631103909523,695.6709963022487,696.8893432617188,15779,0.0,0.0
2003-04-04,690.7976383560705,709.0727040069206,690.7976383560705,697.864013671875,16498,0.0,0.0
2003-04-07,697.8642290592568,704.6869002113416,690.7978515625,690.7978515625,18209,0.0,0.0
2003-04-08,690.7977071071225,696.1584156948596,681.0510228982786,683.4876708984375,14108,0.0,0.0
2003-04-09,683.7314183021681,691.2851151546321,677.3960224709832,687.3864135742188,13445,0.0,0.0
2003-04-10,693.9653593323269,705.6614168878875,693.4780389688793,703.9557495117188,20779,0.0,0.0
2003-04-11,703.9556785772835,703.9556785772835,684.9495869646554,698.594970703125,17769,0.0,0.0
2003-04-14,700.544384140129,700.544384140129,692.5033218700869,696.8893432617188,11706,0.0,0.0
2003-04-15,696.8894168798251,696.8894168798251,682.5130503308671,685.6807250976562,14861,0.0,0.0
2003-04-16,685.6806686242307,687.1426757888058,671.5479634360718,674.228271484375,25764,0.0,0.0
2003-04-17,659.6083741445626,691.77249191255,659.3646678163485,685.1934814453125,31564,0.0,0.0
2003-04-21,689.5793705066725,698.1077538967503,684.2187079417901,694.4527587890625,17056,0.0,0.0
2003-04-22,687.1427577828758,698.5951101851947,683.731422693173,690.0667724609375,28312,0.0,0.0
2003-04-23,694.4528805874095,708.3419289783352,683.7315074731453,688.8485107421875,31651,0.0,0.0
2003-04-24,681.051213236712,689.0922322614967,680.807552979009,683.2442016601562,18306,0.0,0.0
2003-04-25,677.3960844737838,682.7567938745103,670.5734137137076,673.7410888671875,14914,0.0,0.0
2003-04-28,673.7409865011597,677.3959815524279,662.7759552432508,669.84228515625,25312,0.0,0.0
2003-04-29,669.8422827970744,672.5226370807532,645.9628927449569,651.0798950195312,32296,0.0,0.0
2003-04-30,653.0291265759253,661.0701882441635,649.1304719223223,655.4658203125,45096,0.0,0.0
2003-05-01,659.1209103765377,663.5069320758255,644.7445443378476,645.4755249023438,26635,0.0,0.0
2003-05-02,646.6939710729722,662.5323928765861,646.6939710729722,651.8109741210938,16074,0.0,0.0
2003-05-05,656.1969993056583,676.4214435675507,655.9533390791,673.7410888671875,25361,0.0,0.0
2003-05-06,673.7410815378997,690.3104839088345,670.5734064188795,679.589111328125,24347,0.0,0.0
2003-05-07,679.5889251945948,699.5696574359077,668.3801891319354,698.594970703125,46841,0.0,0.0
2003-05-08,696.6458720396479,722.9620075270795,692.0161892212482,721.5,49814,0.0,0.0
2003-05-09,721.5000333492753,732.4650672571428,713.4589685266062,730.7593994140625,34469,0.0,0.0
2003-05-12,719.7941044255848,743.673539305014,719.7941044255848,735.1452026367188,28418,0.0,0.0
2003-05-13,735.1451953004852,759.5119502880534,733.1958217065271,757.0752563476562,27404,0.0,0.0
2003-05-14,757.0749900790976,775.3500959963924,752.6889701914371,766.8217163085938,29267,0.0,0.0
2003-05-15,769.9897826973902,773.6448241882064,752.6893544032321,765.1163940429688,33381,0.0,0.0
2003-05-16,765.3601696262465,779.736538366389,751.714781587958,770.4771728515625,26803,0.0,0.0
2003-05-19,770.720707742882,772.9137417000152,756.344341340774,759.7556762695312,28173,0.0,0.0
2003-05-20,759.0246145311198,762.679655589519,743.1862415903652,750.0089111328125,19735,0.0,0.0
2003-05-21,744.4044219832008,791.9195762738299,743.1860752364478,785.584228515625,34729,0.0,0.0
2003-05-22,785.5842335936297,787.0461943742725,774.3754987759595,779.7362060546875,22652,0.0,0.0
2003-05-23,779.7361855704031,787.046173697949,773.4008379376812,786.071533203125,17484,0.0,0.0
2003-05-27,786.0717898564593,805.8088656740123,784.1225082303687,801.66650390625,17019,0.0,0.0
2003-05-28,801.6663736034446,803.1284267935837,787.0463027430447,794.3563842773438,30377,0.0,0.0
2003-05-29,794.3562710322007,796.8042282186434,781.6270048240026,784.3197021484375,24180,4.83871,0.0
2003-05-30,784.3198734578274,811.9816289644928,777.2209257547953,808.3096923828125,14338,0.0,0.0
2003-06-02,808.3095594296828,813.4502142178211,801.9449259823082,804.3928833007812,13398,0.0,0.0
2003-06-03,804.3929752896192,804.3929752896192,786.7677917423417,797.7835083007812,17723,0.0,0.0
2003-06-04,802.6794843113179,810.7576708905751,793.6220590378422,803.6586303710938,16101,0.0,0.0
2003-06-05,803.6586907241622,805.8618158413291,790.6845876028127,802.9243774414062,13987,0.0,0.0
2003-06-06,802.9244237531639,811.7369247301266,777.465789108694,780.4033203125,23628,0.0,0.0
2003-06-09,796.0699156945129,796.0699156945129,767.1842305733583,793.1323852539062,24992,0.0,0.0
2003-06-10,793.1323955392523,802.9242255578755,788.4813133341792,794.845947265625,16790,0.0,0.0
2003-06-11,794.8461808194326,839.3987240650918,788.4815450178326,834.5028076171875,26412,0.0,0.0
2003-06-12,834.5029375779917,840.1332608968085,803.4141597224775,813.9403076171875,26827,0.0,0.0
2003-06-13,813.9400571877117,814.1847973922451,783.3407693065191,787.2574462890625,27091,0.0,0.0
2003-06-16,787.2573387500945,787.5021715556292,753.4757843833934,763.7571411132812,31214,0.0,0.0
2003-06-17,763.7571768648593,777.2208975247742,752.2518871548151,757.6373291015625,27838,0.0,0.0
2003-06-18,757.6373293317107,767.1842807292212,740.256978352867,751.7622680664062,24757,0.0,0.0
2003-06-19,751.7625509077648,753.9657228697794,730.4654689668818,743.4395751953125,67338,0.0,0.0
2003-06-20,743.4392545980523,755.1893764824338,729.4860080189576,733.1578979492188,29041,0.0,0.0
2003-06-23,733.1580045855081,738.2986604990147,717.0015846445666,732.4236450195312,23582,0.0,0.0
2003-06-24,735.6059733027369,745.397712230362,728.9965055252277,730.4652709960938,25804,0.0,0.0
2003-06-25,735.3611904590307,758.8613917933288,729.4861285461502,741.2362060546875,37147,0.0,0.0
2003-06-26,741.2363369696213,747.356186490204,724.5903407155688,727.772705078125,37879,0.0,0.0
2003-06-27,727.7726394327317,739.0331448606979,725.0798947704263,727.2830200195312,18138,0.0,0.0
2003-06-30,727.2830576561985,734.1373129406604,716.7569113274666,718.9600830078125,20882,0.0,0.0
2003-07-01,718.9599891889324,718.9599891889324,692.7669969068033,701.57958984375,35278,0.0,0.0
2003-07-02,701.5795682670704,711.3713533349451,688.8502986277781,709.902587890625,21390,0.0,0.0
2003-07-03,703.7826079430113,716.5118752011745,695.9492091443559,702.3138427734375,25008,0.0,0.0
2003-07-07,702.3139779772554,702.3139779772554,673.4282882929411,680.5272827148438,42414,0.0,0.0
2003-07-08,680.52738558235,680.52738558235,665.59498859661,674.8971557617188,41915,0.0,0.0
2003-07-09,674.4074029013424,701.8243258534926,674.4074029013424,695.2149047851562,36636,0.0,0.0
2003-07-10,695.2150806679259,695.2150806679259,675.8763392753613,685.42333984375,55078,0.0,0.0
2003-07-11,687.8710224599592,691.5429587822188,675.6313273535283,686.157470703125,21740,0.0,0.0
2003-07-14,686.157480933451,690.3189903005047,670.9802550698131,673.9177856445312,25777,0.0,0.0
2003-07-15,678.8137619432242,688.1159281298264,673.1835327148438,673.1835327148438,32293,0.0,0.0
2003-07-16,673.1836364251204,677.1003142032883,665.8398076945156,668.2877197265625,26142,0.0,0.0
2003-07-17,668.2875010791128,683.7095132090589,650.9071507008034,674.4073486328125,31428,0.0,0.0
2003-07-18,674.4074910988019,705.4963547347073,662.9021993523504,698.1525268554688,30191,0.0,0.0
2003-07-21,702.8035192431815,707.6993884238232,681.9960173289292,683.4647827148438,29500,0.0,0.0
2003-07-22,683.4647687894243,689.584616719841,656.5374656859225,659.2301635742188,40241,0.0,0.0
2003-07-23,663.1467620308317,667.0634843499635,633.7715067475825,648.94873046875,42247,0.0,0.0
2003-07-24,647.724853917756,659.719762908568,641.1153868575263,644.0529174804688,25705,0.0,0.0
2003-07-25,638.9124953500058,647.2354709426934,632.303072193541,640.136474609375,25854,0.0,0.0
2003-07-28,643.5635477620987,651.1521632154811,636.46450546144,643.073974609375,25932,0.0,0.0
2003-07-29,643.0739943513877,648.2146515645009,627.162356909826,632.0582275390625,32941,0.0,0.0
2003-07-30,637.1988003017948,648.2145185362108,626.1830820673787,646.9905395507812,27903,0.0,0.0
2003-07-31,651.15189612166,670.7354163217383,647.4800063479264,653.599853515625,27385,0.0,0.0
2003-08-01,647.7247581689912,658.9852596808947,640.62571916008,656.0477294921875,26397,0.0,0.0
2003-08-04,656.0476857830171,656.0476857830171,634.2610435993159,639.646484375,22057,0.0,0.0
2003-08-05,639.6465291634286,647.2351411238217,631.8131307393472,633.037109375,26341,0.0,0.0
2003-08-06,636.9539085613326,652.3759208056787,630.3444416586005,651.396728515625,46435,0.0,0.0
2003-08-07,651.3966924885267,681.923218778906,637.6105208277032,679.2152099609375,27296,4.83871,0.0
2003-08-08,679.2155363743997,679.2155363743997,666.6602760134442,669.3682861328125,18966,0.0,0.0
2003-08-11,672.0760047574192,682.9079947077414,656.5665656599077,675.5225830078125,12521,0.0,0.0
2003-08-12,675.5226272462726,683.1542602051272,669.121865264821,682.661865234375,25265,0.0,0.0
2003-08-13,687.5856314358168,688.5703750016906,679.707822648229,682.4158325195312,19725,0.0,0.0
2003-08-14,682.4156723872137,687.0931217128754,664.4443976508235,672.3222045898438,32392,0.0,0.0
2003-08-15,672.3224414117692,677.2461132403096,670.106826352771,676.9999389648438,5639,0.0,0.0
2003-08-18,676.9998001703261,683.1543421144274,666.1677616321032,677.9844970703125,10283,0.0,0.0
2003-08-19,677.9843958207209,684.3851110339416,670.8451580428008,675.0302124023438,18681,0.0,0.0
2003-08-20,675.0304095619365,696.940617410959,660.259534735635,693.2478637695312,24459,0.0,0.0
2003-08-21,701.3717054290114,707.0338516305392,693.2476775480437,704.8182373046875,21049,0.0,0.0
2003-08-22,707.7724834869431,707.7724834869431,691.2782986497343,692.5092163085938,24468,0.0,0.0
2003-08-25,692.509321541802,696.4482027529479,689.5551373435417,693.4940185546875,11327,0.0,0.0
2003-08-26,693.4938925948575,695.2171586342109,682.1695529449094,689.308837890625,17645,0.0,0.0
2003-08-27,691.7707498298732,705.3107529288301,691.0322270727419,694.478759765625,21313,0.0,0.0
2003-08-28,694.4787908132886,723.0358903819524,692.2631758630406,715.1580810546875,25305,0.0,0.0
2003-08-29,715.4040768575715,726.974590408872,700.8793331432122,707.0338745117188,14139,0.0,0.0
2003-09-02,707.0338917337971,707.7724609375,692.5091942454344,707.7724609375,17980,0.0,0.0
2003-09-03,705.3105683985489,711.7112836049427,702.6025591712931,704.0796508789062,18817,0.0,0.0
2003-09-04,704.0795657258876,725.9897645022443,690.0472194905619,700.1406860351562,29937,0.0,0.0
2003-09-05,700.1407700080458,712.2036778447966,700.1407700080458,702.3563842773438,23383,0.0,0.0
2003-09-08,708.5108642578125,713.1883131610014,705.8028552665492,708.5108642578125,13674,0.0,0.0
2003-09-09,708.5109055475027,708.5109055475027,694.2323838393133,696.447998046875,17741,0.0,0.0
2003-09-10,696.4480610454082,700.3869880348954,684.385152453607,687.5855102539062,23219,0.0,0.0
2003-09-11,687.5853639465631,692.7552074314408,678.9690357714046,683.646484375,24980,0.0,0.0
2003-09-12,686.1085223154282,686.1085223154282,674.5379611639135,683.4005126953125,16517,0.0,0.0
2003-09-15,683.6465640387133,691.2781965001684,679.7076374283738,681.6771240234375,9728,0.0,0.0
2003-09-16,683.8928189842627,690.0473605161507,681.6772045278922,689.308837890625,14623,0.0,0.0
2003-09-17,689.3086762007368,690.0471986530287,676.0148528414412,679.2152099609375,15264,0.0,0.0
2003-09-18,679.7075220419733,694.2322619608717,674.5377254120729,692.0166015625,31924,0.0,0.0
2003-09-19,692.0167827418319,700.8793334960938,687.5855073647009,700.8793334960938,25271,0.0,0.0
2003-09-22,699.155966240126,704.0795893083442,692.7552515934638,697.925048828125,20823,0.0,0.0
2003-09-23,695.9556298558896,704.0796104918637,693.493794957819,701.1254272460938,8395,0.0,0.0
2003-09-24,701.1253650684397,716.3886282914027,701.1253650684397,712.6959228515625,23324,0.0,0.0
2003-09-25,713.9268620044485,717.1272192380344,700.6330381712411,702.6024780273438,15503,0.0,0.0
2003-09-26,698.9097474799246,700.6330131148592,686.8468414555999,688.0777587890625,14148,0.0,0.0
2003-09-29,690.5395889256513,701.617799021624,687.0930574459104,698.9097900390625,12843,0.0,0.0
2003-09-30,698.9098747869612,709.0033428641491,686.3546181742137,696.6942138671875,21452,0.0,0.0
2003-10-01,696.6941923408405,707.2800084821032,696.6941923408405,704.0796508789062,22094,0.0,0.0
2003-10-02,702.8487505930519,708.5109433743705,698.1713011675512,704.8182373046875,21657,0.0,0.0
2003-10-03,709.0034409436498,715.6503314628818,699.8947149685109,712.9423217773438,19753,0.0,0.0
2003-10-06,715.1579603908801,723.2819426108227,712.6961250128146,720.3277587890625,13116,0.0,0.0
2003-10-07,720.327796139625,727.2208610279552,703.3412615736129,724.2667236328125,23780,0.0,0.0
2003-10-08,724.2666038580269,732.1444109618201,716.3887501744431,717.1273193359375,25857,0.0,0.0
2003-10-09,717.1273215027751,717.1273215027751,679.953853616599,689.8011474609375,63231,0.0,0.0
2003-10-10,690.5397962160602,692.5092832926549,679.7078036139862,684.38525390625,38477,0.0,0.0
2003-10-13,685.8622412225069,687.5855072166102,674.5379018699173,678.9691772460938,19372,0.0,0.0
2003-10-14,678.9692584165521,678.9692584165521,666.6601742044472,670.8452758789062,31360,0.0,0.0
2003-10-15,670.8452606112517,670.8452606112517,654.8434235518198,657.797607421875,27044,0.0,0.0
2003-10-16,657.7975857493681,670.8452385088627,657.7975857493681,659.0285034179688,26533,0.0,0.0
2003-10-17,659.0284851141499,661.4902738031824,654.8433837890625,654.8433837890625,16886,0.0,0.0
2003-10-20,655.3356517197502,658.7822299887423,647.704019219491,655.0894775390625,17416,0.0,0.0
2003-10-21,660.7518880105329,673.3071480061652,655.828263033003,669.6144409179688,22258,0.0,0.0
2003-10-22,669.6142614674385,670.1066098593054,659.7669675715604,665.9215087890625,25798,0.0,0.0
2003-10-23,665.9216278464468,667.6448941058682,650.6583591718013,663.4598388671875,20922,0.0,0.0
2003-10-24,658.5359847829119,661.4901680010789,649.6734817081971,655.5818481445312,16818,0.0,0.0
2003-10-27,660.5055960606524,660.7517702786953,650.4121270623235,652.8739624023438,12474,0.0,0.0
2003-10-28,652.8738819646309,655.3356704215497,643.518983352802,653.1200561523438,19226,0.0,0.0
2003-10-29,653.1200575799943,667.3985797166617,642.0418930501696,644.2575073242188,21235,0.0,0.0
2003-10-30,645.9807952728507,653.6124282680935,640.5648232070802,650.9044189453125,16969,0.0,0.0
2003-10-31,653.1200763126776,676.9997185345754,646.4731867200958,674.7840576171875,26564,0.0,0.0
2003-11-03,676.9998460488996,677.7383687739372,659.7670901737583,661.4903564453125,18426,0.0,0.0
2003-11-04,661.490374395948,672.5685882105358,647.211848772885,667.3987426757812,17986,0.0,0.0
2003-11-05,668.8757086517564,675.5226450034135,661.4902496942444,671.0913696289062,13643,0.0,0.0
