,open,high,low,close,volume,dividends,stock_splits
2003-01-02,5.978893012242588,6.096044058523917,5.953789017103641,6.064664363861084,950800,0.0,0.0
2003-01-03,6.089767587104348,6.089767587104348,5.842913328754474,5.891028881072998,2504800,0.0,0.0
2003-01-06,5.891030391586689,5.918226423097888,5.483093111034848,5.688107967376709,4408800,0.0,0.0
2003-01-07,5.67973936903143,5.727854929740584,5.411965536205197,5.428701400756836,3335600,0.0,0.0
2003-01-08,5.418242454528809,5.439162389676634,5.342931246617043,5.418242454528809,2177600,0.0,0.0
2003-01-09,5.512379718945637,5.654634741217434,5.48100002850672,5.600243091583252,2714400,0.0,0.0
2003-01-10,5.593969793254655,5.669281407207436,5.4914625403826,5.506106376647949,2223600,0.0,0.0
2003-01-13,5.47263559580147,5.828273391765466,5.47263559580147,5.763421535491943,2558800,0.0,0.0
2003-01-14,5.7529603668626965,5.7968918726826475,5.583509645962825,5.656729221343994,1182000,0.0,0.0
2003-01-15,5.669282061650897,5.715305609371175,5.504014978402093,5.522842884063721,1876800,0.0,0.0
2003-01-16,5.531208179408004,5.654635320252517,5.522840048293043,5.573047637939453,2594000,0.0,0.0
2003-01-17,5.558404057373414,5.562588123118984,5.439160976725968,5.468448638916016,1228800,0.0,0.0
2003-01-21,5.54376116436343,5.54376116436343,5.296906829806053,5.3366546630859375,2187600,0.0,0.0
2003-01-22,5.334561072616581,5.3889527235916574,5.250881763045088,5.35757303237915,1509600,0.0,0.0
2003-01-23,5.35548318239388,5.441254559537646,5.284355640516427,5.397322654724121,2746400,0.0,0.0
2003-01-24,5.397322014056799,5.418241947245996,5.31991877997567,5.38058614730835,2420800,0.0,0.0
2003-01-27,5.334564179811983,5.41824353812375,5.2843565648249236,5.3282880783081055,1229200,0.0,0.0
2003-01-28,4.658850771481034,5.043776050071267,4.4873080623512624,4.8471293449401855,21885600,0.0,0.0
2003-01-29,4.8115651859821105,4.840852846386075,4.656758353967029,4.725793838500977,4550400,0.0,0.0
2003-01-30,4.801108294690667,4.807383997667784,4.706968759887052,4.769728183746338,2950400,0.0,0.0
2003-01-31,4.7676338693364695,4.8115653615453775,4.7195179124700255,4.773909568786621,1814000,0.0,0.0
2003-02-03,4.717424801681861,4.811564262067184,4.660941524465037,4.763448715209961,1794400,0.0,0.0
2003-02-04,4.771817605056392,4.801105665967522,4.612826699447645,4.665126323699951,1535600,0.0,0.0
2003-02-05,4.696508055784683,4.723703694316396,4.564712733245516,4.5751729011535645,2016000,0.0,0.0
2003-02-06,4.579355421692734,4.627471383982442,4.5542518230337175,4.614919185638428,1869200,0.0,0.0
2003-02-07,4.623286867397547,4.738345881238685,4.581447008356514,4.589815139770508,1611200,0.0,0.0
2003-02-10,4.533331596252388,4.621194983866062,4.504043933385991,4.587723255157471,3128000,0.0,0.0
2003-02-11,4.5856315338443085,4.602367399335859,4.518688071878108,4.570987701416016,2151600,0.0,0.0
2003-02-12,4.562620620649853,4.614920262240568,4.4894010426199324,4.493585109710693,1802000,0.0,0.0
2003-02-13,4.497768475077919,4.522872474691262,4.276018141053962,4.370157241821289,2205600,0.0,0.0
2003-02-14,4.372250294279491,4.483125686645508,4.347146687828646,4.483125686645508,1464000,0.0,0.0
2003-02-18,4.481033205040562,4.637932126226835,4.441285366615954,4.602368354797363,1288000,0.0,0.0
2003-02-19,4.583539354784369,4.6421150816462715,4.537515825902193,4.604459285736084,1122800,0.0,0.0
2003-02-20,4.644210336705875,4.646301972139137,4.39526382359665,4.518691062927246,1122400,0.0,0.0
2003-02-21,4.518690226825653,4.644209477379223,4.518690226825653,4.629565238952637,1056800,0.0,0.0
2003-02-24,4.644207871731853,4.646299506054953,4.4642969948387075,4.499860763549805,1326000,0.0,0.0
2003-02-25,4.435010097660817,4.4852177094551555,4.3492387109686605,4.464297771453857,1103200,0.0,0.0
2003-02-26,4.4642956695009675,4.522871388522097,4.39735221862793,4.39735221862793,763200,0.0,0.0
2003-02-27,4.397353421622657,4.575172261034525,4.376433487748105,4.558436393737793,1619200,0.0,0.0
2003-02-28,4.543788909912109,4.564708828819738,4.495673375734549,4.543788909912109,627200,0.0,0.0
2003-03-03,4.539609888994649,4.6316569879221055,4.506138144109269,4.552161693572998,1691200,0.0,0.0
2003-03-04,4.5542524332852805,4.585632135321058,4.497768730212145,4.499860763549805,1031200,0.0,0.0
2003-03-05,4.529147636071554,4.537515767951163,4.476848008867461,4.48521614074707,1305200,0.0,0.0
2003-03-06,4.489400765748755,4.489400765748755,4.40781345758358,4.4538373947143555,1468000,0.0,0.0
2003-03-07,4.458020734036231,4.47894066764374,4.382709531669561,4.45174503326416,1707600,0.0,0.0
2003-03-10,4.439193714475252,4.449653882861691,4.376434300215119,4.420365810394287,1698400,0.0,0.0
2003-03-11,4.411998280831255,4.46011386061299,4.380618572235107,4.380618572235107,1231200,0.0,0.0
2003-03-12,4.378524641430592,4.489399590367197,4.33877681495538,4.443376064300537,1199200,0.0,0.0
2003-03-13,4.47266507105029,4.602368354797363,4.416181762674321,4.602368354797363,998800,0.0,0.0
2003-03-14,4.610737730433565,4.686048961553948,4.533334066237542,4.629565238952637,1363200,0.0,0.0
2003-03-17,4.610736697118936,4.776003360748291,4.455929403420834,4.776003360748291,1126800,0.0,0.0
2003-03-18,4.807383090324338,4.909890342755163,4.700691770688676,4.813659191131592,914000,0.0,0.0
2003-03-19,4.80738166510637,4.81156573107078,4.512411797861886,4.5981831550598145,3014800,0.0,0.0
2003-03-20,4.591908904360528,4.5940005389883725,4.439193640577714,4.504045486450195,2392000,0.0,0.0
2003-03-21,4.501953638678513,4.690232285112738,4.499861604949678,4.658852577209473,1326000,0.0,0.0
2003-03-24,4.393169575999614,4.598184060449432,4.393169575999614,4.460113048553467,796400,0.0,0.0
