,open,high,low,close,volume,dividends,stock_splits
2003-01-02,18.26844350673662,18.69510841369629,17.96797568213176,18.69510841369629,4478100,0.0,0.0
2003-01-03,18.701116191315833,18.701116191315833,17.88985291010289,18.118207931518555,5454400,0.0,0.0
2003-01-06,17.937924978439696,18.298486509169873,17.61341925692448,18.178298950195312,4816800,0.0,0.0
2003-01-07,17.90788271830037,18.44872574462122,17.89586487586623,17.998023986816406,4182100,0.0,0.0
2003-01-08,17.907886877506684,18.508822694150453,17.75765292334574,18.100187301635742,5627700,0.0,0.0
2003-01-09,18.370599884756363,18.98355443100771,18.370599884756363,18.88139533996582,6948300,0.0,0.0
2003-01-10,18.568906137429757,18.893411847408476,18.448719728921446,18.749187469482422,3610100,0.0,0.0
2003-01-13,18.83933110934418,18.929471219244704,18.178301726417534,18.46074104309082,3729100,0.0,0.0
2003-01-14,18.466753991689526,18.598960580726796,18.196333611392546,18.448726654052734,2861900,0.0,0.0
2003-01-15,18.208349076790523,18.328536660913354,17.823750641507452,17.961965560913086,4297200,0.0,0.0
2003-01-16,18.08816195016123,18.25041483869121,17.889853246244712,18.14224624633789,4796100,0.0,0.0
2003-01-17,18.02807023182932,18.02807023182932,17.757648719874346,17.829761505126953,3666900,0.0,0.0
2003-01-21,17.829763849059738,17.93793246806177,17.192772271395988,17.204790115356445,3086800,0.0,0.0
2003-01-22,17.276895179635062,17.37905425784934,16.76609978856368,16.86224937438965,5695300,0.0,0.0
2003-01-23,17.096613445166376,17.367033701000796,16.796145730110332,17.276893615722656,4122800,0.0,0.0
2003-01-24,17.28290935780401,17.36103048764543,16.46563651050897,16.645917892456055,4301300,0.0,0.0
2003-01-27,16.651926321129437,17.024506928674032,16.303383689772012,16.381505966186523,4090900,0.0,0.0
2003-01-28,16.585823288320775,16.585823288320775,16.09906575860805,16.225261688232422,6575900,0.0,0.0
2003-01-29,16.01494451490556,16.501702364431033,15.834664169509308,16.315412521362305,4647900,0.0,0.0
2003-01-30,17.000469982954517,17.42713374162826,16.537749260245466,16.555776596069336,7139400,0.0,0.0
2003-01-31,16.63991068433528,17.07859349214085,16.561788397568076,16.952396392822266,5566000,0.0,0.0
2003-02-03,17.08460472823093,17.469203267839877,16.952398120594808,17.138689041137695,3497500,0.0,0.0
2003-02-04,17.14469434806457,17.14469434806457,16.615870339102372,16.693992614746094,3371900,0.0,0.0
2003-02-05,16.85624868819433,17.126670255976855,16.53174395304937,16.74808120727539,2851400,0.0,0.0
2003-02-06,16.92834473865731,16.92834473865731,16.165156754665492,16.34543800354004,4219400,0.0,0.0
2003-02-07,16.54977120999762,16.66995767304248,15.97287229032273,16.105077743530273,3649000,0.0,0.0
2003-02-10,15.98488657562948,16.117091989924802,15.576250199924747,16.087045669555664,4916700,0.0,0.0
2003-02-11,16.10507053598253,16.285351869158987,15.984884126725035,16.207229614257812,4426900,0.0,0.0
2003-02-12,16.20723274636341,16.525729027523592,16.20723274636341,16.387514114379883,3607800,0.0,0.0
2003-02-13,16.387515147427262,16.387515147427262,16.05099036439324,16.231271743774414,4894600,0.0,0.0
2003-02-14,16.165175553013437,16.639915466308594,15.924801421177907,16.639915466308594,5497000,0.0,0.0
2003-02-18,16.441174152777446,16.977169271057974,16.441174152777446,16.874788284301758,3526800,0.06,0.0
2003-02-19,16.802517018696456,16.92296563048821,16.50741918335806,16.78445053100586,3930300,0.0,0.0
2003-02-20,16.670021477409083,16.85671575841596,15.959377322287764,16.12198257446289,8076200,0.0,0.0
2003-02-21,16.531504531809837,17.20601334432225,16.411055955234097,17.151811599731445,9069500,0.0,0.0
2003-02-24,16.92296045107818,17.12772233924526,16.826602050609285,17.001251220703125,6667200,0.0,0.0
2003-02-25,17.007274673094056,17.254193231074918,16.63388613849593,17.169879913330078,5646000,0.0,0.0
2003-02-26,16.983186300001027,17.139767853647257,16.862737713999323,16.935007095336914,3514600,0.0,0.0
2003-02-27,17.019320114037683,17.097610889470225,16.67002059925628,16.802513122558594,4934200,0.0,0.0
