,open,high,low,close,volume,dividends,stock_splits
2015-01-02,39.617136076833894,40.00176879466486,39.210311110712276,39.557960510253906,4020100,0.0,0.0
2015-01-05,39.34343529311117,39.56534074449884,38.907025565237795,38.94401168823242,5599300,0.0,0.0
2015-01-06,39.12156089797571,39.21771980820001,38.25613917089828,38.30051803588867,5468400,0.0,0.0
2015-01-07,38.470628466507776,39.10675161646964,38.30790132282043,38.9884033203125,4577100,0.0,0.0
2015-01-08,39.29907364771713,39.905609084384785,39.21031029968313,39.62453079223633,6295200,0.0,0.0
2015-01-09,39.55796035834766,39.92779918311341,39.26948652649377,39.64672088623047,3913700,0.0,0.0
2015-01-12,39.75027773742324,39.75767327232164,39.12894840504576,39.29167556762695,4282500,0.0,0.0
2015-01-13,39.6245360793608,40.1497065945609,38.803493341194844,39.04758834838867,5013900,0.0,0.0
2015-01-14,38.870055024155356,39.43221154713624,38.64075678752675,38.9884033203125,5191400,0.0,0.0
2015-01-15,39.13634937981361,39.38044439008351,38.61117885799535,38.75171661376953,5796300,0.0,0.0
2015-01-16,38.81828708355331,39.51358313667862,38.55200264824887,39.41742706298828,4988700,0.0,0.0
2015-01-20,39.56535873663868,40.05354587273105,39.343453184340625,39.80205535888672,7213400,0.0,0.0
2015-01-21,39.42483516754984,40.290259858189266,39.35086849933853,40.14971923828125,5468900,0.0,0.0
2015-01-22,40.17928837106487,40.667475490781605,39.4544046370398,40.66007995605469,5484200,0.0,0.0
2015-01-23,40.6526731684833,40.89676808854048,40.3420099847512,40.72664260864258,4856500,0.0,0.0
2015-01-26,40.460367494555356,40.90417295014065,40.208876983951356,40.71925354003906,6137000,0.0,0.0
2015-01-27,40.334628223353626,41.02252878078243,40.0979315607595,40.55653381347656,8532600,0.0,0.0
2015-01-28,40.75004948710566,41.122196057764164,40.08018452421916,40.14717102050781,7393500,0.34,0.0
2015-01-29,39.983425997449565,40.83191967201001,39.75269411572146,40.69050216674805,5044900,0.0,0.0
2015-01-30,40.17693361906604,40.63839445903392,39.70802825952076,39.7824592590332,12515800,0.0,0.0
2015-02-02,39.819686097992715,40.01320108022556,39.00840639850087,39.8122444152832,8385600,0.0,0.0
2015-02-03,39.9759839740222,40.549090034052824,39.90155579552597,40.519317626953125,6017400,0.0,0.0
2015-02-04,40.19927053324765,40.861693801138884,40.19927053324765,40.653289794921875,7962500,0.0,0.0
2015-02-05,40.66817697500261,41.18918274418005,40.54909018541231,41.16685485839844,5060000,0.0,0.0
2015-02-06,41.15196683854412,41.271053622878505,40.39278752369259,40.459774017333984,7715900,0.0,0.0
2015-02-09,40.42255270453043,40.75748227361977,40.21414873975536,40.39278030395508,5146400,0.0,0.0
2015-02-10,40.750054227199875,41.58366184745029,40.616081219038676,41.54644775390625,5654400,0.0,0.0
2015-02-11,41.412462540431335,41.85159552903522,41.30826197351728,41.6804084777832,4956100,0.0,0.0
2015-02-12,42.04511729702693,42.79685205781471,41.90369979484454,42.752193450927734,7069500,0.0,0.0
2015-02-13,42.87127322716502,43.15410534607735,42.58099942794682,43.146663665771484,5330900,0.0,0.0
2015-02-17,42.92337481002257,43.511366945865944,42.83406044737941,43.31785202026367,7962600,0.0,0.0
2015-02-18,43.02013948039476,43.273199241307495,42.87128029646031,43.12434005737305,3276500,0.0,0.0
2015-02-19,43.08712352429891,43.31041086789378,42.97548127212778,43.198768615722656,2422300,0.0,0.0
2015-02-20,43.198766161435245,43.570912659367835,42.863833745445426,43.556026458740234,3630300,0.0,0.0
2015-02-23,43.511360148152775,43.533690864764175,43.101999640801914,43.36994552612305,3053400,0.0,0.0
2015-02-24,43.23598780897145,43.92073612214603,43.16900131405194,43.883522033691406,4426900,0.0,0.0
2015-02-25,43.85374750614284,44.1291379937437,43.727219043666345,43.98772048950195,3921100,0.0,0.0
2015-02-26,44.114245055665975,44.27799041904858,43.846299129858956,44.225887298583984,5274000,0.0,0.0
2015-02-27,44.27799116458674,44.27799116458674,43.70488522235025,43.764427185058594,6494900,0.0,0.0
2015-03-02,43.965392294334634,44.65014340879851,43.88351960072183,44.6129264831543,4572500,0.0,0.0
2015-03-03,44.5087227336648,44.51616725396423,43.54114236017802,43.59324264526367,6088200,0.0,0.0
2015-03-04,43.55602468831659,43.667666929606966,43.06479144458286,43.40716552734375,4473900,0.0,0.0
2015-03-05,43.39228570105056,43.756990557041526,43.183884548628725,43.42205810546875,3685800,0.0,0.0
2015-03-06,43.31785184230617,43.39972452408123,42.75963210938793,42.90104675292969,4476900,0.0,0.0
2015-03-09,42.99035706586825,43.637893939322495,42.878714833351815,43.481590270996094,4034000,0.0,0.0
2015-03-10,43.05734614846838,43.29551966602887,42.47679855432121,42.49912643432617,5721900,0.0,0.0
2015-03-11,42.744756827160586,42.99781661762444,42.51402492315577,42.551239013671875,3151500,0.0,0.0
2015-03-12,42.05254438702176,42.677750470239594,41.940899328169664,42.588436126708984,3707900,0.0,0.0
2015-03-13,42.7149746476736,42.7968473316319,42.13442701851834,42.514015197753906,4805400,0.0,0.0
2015-03-16,42.789424385053394,43.496500770442786,42.707551665249476,43.41463088989258,5162700,0.0,0.0
2015-03-17,43.31040618577141,43.340178585499515,42.78195886723303,43.146663665771484,3261200,0.0,0.0
2015-03-18,43.295525501493884,43.68255822950787,42.37260370636663,43.39228439331055,6239000,0.0,0.0
2015-03-19,43.4294959642687,43.71232810284104,43.23598103108921,43.56346893310547,3411400,0.0,0.0
2015-03-20,43.83887091320818,44.307773588128,43.71233959193781,44.121700286865234,9150800,0.0,0.0
2015-03-23,44.04726529143895,44.10680726222491,43.63790465980718,43.66023254394531,3807300,0.0,0.0
2015-03-24,43.756983270825884,43.92817030884606,43.474151154454496,43.49647903442383,3665700,0.0,0.0
2015-03-25,43.47416776802024,43.61558246062113,41.479461669921875,41.479461669921875,11204000,0.0,0.0
2015-03-26,41.00310774648548,41.866487644790155,40.653289074492534,41.53155517578125,6830800,0.0,0.0
2015-03-27,41.50921860867503,42.55867156589264,41.35291776891443,42.24606704711914,5144300,0.0,0.0
2015-03-30,42.49912629833902,43.258305447853516,42.30561138065993,43.16899108886719,5336100,0.0,0.0
2015-03-31,42.97546435546419,43.101992759302604,42.48423125722116,42.56610107421875,4905300,0.0,0.0
2015-04-01,42.46191699420848,42.595889967381474,41.85159693386598,42.08232879638672,5322900,0.0,0.0
2015-04-02,42.186513314134054,42.573545885000144,41.992995609075244,42.216285705566406,3545900,0.0,0.0
2015-04-06,41.82183088261013,42.536354461132085,41.57621562065964,42.283294677734375,3120500,0.0,0.0
2015-04-07,42.19396597906217,42.744744006969306,42.10465162076046,42.38003921508789,3259600,0.0,0.0
2015-04-08,42.27583917442413,42.640543970767574,42.09721045563524,42.40237045288086,4142200,0.0,0.0
2015-04-09,42.21630025336771,43.04990762597546,42.07488276495709,43.0052490234375,4362200,0.0,0.0
2015-04-10,43.0424719425676,43.05735530623489,42.82662625910436,42.94571304321289,3410800,0.0,0.0
2015-04-13,43.035012749231925,43.16154401128774,42.566107454498834,42.58099365234375,3004400,0.0,0.0
2015-04-14,42.53634672764523,42.729861661294606,42.11209993838283,42.23862838745117,3875100,0.0,0.0
2015-04-15,42.50658211840663,43.682563815332806,42.41726773567562,43.5411491394043,6654600,0.0,0.0
2015-04-16,43.27318457760779,43.600675239139534,43.228528825036605,43.474143981933594,4058800,0.0,0.0
2015-04-17,43.04990293161522,43.31784883911992,42.57355591349673,42.67031478881836,5231200,0.0,0.0
2015-04-20,42.87127779324053,43.563470544754274,42.87127779324053,43.29552459716797,3220400,0.0,0.0
2015-04-21,43.81651790414263,43.81651790414263,43.19131181626864,43.28807067871094,2853700,0.0,0.0
2015-04-22,43.57091901149911,43.8090925777587,43.14667216914592,43.71233367919922,4473500,0.0,0.0
2015-04-23,40.4150986407673,40.88400390171412,40.13971109860882,40.72770309448242,22987500,0.0,0.0
2015-04-24,40.69795055187742,40.809595662500215,40.28858987834901,40.735164642333984,10533600,0.0,0.0
2015-04-27,41.174288961097595,41.90369576797358,41.003101910027446,41.35292053222656,8397300,0.0,0.0
2015-04-28,41.42031539437747,41.57757860347925,40.91856719715657,41.25556182861328,6729300,0.34,0.0
2015-04-29,40.94103205673351,41.427802391455245,40.71636992406733,41.20314025878906,5276300,0.0,0.0
2015-04-30,41.12076739987794,41.300498837197885,40.379379148942796,40.596553802490234,6756900,0.0,0.0
2015-05-01,40.970991441182626,41.510182893288516,40.753816788891726,41.420318603515625,5726700,0.0,0.0
2015-05-04,41.41282272338867,41.64497520247052,41.195648100060545,41.41282272338867,4060500,0.0,0.0
2015-05-05,41.165700223193966,41.21063093915443,40.32695733996505,40.44677734375,7970100,0.0,0.0
2015-05-06,40.53666616846639,40.85119277533786,39.94505333355776,40.21464920043945,7737300,0.0,0.0
2015-05-07,40.416823483105794,40.738840270930226,40.30449098252178,40.484222412109375,5846600,0.0,0.0
2015-05-08,40.81373286812159,41.31547830462553,40.69391284920016,40.96350860595703,4814600,0.0,0.0
2015-05-11,40.90358905035677,41.00094368913888,40.671439416682375,40.76879119873047,4204100,0.0,0.0
2015-05-12,40.58906901618695,40.881130121719906,40.25207433413566,40.56660079956055,4315500,0.0,0.0
2015-05-13,40.559124613221066,41.15822485025644,40.53665924706201,40.95602798461914,4332600,0.0,0.0
2015-05-14,41.27803856784447,41.832207987582116,41.188174260253305,41.644989013671875,4109300,0.0,0.0
2015-05-15,41.86216370902411,41.937050155894276,41.39037109488455,41.644989013671875,4165300,0.0,0.0
2015-05-18,41.57009417610788,41.862158136184526,41.397853085847984,41.779781341552734,3861300,0.0,0.0
2015-05-19,41.85466224516716,42.034393669396906,41.61502225068355,41.77228546142578,4848500,0.0,0.0
2015-05-20,41.794751919371684,42.13923403988053,41.6075330029994,41.65995407104492,4179300,0.0,0.0
2015-05-21,41.57009049715985,41.937040861662446,41.38287156474172,41.56260299682617,4260800,0.0,0.0
2015-05-22,41.36040215839879,41.63748535136947,41.36040215839879,41.46524429321289,5419700,0.0,0.0
2015-05-26,41.37537716105287,41.37537716105287,40.589058347438424,40.8586540222168,5312000,0.0,0.0
2015-05-27,40.97099242039376,42.109283926081346,40.8811281284731,41.91457748413086,7278200,0.0,0.0
2015-05-28,41.90707210973836,42.23657915659585,41.72734359030092,41.86962890625,6851200,0.0,0.0
2015-05-29,41.95201788659594,42.19165788679716,41.61502324358356,41.87712860107422,5928700,0.0,0.0
2015-06-01,41.71238020569741,42.1916602327489,41.50269305131165,41.71986770629883,4576000,0.0,0.0
2015-06-02,41.50269661742427,41.637494493706775,41.098305845311295,41.375389099121094,4630100,0.0,0.0
2015-06-03,41.532648130667006,41.62251527691261,41.05336811096084,41.10578918457031,3659000,0.0,0.0
2015-06-04,40.93354446670155,41.098298030102924,40.311979139136895,40.42430877685547,6640700,0.0,0.0
2015-06-05,40.42431356556795,40.633997866202606,40.124764972766194,40.28202819824219,3650400,0.0,0.0
2015-06-08,40.19215767737837,40.22960374797956,39.47323768688749,39.55561447143555,4795400,0.0,0.0
2015-06-09,39.57059603170698,39.907590701518025,39.2710445792673,39.6305046081543,4414300,0.0,0.0
2015-06-10,39.79525830702954,40.731353027675645,39.630504722040826,40.58157730102539,6930600,0.0,0.0
2015-06-11,40.566600061312904,40.63399899649661,40.1172757312445,40.16969680786133,4711200,0.0,0.0
2015-06-12,39.952516712299385,40.07233670781069,39.68292386494946,39.697898864746094,4174100,0.0,0.0
2015-06-15,39.27853894400209,39.772796891237995,39.181184283516856,39.72786331176758,4895300,0.0,0.0
2015-06-16,39.62302224399528,39.84019693233127,39.43580327613351,39.75782012939453,2702200,0.0,0.0
2015-06-17,39.922563000252595,40.08731370509053,39.59305587710878,39.90758514404297,3465700,0.0,0.0
2015-06-18,40.049872768909765,40.716371696077424,39.94503062621833,40.604042053222656,5911000,0.0,0.0
2015-06-19,40.62651393834159,40.88113183581901,40.094812782552864,40.82122039794922,9948600,0.0,0.0
2015-06-22,40.90359155482876,41.577580854227726,40.90359155482876,41.56260299682617,9503400,0.0,0.0
2015-06-23,41.42031585747324,41.63748763863204,40.97098872492928,41.060855865478516,5055800,0.0,0.0
2015-06-24,40.92605097398547,41.0458709507135,40.386859650342515,40.431793212890625,4203500,0.0,0.0
2015-06-25,40.611521727804,40.75380705736288,40.24457429909242,40.28950500488281,3759600,0.0,0.0
2015-06-26,39.98247562246379,40.252071348105325,39.263555591909196,39.61552810668945,7860300,0.0,0.0
2015-06-29,39.360904560787915,39.43579098189263,38.54463000111756,38.58207321166992,6566400,0.0,0.0
2015-06-30,38.9265612936593,38.93405165095964,38.417325553139065,38.574588775634766,5260600,0.0,0.0
2015-07-01,39.053873137590834,39.173693148329775,38.761809183226184,38.874141693115234,9820200,0.0,0.0
2015-07-02,39.083821909583996,39.121267980119775,38.76929548556893,38.919071197509766,3642400,0.0,0.0
2015-07-06,38.529663346611606,38.949031997487964,38.23760221996994,38.4847297668457,4251200,0.0,0.0
2015-07-07,38.42482292727523,38.53715259668451,37.42881662278446,38.34993362426758,8205800,0.0,0.0
2015-07-08,37.908090651495435,37.960511726820705,37.03939487316106,37.09181594848633,11806400,0.0,0.0
