,open,high,low,close,volume,dividends,stock_splits
2015-01-02,75.00638355500944,75.26254238356088,73.74583196664466,74.40644073486328,2662900,0.0,0.0
2015-01-05,74.14354463871749,74.14354463871749,72.77513561941957,72.91669464111328,3519600,0.0,0.0
2015-01-06,72.91673931381371,73.38860815147692,71.80448329859222,72.4381332397461,3808900,0.0,0.0
2015-01-07,72.97739643156063,73.32118056761165,72.52574967567601,73.11221313476562,1949500,0.0,0.0
2015-01-08,73.67170233969031,74.57498544440595,73.67170233969031,74.42668914794922,2876100,0.0,0.0
2015-01-09,74.44017533373743,74.5884767862188,73.55711413950581,73.88067626953125,2060200,0.0,0.0
2015-01-12,74.09639927523277,74.55478332689681,73.54364249024923,73.90765380859375,2198200,0.0,0.0
2015-01-13,74.48061053844167,75.41086312424255,73.76607287114383,74.22445678710938,3233600,0.0,0.0
2015-01-14,73.48970240344538,73.93460677151653,73.09873191556984,73.72563934326172,2981000,0.0,0.0
2015-01-15,74.04919034216394,74.39297956187464,73.5031761025085,73.67169952392578,2847300,0.0,0.0
2015-01-16,73.6784453453166,74.37949828541164,73.11220394856055,74.3525390625,4495200,0.0,0.0
2015-01-20,74.73676563028704,75.24233587322132,74.04244484326571,75.03336334228516,4124800,0.0,0.0
2015-01-21,74.90530027875879,75.71421073160198,74.68284810420238,75.28279113769531,2144300,0.0,0.0
2015-01-22,75.8085770406694,77.11632046709397,75.43108621363007,77.01520538330078,3008100,0.0,0.0
2015-01-23,69.90351798965068,70.76636228714364,69.22942425728017,69.38446807861328,19275400,0.0,0.0
2015-01-26,68.55533775502286,69.09461485496435,67.13974179633594,68.99349975585938,10903700,0.0,0.0
2015-01-27,67.78687301454325,68.71712577927859,67.78687301454325,67.98236083984375,4766300,0.0,0.0
2015-01-28,68.19133011690009,68.69690045830204,66.87010176559349,66.93751525878906,5481400,0.0,0.0
2015-01-29,66.91055113023224,67.88124269201703,66.2566793301373,67.69249725341797,4648300,0.0,0.0
2015-01-30,67.09929487497419,68.26547422384822,66.60720415711116,66.62742614746094,5916300,0.0,0.0
2015-02-02,66.7352851468188,67.58464476143438,66.29038077723483,67.49700927734375,3811800,0.0,0.0
2015-02-03,68.00933472517832,68.51490516181683,66.8970787359879,67.79362487792969,5581600,0.0,0.0
2015-02-04,67.45658000409007,68.25875343407495,67.30153613584268,67.76666259765625,4278600,0.0,0.0
2015-02-05,68.07674497434877,68.91936239209271,67.88125711628074,68.39356994628906,4026400,0.0,0.0
2015-02-06,68.17109782192297,68.46095833476507,67.62508354028462,67.86101531982422,2965400,0.0,0.0
2015-02-09,67.6251096735894,68.070014180875,67.32176943166127,67.719482421875,2626200,0.0,0.0
2015-02-10,67.97560395125737,68.29242880246096,67.51048281110411,68.13739013671875,2750900,0.0,0.0
2015-02-11,68.1508785783484,68.60252016636677,67.75990296054415,68.0228042602539,2826100,0.0,0.0
2015-02-12,67.99584437777727,68.54185871743076,67.78687179975809,68.35985565185547,2981600,0.0,0.0
2015-02-13,68.1980649581709,68.73734202724236,68.1508786003467,68.61600494384766,2106000,0.0,0.0
2015-02-17,68.69016646311985,69.31033158995324,68.52838537414769,69.10136413574219,3814800,0.0,0.0
2015-02-18,69.10135586345137,69.29684367973246,68.79127333715542,69.17550659179688,2348400,0.0,0.0
