,open,high,low,close,volume,dividends,stock_splits
2003-01-02,4.639246614343399,4.784536251020964,4.639246614343399,4.774516582489014,3274561,0.0,0.0
2003-01-03,4.77577057325917,4.785790245142797,4.669308227271301,4.705630779266357,3304755,0.0,0.0
2003-01-06,4.680578105936788,4.797060592087039,4.678073319811634,4.699366092681885,3739730,0.0,0.0
2003-01-07,4.691853167583008,4.710640639458767,4.565350961493255,4.64175271987915,5128672,0.0,0.0
2003-01-08,4.5728642189877595,4.577874314246076,4.426321676865645,4.448866844177246,5337407,0.0,0.0
2003-01-09,4.498968152022256,4.715649979239189,4.4914527463173455,4.703125,5589027,0.0,0.0
2003-01-10,4.703126687893036,4.725671344993524,4.659288722121231,4.704379081726074,3817622,0.0,0.0
2003-01-13,4.698115283451354,4.80457709288664,4.69686288996657,4.8033246994018555,5329530,0.0,0.0
2003-01-14,4.803324880028012,4.822112351111635,4.748215383010834,4.799567699432373,3362518,0.0,0.0
2003-01-15,4.787043882549173,4.789548670221904,4.754479029294,4.767004013061523,3891139,0.0,0.0
2003-01-16,4.792052216050081,4.87095980241761,4.758234977722168,4.758234977722168,5396046,0.0,0.0
2003-01-17,4.696863295938275,4.734438239940314,4.606683116712284,4.646762847900391,3668838,0.0,0.0
2003-01-21,4.648016319018649,4.648016319018649,4.512747325575544,4.515252113342285,3023816,0.0,0.0
2003-01-22,4.483940402284134,4.55408022119896,4.426325046998557,4.461395740509033,4356746,0.0,0.0
2003-01-23,4.498967088777999,4.556581352420154,4.477674315482466,4.54155158996582,4439014,0.0,0.0
2003-01-24,4.4964631503915236,4.520260717115569,4.421313269811453,4.447615623474121,3038694,0.0,0.0
2003-01-27,4.416303056721144,4.421313153167995,4.183338798960255,4.229681015014648,5673484,0.0,0.0
2003-01-28,4.289800657541944,4.405030256721364,4.033038846139293,4.145763397216797,12286058,0.0,0.0
2003-01-29,4.20713839525187,4.41505279381138,4.152028091795151,4.371215343475342,6495734,0.0,0.0
2003-01-30,4.372467199679213,4.446364188708624,4.259742602603279,4.277277946472168,6460726,0.0,0.0
2003-01-31,4.195863228254931,4.308587770011466,4.152025543473431,4.307335376739502,5290584,0.0,0.0
2003-02-03,4.307335330233448,4.590399728217648,4.307335330233448,4.556581974029541,7516218,0.0,0.0
2003-02-04,4.540300594058227,4.711892612805728,4.508988143724611,4.651772499084473,6885198,0.0,0.0
2003-02-05,4.7093876741678375,4.78453702984613,4.602924823760986,4.602924823760986,6392461,0.0,0.0
2003-02-06,4.57161195287041,4.753223598741868,4.55282448715595,4.749466419219971,8778694,0.0,0.0
2003-02-07,4.759487152099609,4.809587071879792,4.689347891649485,4.759487152099609,7420383,0.0,0.0
2003-02-10,4.759487552523973,4.770789357645322,4.622604952365177,4.729348182678223,6335135,0.022852,0.0
2003-02-11,4.735629033157649,4.758233176249326,4.666559333258776,4.748187065124512,5180746,0.0,0.0
2003-02-12,4.748184395784737,4.748184395784737,4.574883442436107,4.6150689125061035,5308088,0.0,0.0
2003-02-13,4.615068506119345,4.6163247277640895,4.459349430249558,4.522139549255371,7858858,0.0,0.0
2003-02-14,4.522141840531483,4.574885357588104,4.473165942156499,4.485723972320557,5130422,0.0,0.0
2003-02-18,4.499535254826273,4.665300429171685,4.470651591517109,4.646463394165039,7005976,0.0,0.0
2003-02-19,4.627627579979179,4.6590226466059645,4.52967528655215,4.620092868804932,5088850,0.0,0.0
2003-02-20,4.620092556744335,4.657766634151812,4.554791032203724,4.557302951812744,3475419,0.0,0.0
2003-02-21,4.558561028246211,4.754466228172774,4.558561028246211,4.710513114929199,7976573,0.0,0.0
2003-02-24,4.735627963230659,4.878789076043406,4.691674337196015,4.875021457672119,7826476,0.0,0.0
