,open,high,low,close,volume,dividends,stock_splits
2003-01-02,0.9261184729163449,1.0030163719498342,0.9027147347548506,0.9428353309631348,10862488,0.0,0.0
2003-01-03,0.9428356821985213,0.9428356821985213,0.8759679317525148,0.9160886406898499,4369725,0.0,0.0
2003-01-06,0.916088366485203,0.942835399987921,0.8926846266103258,0.9060581922531128,3375368,0.0,0.0
2003-01-07,0.9461789637046655,0.9963298439979553,0.9294621013897759,0.9963298439979553,9427748,0.0,0.0
2003-01-08,0.9996729907788431,1.11000480257473,0.9963295995794874,1.0498237609863281,14393032,0.0,0.0
2003-01-09,1.0598535343748945,1.1200345532384435,1.0197329529153412,1.0698837041854858,8549436,0.0,0.0
2003-01-10,1.05316735746477,1.1534690152129798,1.05316735746477,1.126721978187561,11946394,0.0,0.0
2003-01-13,1.1501260651317162,1.166843030807975,1.0665413345333297,1.073228120803833,4509936,0.0,0.0
2003-01-14,1.073228115728945,1.1334091918789027,1.073228115728945,1.1300657987594604,4203508,0.0,0.0
2003-01-15,1.103318165182587,1.166842508536353,1.103318165182587,1.163499116897583,4999755,0.0,0.0
2003-01-16,1.170185635355014,1.3005777819756446,1.1668422444728737,1.2905476093292236,12828999,0.0,0.0
2003-01-17,1.293891013694119,1.3908492525036826,1.2704872772752627,1.3641021251678467,16106845,0.0,0.0
2003-01-21,1.3540727342100498,1.3574161270573848,1.06988463553528,1.1835598945617676,9673700,0.0,0.0
2003-01-22,1.1434389776044032,1.163499331130701,1.053167484518944,1.05985426902771,8112242,0.0,0.0
2003-01-23,1.073228015781797,1.2604578174684804,1.073228015781797,1.216993808746338,11426521,0.0,0.0
2003-01-24,1.2203366972709286,1.2303668715503686,1.1367520093917847,1.1367520093917847,5973626,0.0,0.0
2003-01-27,1.170186117678222,1.2604576109209567,1.136752292859023,1.1568125486373901,8049190,0.0,0.0
2003-01-28,1.1701857568724732,1.2270234077711406,1.1200349862153232,1.1735291481018066,4931305,0.0,0.0
2003-01-29,1.1400957107543945,1.1701862443536375,1.1233788454265954,1.1400957107543945,4208292,0.0,0.0
2003-01-30,1.1634991879985306,1.1802161472139465,1.140095445096948,1.1668425798416138,4917076,0.0,0.0
2003-01-31,1.0364502960680957,1.1701857487471177,1.0364502960680957,1.0832576751708984,9016928,0.0,0.0
2003-02-03,1.0765714460655382,1.0899450177633947,0.9261189600304541,1.0063602924346924,13756256,0.0,0.0
2003-02-04,1.0063598416533783,1.1200350523834322,0.9862994930922764,1.0866011381149292,6033734,0.0,0.0
2003-02-05,1.0932880694494314,1.1033182450921928,1.0130467620902095,1.0364505052566528,5010918,0.0,0.0
2003-02-06,1.0397942984700657,1.0631980528706286,0.9695831330512938,1.0030170679092407,6637267,0.0,0.0
2003-02-07,1.0030164357819635,1.0030164357819635,0.9562089564801396,0.9762693047523499,6544529,0.0,0.0
2003-02-10,0.9595522651968911,0.9762692206502945,0.9194316698915694,0.9695824384689331,4693940,0.0,0.0
2003-02-11,0.9896429987951669,1.0297637005501876,0.9528656888530647,1.0130467414855957,4351079,0.0,0.0
2003-02-12,0.959552283799286,1.0297634980647328,0.9227750788716624,0.9361486434936523,3962831,0.0,0.0
2003-02-13,0.9160883538324175,0.9261185279259735,0.8525639179065633,0.8692808747291565,4774779,0.0,0.0
2003-02-14,0.9127449624678989,0.9127449624678989,0.8391904502313433,0.8692808747291565,4050049,0.0,0.0
2003-02-18,0.9194319253311178,0.9963298439979553,0.8926847891746966,0.9963298439979553,3989573,0.0,0.0
2003-02-19,0.9963295671943786,1.0598539001344651,0.9595522651968911,0.9695824384689331,4884323,0.0,0.0
2003-02-20,1.1200353807115233,1.2537708814231572,1.043137355352016,1.2270238399505615,21570167,0.0,0.0
2003-02-21,1.2537704661837,1.3039213356781314,1.18021595537472,1.1969329118728638,9149657,0.0,0.0
2003-02-24,1.1367524924819774,1.2002768587984418,1.1367524924819774,1.1835598945617676,6263248,0.0,0.0
2003-02-25,1.1902459990612722,1.2938910202281961,1.1902459990612722,1.2638005018234253,8840162,0.0,0.0
2003-02-26,1.2704873294302355,1.2872042847013832,1.2236799524538673,1.243740200996399,3642910,0.0,0.0
2003-02-27,1.260457254289884,1.310608124003424,1.243740297718704,1.287204384803772,4856968,0.0,0.0
2003-02-28,1.3039212921381163,1.323981639266042,1.2638005978822653,1.273830771446228,4818572,0.0,0.0
2003-03-03,1.2872051202891024,1.3106088728612282,1.2704881541661555,1.2938919067382812,4058513,0.0,0.0
2003-03-04,1.2805174564927424,1.2972344111620595,1.220336517466043,1.2638005018234253,4169774,0.0,0.0
2003-03-05,1.2638008771918066,1.3239819318760508,1.2337104476325556,1.3039215803146362,4529318,0.0,0.0
2003-03-06,1.303921478915431,1.4209400894742161,1.2771743455801972,1.417596697807312,10134814,0.0,0.0
2003-03-07,1.4042229897005276,1.4309701203416796,1.3540721197483676,1.4276267290115356,5954367,0.0,0.0
2003-03-10,1.4276268282708728,1.4677474292392327,1.3206383960504795,1.3373552560806274,6840407,0.0,0.0
2003-03-11,1.3473857184988336,1.3674460721582753,1.213650223001651,1.2370538711547852,6319921,0.0,0.0
2003-03-12,1.23034889579149,1.2940453954955375,1.2035292756854228,1.2337013483047485,4919529,0.008152,0.0
2003-03-13,1.2739312929096638,1.3577425479888916,1.2605214764093218,1.3577425479888916,4471663,0.0,0.0
2003-03-14,1.3309219620971589,1.3711512817839053,1.3074548017519878,1.3409792184829712,3899779,0.0,0.0
2003-03-17,1.3409789410243345,1.3946181535720825,1.3074545312298038,1.3946181535720825,4779563,0.0,0.0
2003-03-18,1.4080286729605376,1.4314958403877143,1.371151695574974,1.4113811254501343,4434372,0.0,0.0
2003-03-19,1.4180863291724182,1.4281436887599557,1.3577421716471938,1.3912667036056519,3036923,0.0,0.0
