,open,high,low,close,volume,dividends,stock_splits
2003-01-02,5.901161397735277,6.034106781939211,5.848254386904938,5.966277599334717,217800,0.0,0.0
2003-01-03,6.036820990440057,6.059882883199596,5.941859661947639,5.981200218200684,147000,0.0,0.0
2003-01-06,5.928293094591245,6.006975758145797,5.861820786863899,5.9255805015563965,109200,0.0,0.0
2003-01-07,5.9391482154447734,5.9391482154447734,5.639341203359929,5.709884166717529,267000,0.0,0.0
2003-01-08,5.642054185322729,5.811627563122595,5.593217024571493,5.754651069641113,103800,0.0,0.0
2003-01-09,5.612209652519252,5.890310859833617,5.5905038573248484,5.785852909088135,211200,0.0,0.0
2003-01-10,5.795348835735029,5.913372077891036,5.608139514923096,5.608139514923096,243000,0.0,0.0
2003-01-13,5.712597183450667,5.712597183450667,5.496899595446229,5.694962024688721,219000,0.0,0.0
2003-01-14,5.612209430198149,5.697674564185869,5.54438022984955,5.642054557800293,241800,0.0,0.0
2003-01-15,5.716665941098314,5.716665941098314,5.575580817000258,5.680037975311279,267000,0.0,0.0
2003-01-16,5.610851910162717,5.704456754846701,5.610851910162717,5.62577486038208,86400,0.0,0.0
2003-01-17,5.651550424416135,5.651550424416135,5.3653106689453125,5.3653106689453125,501000,0.0,0.0
2003-01-21,5.016663799762698,5.070927674487688,4.695152350554027,4.719571113586426,1745400,0.0,0.0
2003-01-22,4.883723028504576,5.050583503212066,4.729071752693786,5.00717306137085,904200,0.0,0.0
2003-01-23,5.005812093165665,5.249997812269406,4.989533045225415,5.24185848236084,718200,0.0,0.0
2003-01-24,5.2093042815223685,5.2093042815223685,5.104847076166322,5.136048316955566,511200,0.0,0.0
2003-01-27,5.060076551217432,5.092634650809206,4.952905654907227,4.952905654907227,198600,0.0,0.0
2003-01-28,4.996319773695668,4.996319773695668,4.756203319938591,4.800971031188965,463800,0.0,0.0
2003-01-29,4.9203485844914505,5.087208976831816,4.754845071010263,5.026162624359131,392400,0.0,0.0
2003-01-30,5.123836458996028,5.129263197673033,4.954263101220596,5.035658359527588,369000,0.0,0.0
2003-01-31,5.137402900990563,5.137402900990563,5.00038686038221,5.015309810638428,373200,0.0,0.0
2003-02-03,5.01802169794261,5.12112273156481,4.883719444274902,4.883719444274902,235800,0.0,0.0
2003-02-04,4.870156101709115,4.870156101709115,4.711434991207126,4.775195121765137,255600,0.0,0.0
2003-02-05,4.777903553809577,4.928484797641535,4.749415325769828,4.821314334869385,103200,0.0,0.0
2003-02-06,4.834880853130331,4.87829125015346,4.792826169866193,4.819958686828613,177600,0.0,0.0
2003-02-07,4.874225047419292,4.87829452016231,4.579845560349749,4.761628150939941,246000,0.0,0.0
2003-02-10,4.676161775035095,4.821316743758803,4.676161775035095,4.7779059410095215,75000,0.0,0.0
2003-02-11,4.855232693518805,4.924418771239604,4.815891742706299,4.815891742706299,189600,0.0,0.0
2003-02-12,4.9142299001921055,4.9142299001921055,4.713454072290302,4.763988971710205,212400,0.04,0.0
2003-02-13,4.712086093499962,4.829546482921777,4.657452872593636,4.781743049621582,151800,0.0,0.0
2003-02-14,4.824086832265829,4.90603652330982,4.736674245301665,4.784477710723877,149400,0.0,0.0
2003-02-18,4.862326520088485,4.915593630882318,4.753061242950525,4.882813930511475,155400,0.0,0.0
2003-02-19,4.90330196569096,4.930618776912099,4.773548870832608,4.814523696899414,97200,0.0,0.0
2003-02-20,4.792668361046698,4.830911726017527,4.643794414200421,4.646525859832764,76200,0.0,0.0
2003-02-21,4.664285853560264,4.926523617778148,4.576872874722544,4.829549789428711,272400,0.0,0.0
2003-02-24,4.811791375749475,4.836376345074509,4.706622492267597,4.776279449462891,137400,0.0,0.0
2003-02-25,4.729846291015662,4.8650627643668125,4.682042033386517,4.815893173217773,651600,0.0,0.0
2003-02-26,4.90876494928459,4.90876494928459,4.772182464599609,4.772182464599609,178200,0.0,0.0
2003-02-27,4.656090412241473,4.916962434768064,4.656090412241473,4.79403829574585,201600,0.0,0.0
2003-02-28,4.750329482969142,4.848668577588301,4.750329482969142,4.832278728485107,115800,0.0,0.0
2003-03-03,4.833646272452219,4.922425346221038,4.81452496846517,4.916961669921875,217800,0.0,0.0
2003-03-04,4.870524786110172,4.9702300655381055,4.658822320132783,4.683407306671143,322800,0.0,0.0
2003-03-05,4.75306338954652,4.796769285681411,4.667016539521048,4.727112293243408,149400,0.0,0.0
2003-03-06,4.595992633434692,4.794037004589586,4.595992633434692,4.7079901695251465,124200,0.0,0.0
2003-03-07,4.64379951373509,4.738041525307256,4.64379951373509,4.665652275085449,108000,0.0,0.0
2003-03-10,4.657453951010495,4.750330565285945,4.630137920379639,4.630137920379639,209400,0.0,0.0
2003-03-11,4.656087478142116,4.706622356892384,4.5768696801120035,4.601454257965088,115200,0.0,0.0
2003-03-12,4.583702434326756,4.6028245280351365,4.481265688989268,4.544094085693359,201000,0.0,0.0
2003-03-13,4.572776714118109,4.784479238462226,4.538630868358262,4.720285892486572,200400,0.0,0.0
2003-03-14,4.746232155776611,4.810425441505465,4.7134524559625754,4.804962158203125,144600,0.0,0.0
2003-03-17,4.759892293067178,4.964765720544806,4.721649680507811,4.9306206703186035,135600,0.0,0.0
2003-03-18,4.94154840993871,5.080862045288086,4.940182294994931,5.080862045288086,113400,0.0,0.0
2003-03-19,5.094516692971682,5.1054428682500665,4.840473837084644,4.9142279624938965,165000,0.0,0.0
2003-03-20,4.914230787986486,4.955205629589884,4.81179407474304,4.929254531860352,95400,0.0,0.0
2003-03-21,4.815890623387264,5.023495453875474,4.792670978243969,4.951107025146484,187800,0.0,0.0
2003-03-24,5.067200502450922,5.067200502450922,4.788572622261349,4.848669528961182,109200,0.0,0.0
2003-03-25,4.836377742349023,4.89100980758667,4.788573122206307,4.89100980758667,168600,0.0,0.0
2003-03-26,4.900572575616106,4.9538397155512355,4.780379884403352,4.79403829574585,153000,0.0,0.0
2003-03-27,4.794037442120739,4.835012278087197,4.7353070262591475,4.789939880371094,177000,0.0,0.0
2003-03-28,4.787210068790809,4.787210068790809,4.728479246890488,4.747600555419922,70800,0.0,0.0
