,open,high,low,close,volume,dividends,stock_splits
2003-01-02,6.978269797280115,7.241094589233399,6.972905900743273,7.241094589233398,89700,0.0,0.0
2003-01-03,7.241091187066923,7.29472910417535,7.144543140883389,7.187453269958496,73200,0.0,0.0
2003-01-06,7.187455526493763,7.273276323116905,7.128454208374024,7.128454208374023,90700,0.0,0.0
2003-01-07,7.166001503802774,7.251822312983853,7.0801812061510185,7.139183044433594,99300,0.0,0.0
2003-01-08,7.031909451914971,7.0801835129546475,6.844177617518938,6.983635902404785,159100,0.0,0.0
2003-01-09,7.0104518871065435,7.042634753575595,6.892449236955075,6.97290563583374,125900,0.0,0.0
2003-01-10,7.015815783439604,7.026543576105724,6.94608666569775,6.97290563583374,70500,0.0,0.0
2003-01-13,7.0265429606289045,7.149909496307373,6.972905025055235,7.149909496307373,194700,0.0,0.0
2003-01-14,7.149910138554911,7.300095655510772,7.128455064704073,7.214275360107422,131200,0.0,0.0
2003-01-15,7.289367631482138,7.332277774810791,7.208910729093971,7.332277774810791,80300,0.0,0.0
2003-01-16,7.332280455865987,7.461010932922363,7.214277262799585,7.461010932922363,95500,0.0,0.0
2003-01-17,7.402006348731334,7.5146455946815855,7.22500189245654,7.23036527633667,71300,0.0,0.0
2003-01-21,7.257184556026938,7.461007986643038,7.219638309594503,7.359096527099609,107700,0.0,0.0
2003-01-22,7.364459499980732,7.670194884597247,7.284003115966983,7.648739814758301,121500,0.0,0.0
2003-01-23,7.67019723113717,7.938385941935467,7.616559284365762,7.643378257751465,185500,0.0,0.0
2003-01-24,7.72383037269375,7.72383037269375,7.482460769458774,7.509279727935791,130500,0.0,0.0
2003-01-27,7.503918904952225,7.77210757642182,7.493191624088675,7.579011917114258,74000,0.0,0.0
2003-01-28,7.616556954235272,7.723832303430009,7.509281605040536,7.648739814758301,65700,0.0,0.0
2003-01-29,7.611193263690129,7.675558986468095,7.5092818070952685,7.5253729820251465,102800,0.0,0.0
2003-01-30,7.509284715198368,7.600468927662417,7.380554242847745,7.385918140411377,62600,0.0,0.0
2003-01-31,7.455643782176974,7.487826643164028,7.326913361287205,7.375187397003174,184000,0.0,0.0
2003-02-03,7.391275067525864,7.439549080355106,7.310818720496448,7.316182613372803,120100,0.0,0.0
2003-02-04,7.241095013350738,7.289369061951107,7.160638606703029,7.284005165100098,121800,0.0,0.0
2003-02-05,7.294731833272756,7.353733154942268,7.160637501863546,7.267912864685059,60200,0.0,0.0
2003-02-06,7.380552387631006,7.857927897151161,7.294732094302857,7.7238335609436035,110600,0.0,0.0
2003-02-07,7.723832062190165,7.809652850394712,7.396642129483098,7.482462406158447,129500,0.0,0.0
2003-02-10,7.54146630699555,7.584376457150999,7.348370119766691,7.353734016418457,54600,0.0,0.0
2003-02-11,7.396643533876903,7.798926540820598,7.3537333873919195,7.675559997558594,231000,0.0,0.0
2003-02-12,7.675558492967631,7.675558492967631,7.477098464965819,7.47709846496582,190500,0.0,0.0
2003-02-13,7.530737092042115,7.600466200763617,7.482463054348055,7.498554229736328,107800,0.0,0.0
2003-02-14,7.48782737998654,7.77210721530766,7.434189443573073,7.686286926269531,61100,0.0,0.0
2003-02-18,7.6970163077822855,7.772108820434416,7.541466873893673,7.7506537437438965,91100,0.0,0.0
2003-02-19,7.718469573240378,7.772106996615317,7.4878271692932925,7.664831638336182,93500,0.0,0.0
2003-02-20,7.589737851380937,7.718468779608732,7.50928146882662,7.541464328765869,46800,0.0,0.0
2003-02-21,7.605829537115165,7.697013710158967,7.471735225171832,7.541464328765869,71500,0.0,0.0
2003-02-24,7.6058277738414155,7.632646220789345,7.498551939933349,7.509279727935791,38800,0.0,0.0
2003-02-25,7.530740020031644,7.638015416878075,7.391281748366563,7.605833053588867,121100,0.0,0.0
2003-02-26,7.616556716345978,7.616556716345978,7.4073699198321155,7.482462406158447,47600,0.0,0.0
2003-02-27,7.5092813705017925,7.5361003348451385,7.428824989000953,7.482462406158447,36500,0.0,0.0
2003-02-28,7.509283268160001,7.664832686824998,7.42882686632716,7.627286434173584,42700,0.0,0.0
2003-03-03,7.562918092439768,7.691648486912407,7.48782510656617,7.55219030380249,248400,0.0,0.0
2003-03-04,7.573648547850504,7.5843763409897305,7.482464352284405,7.536102294921875,258400,0.0,0.0
2003-03-05,7.589738545833793,7.589738545833793,7.428825766001814,7.466372013092041,45500,0.0,0.0
2003-03-06,7.4341867465059615,7.536098686412807,7.4288233640338275,7.509279727935791,31300,0.0,0.0
2003-03-07,7.51464639344243,7.616557859406545,7.482463529094708,7.595102787017822,45300,0.0,0.0
2003-03-10,7.589738891038323,7.670195796142991,7.552192642240376,7.595102787017822,26700,0.0,0.0
2003-03-11,7.654102249740166,7.654102249740166,7.520007960948888,7.55219030380249,93400,0.0,0.0
2003-03-12,7.568282499744175,7.584374184878416,7.412733124150809,7.418097019195557,175200,0.0,0.0
2003-03-13,7.439554795021723,7.579013047757436,7.43419089802511,7.546830177307129,40800,0.0,0.0
2003-03-14,7.50928332360314,7.616558697348747,7.50928332360314,7.536102294921875,193100,0.0,0.0
2003-03-17,7.60583084137967,7.611194226014932,7.428826360183692,7.573647975921631,119900,0.0,0.0
2003-03-18,7.487829184616915,7.616559649199242,7.487829184616915,7.584377288818359,101900,0.0,0.0
2003-03-19,7.60583084137967,7.616558122179487,7.5629206951218135,7.573647975921631,24100,0.0,0.0
2003-03-20,7.595101575473413,7.664830677496136,7.562919227788583,7.616556644439697,50400,0.0,0.0
2003-03-21,7.643375715550298,7.825744060081784,7.562919333682501,7.815016269683838,358200,0.0,0.0
2003-03-24,7.766743675192212,7.766743675192212,7.5682841198168385,7.675559997558594,135100,0.0,0.0
2003-03-25,7.691648621886907,8.31384605095222,7.686284727474142,8.260208129882812,150200,0.0,0.0
2003-03-26,7.992020186216784,8.244117616940882,7.992020186216784,8.045658111572266,64500,0.0,0.0
2003-03-27,8.083204720100914,8.083204720100914,7.697013481478972,7.847198963165283,129500,0.0,0.0
2003-03-28,7.831109961302402,8.179755054077582,7.8042909899667725,8.067115783691406,65500,0.0,0.0
2003-03-31,8.051021363076204,8.31384605095222,8.002747336419564,8.260208129882812,163100,0.0,0.0
2003-04-01,8.179755817477352,8.260212227463738,7.874020845693829,7.997387409210205,172600,0.0,0.0
2003-04-02,8.056389287721071,8.211938722801456,8.002751339819126,8.051025390625,115400,0.0,0.0
2003-04-03,8.045661603994104,8.072480578313295,7.916931141097251,7.965205192565918,601900,0.0,0.0
2003-04-04,8.051023820019326,8.260210650663797,8.040296027919977,8.228028297424316,53500,0.0,0.0
2003-04-07,8.233394021448959,8.523037822557301,8.22266622696783,8.512310028076172,131200,0.0,0.0
2003-04-08,8.464037437995453,8.737590617692778,8.38358101160702,8.716135025024414,128400,0.0,0.0
2003-04-09,8.732227171775461,9.26324084111154,8.716135476440785,8.866321563720703,231300,0.0,0.0
2003-04-10,8.93604457779833,8.941408472870043,8.582035687532294,8.646401405334473,160500,0.0,0.0
2003-04-11,8.657132565320088,8.700042724609375,8.458673462254222,8.700042724609375,84100,0.0,0.0
2003-04-14,8.630313252553826,8.742952025988334,8.517673967589921,8.662495613098145,78500,0.0,0.0
2003-04-15,8.651769079759303,8.801955155957204,8.52840249380689,8.742953300476074,93500,0.0,0.0
2003-04-16,8.79658681357857,8.79658681357857,8.565944940819545,8.641037940979004,93700,0.0,0.0
2003-04-17,8.646402264998056,8.70003917493125,8.474761186342246,8.587400436401367,95200,0.0,0.0
2003-04-21,8.582035376677242,8.582035376677242,8.228026499233973,8.378211975097656,208700,0.0,0.0
2003-04-22,8.533762230815473,8.533762230815473,7.890109613121809,8.324575424194336,236700,0.0,0.0
2003-04-23,8.308486317190413,9.177418209087794,8.308486317190413,9.075506210327148,390300,0.0,0.0
2003-04-24,9.048686031888813,9.070140593156788,8.79658803134477,8.903863906860352,62500,0.0,0.0
2003-04-25,8.84486147287015,9.332964729535465,8.796587434469537,9.129141807556152,81100,0.0,0.0
2003-04-28,9.096961655035962,9.332968034905525,9.011141339275914,9.316877365112305,211900,0.0,0.0
2003-04-29,9.198871608060967,9.343693742191052,9.155961459769678,9.247145652770996,68200,0.0,0.0
2003-04-30,9.349055345641426,9.349055345641426,9.037956591065642,9.118412971496582,99400,0.0,0.0
2003-05-01,9.118412894743921,9.27396278225169,8.785858562554633,9.204233169555664,170900,0.0,0.0
2003-05-02,9.15596051501091,9.209598450605045,9.086231914879509,9.198870658874512,173000,0.0,0.0
2003-05-05,9.225690659343735,9.252509117126465,9.172052720719691,9.252509117126465,98000,0.0,0.0
2003-05-06,9.225689540701259,9.488514282726346,9.220325645183385,9.424148559570312,196400,0.0,0.0
2003-05-07,9.375872891647651,9.440238603604612,9.327598863444502,9.408056259155273,182700,0.0,0.0
2003-05-08,9.440238280745119,9.45632894089034,9.177413593437938,9.231050491333008,326800,0.0,0.0
2003-05-09,9.257875503376235,9.386605976863295,8.984322863569155,9.064779281616211,168800,0.0,0.0
2003-05-12,9.06477759698034,9.413422692429839,9.054049803752067,9.279328346252441,252200,0.0,0.0
2003-05-13,9.295419599353886,9.332965850830078,9.188143718228808,9.332965850830078,184700,0.0,0.0
2003-05-14,9.3490564134263,9.617245060865685,9.18814261112757,9.601153373718262,167400,0.0,0.0
2003-05-15,9.606517610726385,9.63869996310608,9.408058577483313,9.633336067199707,265100,0.0,0.0
2003-05-16,9.611880031470875,10.244805328466425,9.542151441506556,10.196531295776367,580300,0.0,0.0
2003-05-19,10.137532932424053,10.250172721492767,10.110714470914644,10.164352416992188,219100,0.0,0.0
2003-05-20,10.164354133753429,10.217991065831532,10.089260587338064,10.19117259979248,303300,0.0,0.0
2003-05-21,10.2126253311934,10.2126253311934,9.87470702459996,10.094621658325195,187600,0.0,0.0
2003-05-22,10.035616906042204,10.191166784879409,9.98198000456844,10.180438995361328,168800,0.0,0.0
2003-05-23,9.815703322631238,10.062437391050748,9.7352469392769,9.998071670532227,427500,0.0,0.0
2003-05-27,9.949797722006325,10.083892036443384,9.869341337955776,9.960525512695312,136700,0.0,0.0
2003-05-28,9.987343777107093,10.03025391159598,9.922978063844608,9.939069747924805,99800,0.0,0.0
2003-05-29,10.030255566453862,10.035618438973758,9.906888014268297,10.003436088562012,79000,0.0,0.0
2003-05-30,10.003437983769688,10.137532329458447,9.981983420449993,10.09998607635498,113100,0.0,0.0
2003-06-02,10.137532932424053,10.191170878501596,10.089258883260136,10.164352416992188,145800,0.0,0.0
2003-06-03,10.18580267006125,10.18580267006125,9.896159520738912,9.92834186553955,161900,0.0,0.0
2003-06-04,9.949800795405643,9.955164692406994,9.681612083690572,9.788887977600098,260500,0.0,0.0
2003-06-05,9.783519756477961,9.922977947699106,9.681607804612838,9.831793785095215,81600,0.0,0.0
2003-06-06,9.922980827967718,10.030256705601618,9.874706785338324,9.976618766784668,202100,0.0,0.0
2003-06-09,9.97661745769148,9.97661745769148,9.654790890077216,9.799612998962402,63900,0.0,0.0
2003-06-10,9.869340607223723,9.896160081960463,9.63333434483219,9.654789924621582,148800,0.0,0.0
2003-06-11,9.681608376299966,9.719155640931401,9.547514071791333,9.654789924621582,530800,0.0,0.0
2003-06-12,9.729884147397325,9.729884147397325,9.504605634622395,9.633336067199707,212900,0.0,0.0
2003-06-13,9.708428370531003,9.756702404581903,9.579697954081402,9.6118803024292,428000,0.0,0.0
2003-06-16,9.654793218066143,9.70843116277825,9.574336812527331,9.649429321289062,263900,0.0,0.0
2003-06-17,9.63869875554263,9.654790441245733,9.579697954081402,9.6118803024292,137900,0.0,0.0
2003-06-18,9.622610860462359,9.735249623604954,9.601155273354035,9.649429321289062,179700,0.0,0.0
2003-06-19,9.713791745984054,9.713791745984054,9.606515893153805,9.654789924621582,230900,0.0,0.0
2003-06-20,9.649426029674235,9.654789924621582,9.55824186168603,9.654789924621582,228300,0.0,0.0
2003-06-23,9.649426070804445,9.649426070804445,9.34905511388113,9.375873565673828,179100,0.0,0.0
2003-06-24,9.38660135561425,9.413419807406948,9.359782903821552,9.375873565673828,181100,0.0,0.0
2003-06-25,9.402694702094374,9.445604846380444,9.225690229032017,9.257872581481934,178300,0.0,0.0
2003-06-26,9.279327999310913,9.3866038814654,9.145233658147122,9.343693733215332,221500,0.0,0.0
2003-06-27,9.38660420162577,9.542154133749444,9.354421845105195,9.520698547363281,295000,0.0,0.0
2003-06-30,9.520698979848012,9.69233958649954,9.349058373196485,9.515335083007812,989000,0.0,0.0
2003-07-01,8.796587106797443,9.536788319328757,8.528398469254482,9.424148559570312,8665700,0.0,0.0
2003-07-02,9.611879068040949,9.654789201346826,9.290052556717733,9.493876457214355,1350700,0.0,0.0
2003-07-03,9.327599956309253,9.520696091745888,9.252507469443188,9.322236061096191,302500,0.0,0.0
2003-07-07,9.386603877026449,9.574336159178705,9.316875269800052,9.3919677734375,385900,0.0,0.0
2003-07-08,9.386602660378454,9.638699620670415,9.365147077515225,9.601153373718262,1057800,0.0,0.0
2003-07-09,9.627975297833057,9.627975297833057,9.391968941683668,9.558245658874512,284200,0.0,0.0
2003-07-10,9.509967117792637,9.547513356552994,9.456329195395721,9.493876457214355,118500,0.0,0.0
2003-07-11,9.520696191529648,9.520696191529648,9.365146297895773,9.381237983703613,72400,0.0,0.0
2003-07-14,9.381241667581252,9.547518393989733,9.22569273592398,9.273966789245605,143000,0.0,0.0
2003-07-15,9.268600530844143,9.440241110905571,9.268600530844143,9.413421630859375,74800,0.0,0.0
2003-07-16,9.386605274615793,9.456333892224215,9.011140654407647,9.048687934875488,149500,0.0,0.0
2003-07-17,9.091596333279112,9.397331253761521,8.726859577946206,9.059412956237793,352400,0.0,0.0
2003-07-18,9.064775107198612,9.118413035548812,8.8502244168562,8.936044692993164,169000,0.0,0.0
2003-07-21,8.903864063971515,9.161324942081592,8.903864063971515,8.962864875793457,319000,0.0,0.0
2003-07-22,9.059413057438016,9.059413057438016,8.796588280349498,8.877044677734375,266900,0.0,0.0
2003-07-23,8.807313994373878,8.8984981627071,8.582035521024647,8.7214937210083,79700,0.0,0.0
2003-07-24,8.742948286366039,8.839496349761271,8.716129834559966,8.769767761230469,74300,0.0,0.0
2003-07-25,8.764407491289544,8.866319491809316,8.700041748051063,8.796589851379395,87700,0.0,0.0
2003-07-28,8.850225448608398,8.914591174744022,8.753677370934218,8.850225448608398,101600,0.0,0.0
2003-07-29,8.887770770389315,9.09695756819413,8.753676459374248,9.091594696044922,270300,0.0,0.0
2003-07-30,9.118413834006745,9.193506326437499,9.032593550354889,9.107686042785645,167400,0.0,0.0
2003-07-31,9.129142489001248,9.20423498853704,9.064776758643015,9.145233154296875,424500,0.0,0.0
2003-08-01,9.166686447324391,9.263234507197827,8.95749966630416,8.968226432800293,95100,0.0,0.0
2003-08-04,9.070140750881059,9.166688835912279,8.952138104208782,9.011138916015625,278600,0.0,0.0
2003-08-05,9.011138225058527,9.059412263872575,8.705403327941895,8.705403327941895,323800,0.0,0.0
