,open,high,low,close,volume,dividends,stock_splits
2003-01-02,25.230696455725173,26.00456512547473,25.14115825456182,25.99177360534668,794400,0.0,0.0
2003-01-03,25.99817049196281,26.004565032137386,25.614432208697632,25.755136489868164,602300,0.0,0.0
2003-01-06,25.75514630102234,26.541806787746516,25.75514630102234,26.471454620361328,684000,0.0,0.0
2003-01-07,26.44585042390115,26.746444920646894,26.228399553012476,26.599346160888672,560000,0.0,0.0
2003-01-08,26.56097577909117,27.00227456725394,26.445854568242822,26.880756378173828,950200,0.0,0.0
2003-01-09,26.887161685930327,27.475556999453172,26.861578644542433,27.366832733154297,656400,0.0,0.0
2003-01-10,27.309278488159183,27.462771892869704,27.040661370315252,27.30927848815918,447200,0.0,0.0
2003-01-13,27.398803942711528,27.597068807756326,27.149375446523504,27.424386978149414,344600,0.0,0.0
2003-01-14,27.37963050180592,27.507540858467955,27.155782498180024,27.50114631652832,281600,0.0,0.0
2003-01-15,27.379632618180445,27.501148442295705,26.861586850614408,26.919147491455078,626400,0.0,0.0
2003-01-16,26.919140003582672,26.983095169067383,26.740063588438932,26.983095169067383,707000,0.0,0.0
2003-01-17,26.9319221982098,27.283680366029635,26.861570076699365,27.200536727905273,554000,0.0,0.0
2003-01-21,27.200543557380314,27.437183014554577,27.162171437636445,27.194149017333984,601600,0.0,0.0
2003-01-22,27.072638259030228,27.174967996878486,26.797626631113026,26.861581802368164,673200,0.0,0.0
2003-01-23,26.893555271931728,27.181358377998315,26.848786170958373,27.162172317504883,539100,0.0,0.0
2003-01-24,27.1813597150725,27.590678623953934,26.829601430235837,26.893556594848633,868100,0.0,0.0
2003-01-27,26.861571287565365,26.899945839136993,26.094097334259867,26.138866424560547,597900,0.0,0.0
2003-01-28,26.50983135402556,26.75926001162397,26.324357886676033,26.71449089050293,602800,0.0,0.0
2003-01-29,26.669707749552668,27.098212666377215,26.247597372497857,26.944719314575195,410100,0.0,0.0
2003-01-30,27.0150865970339,27.0150865970339,26.010972508918417,26.0941162109375,522100,0.0,0.0
2003-01-31,26.055737239172156,26.586572028869124,25.902241401826707,26.490636825561523,554400,0.0,0.0
2003-02-03,26.445860839195145,26.835993652943078,26.413883259650696,26.82320213317871,456700,0.0,0.0
2003-02-04,26.797626103139212,26.797626103139212,26.06852399063527,26.183645248413086,564600,0.0,0.0
2003-02-05,26.1516702300549,26.778440228507314,26.1388787068538,26.26039695739746,750700,0.0,0.0
2003-02-06,26.22201458515565,26.317949760750587,25.787112684662247,26.062124252319336,620600,0.0,0.0
2003-02-07,26.068516985947525,26.522607353937186,25.63361755531975,25.697572708129883,427100,0.0,0.0
2003-02-10,25.7168799130837,26.0962039899038,25.704021178820827,26.025482177734375,525000,0.21,0.0
2003-02-11,26.39194025753063,26.559101304394424,25.787594628801195,25.85831642150879,835200,0.0,0.0
2003-02-12,25.884027987266798,26.192632578494656,25.63971949365977,25.678293228149414,477700,0.0,0.0
2003-02-13,25.69115839077189,25.90332379380277,25.292547501730347,25.78759765625,627100,0.0,0.0
2003-02-14,25.813311105162093,26.308358730119025,25.749017453994167,26.23120880126953,575800,0.0,0.0
2003-02-18,26.269773845862513,26.9705584046661,26.205480221973986,26.706960678100586,459500,0.0,0.0
2003-02-19,26.713405209189183,27.009148702931867,26.649113998393812,26.97700309753418,608200,0.0,0.0
2003-02-20,26.912702433724053,27.002711078243273,26.71982641653264,26.81626319885254,385400,0.0,0.0
2003-02-21,26.938422361810954,27.581344113142464,26.533380971757587,27.4913330078125,631600,0.0,0.0
2003-02-24,27.45918420127775,27.478473519298383,26.880556164241582,26.964134216308594,519100,0.0,0.0
2003-02-25,26.95128122506483,27.22773780087264,26.53981165713286,27.221309661865234,432300,0.0,0.0
2003-02-26,27.18915654302548,27.234160861288355,26.82911954437107,27.021995544433594,527100,0.0,0.0
2003-02-27,27.060571146679397,27.549190499890344,26.90626887839884,27.304882049560547,563800,0.0,0.0
2003-02-28,27.337033160921973,28.01210050930969,27.31131570225627,27.4913330078125,538900,0.0,0.0
2003-03-03,27.536341477895554,28.0313890985785,27.343462978609008,27.34989356994629,527700,0.0,0.0
2003-03-04,27.227731758976045,27.58134063971853,26.93841896935261,26.944847106933594,516600,0.0,0.0
2003-03-05,26.938421411808708,27.2984560102243,26.745542931169773,27.24059295654297,574600,0.0,0.0
2003-03-06,27.202016756100576,27.292025397543558,26.93841896935261,26.944847106933594,359200,0.0,0.0
2003-03-07,26.874124377129576,27.42060924907896,26.289065775960047,27.35631561279297,488700,0.0,0.0
2003-03-10,27.420606661808193,27.420606661808193,26.449793692178115,26.642669677734375,417200,0.0,0.0
2003-03-11,26.674827833804457,26.82912769973711,26.154060268039405,26.314790725708008,587600,0.0,0.0
2003-03-12,26.295498012389217,26.41122411239888,25.5818545465135,26.09619140625,645700,0.0,0.0
2003-03-13,26.359800362976408,27.06058539755764,26.27621982145223,27.054157257080078,540700,0.0,0.0
2003-03-14,27.073443143567737,27.208456161645778,26.713405976140404,27.047725677490234,446100,0.0,0.0
2003-03-17,27.002708907741678,27.613484956879454,26.80983290605381,27.497758865356445,696600,0.0,0.0
2003-03-18,27.48490922701054,27.600635356802133,27.022004707844175,27.285602569580078,394300,0.0,0.0
2003-03-19,27.247031164208188,27.844948735213446,27.247031164208188,27.838518142700195,292000,0.0,0.0
2003-03-20,28.114963960599827,28.314270558565724,27.497759754226827,28.06995964050293,650700,0.0,0.0
2003-03-21,28.790031920679084,28.790031920679084,28.057101601067124,28.58429718017578,539700,0.0,0.0
2003-03-24,27.870658897087417,28.269272176752484,27.632778519098405,27.748504638671875,371400,0.0,0.0
2003-03-25,27.754912626202216,28.159953750631328,27.658475898276393,28.018512725830078,357100,0.0,0.0
2003-03-26,28.28212906765312,28.28212906765312,27.722785375241074,27.96709632873535,566600,0.0,0.0
2003-03-27,27.902799715542294,27.90922785271796,27.202015040928057,27.825647354125977,455500,0.0,0.0
2003-03-28,27.594200533793988,27.97352446715937,27.52990933934637,27.96709632873535,399800,0.0,0.0
2003-03-31,27.75493144851386,27.774220769220484,27.2727401242307,27.504192352294922,565200,0.0,0.0
2003-04-01,27.427041246885572,27.748502115907932,27.16344343238931,27.73564338684082,632200,0.0,0.0
2003-04-02,27.973519795156335,28.294980618809277,27.86422429233903,28.057100296020508,506400,0.0,0.0
2003-04-03,28.102109162087803,28.179261538084916,27.452759272365792,27.4913330078125,816300,0.0,0.0
2003-04-04,27.484892922026965,27.812781793553366,27.472034198283666,27.61347770690918,525100,0.0,0.0
2003-04-07,28.153544079419213,28.642163531308345,27.420613675309585,27.4913330078125,643900,0.0,0.0
2003-04-08,27.504188666217196,27.645632220534107,27.324171380760454,27.600627899169922,396700,0.0,0.0
2003-04-09,27.639203140621717,27.909229059601458,27.304883584348115,27.311311721801758,451100,0.0,0.0
2003-04-10,27.30487780825821,27.902795019574157,27.30487780825821,27.79349708557129,504800,0.0,0.0
2003-04-11,27.81278771037329,28.204970284048084,27.761355257009267,27.832077026367188,440100,0.0,0.0
2003-04-14,27.94137532036587,28.545723262627476,27.934947182758464,28.52643394470215,546100,0.0,0.0
